"year","mean","median","n","lower_confidence","upper_confidence"
"1989","6.99","7","8647","6.94","7.04"
"1990","","","","",""
"1991","","","","",""
"1992","","","","",""
"1993","6.91","7","11155","6.87","6.95"
"1994","","","","",""
"1995","","","","",""
"1996","","","","",""
"1997","","","","",""
"1998","","","","",""
"1999","","","","",""
"2000","7.05","7","22354","7.02","7.08"
"2001","","","","",""
"2002","","","","",""
"2003","","","","",""
"2004","6.85","7","20174","6.82","6.88"
"2005","","","","",""
"2006","","","","",""
"2007","","","","",""
"2008","7.11","8","17920","7.08","7.14"
"2009","","","","",""
"2010","","","","",""
"2011","","","","",""
"2012","","","","",""
"2013","","","","",""
"2014","7.46","8","25184","7.43","7.49"
"2015","","","","",""
"2016","","","","",""
"2017","","","","",""
"2018","","","","",""
"2019","7.65","8","24180","7.63","7.67"
