year,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Not included in this version of the questionnaire,,,,,,,,,,,,
1984,No answer / don't know,,,,,,,,,,,,
1984,Pre-primary Level,,,,,,,,,,,,
1984,Primary Level,,,,,,,,,,,,
1984,Lower Secondary Level,,,,,,,,,,,,
1984,Upper Secondary Level,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,First Stage of Tertiary Education,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,,,,,,,,,,,,
1985,Not included in this version of the questionnaire,,,,,,,,,,,,
1985,No answer / don't know,,,,,,,,,,,,
1985,Pre-primary Level,,,,,,,,,,,,
1985,Primary Level,,,,,,,,,,,,
1985,Lower Secondary Level,,,,,,,,,,,,
1985,Upper Secondary Level,,,,,,,,,,,,
1985,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1985,First Stage of Tertiary Education,,,,,,,,,,,,
1985,Second Stage of Tertiary Education,,,,,,,,,,,,
1986,Not included in this version of the questionnaire,,,,,,,,,,,,
1986,No answer / don't know,,,,,,,,,,,,
1986,Pre-primary Level,,,,,,,,,,,,
1986,Primary Level,,,,,,,,,,,,
1986,Lower Secondary Level,,,,,,,,,,,,
1986,Upper Secondary Level,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1986,First Stage of Tertiary Education,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,,,,,,,,,,,,
1987,Not included in this version of the questionnaire,,,,,,,,,,,,
1987,No answer / don't know,,,,,,,,,,,,
1987,Pre-primary Level,,,,,,,,,,,,
1987,Primary Level,,,,,,,,,,,,
1987,Lower Secondary Level,,,,,,,,,,,,
1987,Upper Secondary Level,,,,,,,,,,,,
1987,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1987,First Stage of Tertiary Education,,,,,,,,,,,,
1987,Second Stage of Tertiary Education,,,,,,,,,,,,
1988,Not included in this version of the questionnaire,,,,,,,,,,,,
1988,No answer / don't know,,,,,,,,,,,,
1988,Pre-primary Level,,,,,,,,,,,,
1988,Primary Level,,,,,,,,,,,,
1988,Lower Secondary Level,,,,,,,,,,,,
1988,Upper Secondary Level,,,,,,,,,,,,
1988,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1988,First Stage of Tertiary Education,,,,,,,,,,,,
1988,Second Stage of Tertiary Education,,,,,,,,,,,,
1989,Not included in this version of the questionnaire,,,,,,,,,,,,
1989,No answer / don't know,130,6.78234,6.35501,7.20966,5.00000,7.00000,9.00000,0,10,,,
1989,Pre-primary Level,173,7.67811,7.38568,7.97053,7.00000,8.00000,9.00000,4.00000,10,,,
1989,Primary Level,541,4.89867,4.66698,5.13036,3.00000,5.00000,7.00000,0,10,,,
1989,Lower Secondary Level,2223,6.25786,6.15714,6.35857,5.00000,6.00000,8.00000,0.50000,10,,,
1989,Upper Secondary Level,4142,7.01122,6.94956,7.07288,5.00000,7.00000,8.00000,0.50000,10,,,
1989,Post-secondary Non-tertiary Level,264,7.76972,7.54277,7.99667,7.00000,8.00000,9.00000,4.00000,10,,,
1989,First Stage of Tertiary Education,472,7.54711,7.37063,7.72358,6.00000,8.00000,9.00000,1.50000,10,,,
1989,Second Stage of Tertiary Education,664,8.45807,8.33933,8.57680,8.00000,9.00000,10.00000,5.00000,10,,,
1990,Not included in this version of the questionnaire,,,,,,,,,,,,
1990,No answer / don't know,,,,,,,,,,,,
1990,Pre-primary Level,,,,,,,,,,,,
1990,Primary Level,,,,,,,,,,,,
1990,Lower Secondary Level,,,,,,,,,,,,
