"year","bildungsniveau","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1989","(Fach-)Abitur","Laendlicher Raum","7.78","7.5","96","6","7","9","10","10","7.4","8.16","1","10","7","8"
"1989","(Fach-)Abitur","Staedtischer Raum","7.61","7.5","612","5","7","9","10","10","7.44","7.78","0","10","8","8"
"1989","(noch) kein Abschluss","Laendlicher Raum","6.56","6.5","84","3","5","9","10","10","5.91","7.21","0","10","5","7"
"1989","(noch) kein Abschluss","Staedtischer Raum","6.17","6.5","679","2","5","8","10","10","5.96","6.38","0","10","5","5"
"1989","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"1989","AkademikerIn","Staedtischer Raum","8.44","8.5","552","6","8","10","10","10","8.3","8.58","0","10","8","9"
"1989","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"1989","Hauptschule","Staedtischer Raum","6.55","6.5","3656","4","5","8","10","10","6.47","6.63","0","10","6","7"
"1989","Realschule","Laendlicher Raum","7.54","7.5","343","5","7","9","10","10","7.35","7.73","0","10","8","8"
"1989","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"1990","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"1990","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"1990","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"1990","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"1990","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"1990","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"1990","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"1990","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"1990","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"1990","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"1991","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"1991","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"1991","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"1991","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"1991","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"1991","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"1991","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"1991","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"1991","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"1991","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"1992","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"1992","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
