year,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,As soon as possible,0.25685,614,2046,0.23791,0.27579
1984,No answer / don't know,Next year,0.16571,323,2046,0.14959,0.18183
1984,No answer / don't know,In the next 2 to 5 years,0.35173,666,2046,0.33103,0.37242
1984,No answer / don't know,"In the distant future, in more than five years",0.22571,443,2046,0.20759,0.24383
1985,Urban regions,As soon as possible,0.31437,444,1232,0.28843,0.34030
1985,Urban regions,Next year,0.22713,255,1232,0.20372,0.25053
1985,Urban regions,In the next 2 to 5 years,0.31028,360,1232,0.28444,0.33612
1985,Urban regions,"In the distant future, in more than five years",0.14823,173,1232,0.12838,0.16808
1985,Rural regions,As soon as possible,0.41310,143,339,0.36061,0.46560
1985,Rural regions,Next year,0.22081,70,339,0.17659,0.26504
1985,Rural regions,In the next 2 to 5 years,0.24605,84,339,0.20014,0.29197
1985,Rural regions,"In the distant future, in more than five years",0.12003,42,339,0.08538,0.15467
1986,Urban regions,As soon as possible,0.29992,394,1231,0.27431,0.32553
1986,Urban regions,Next year,0.18825,222,1231,0.16641,0.21010
1986,Urban regions,In the next 2 to 5 years,0.32361,400,1231,0.29747,0.34976
1986,Urban regions,"In the distant future, in more than five years",0.18821,215,1231,0.16637,0.21006
1986,Rural regions,As soon as possible,0.37307,113,300,0.31825,0.42789
1986,Rural regions,Next year,0.16202,54,300,0.12025,0.20378
1986,Rural regions,In the next 2 to 5 years,0.24801,74,300,0.19906,0.29696
1986,Rural regions,"In the distant future, in more than five years",0.21690,59,300,0.17019,0.26362
1987,Urban regions,As soon as possible,0.28545,382,1270,0.26060,0.31030
1987,Urban regions,Next year,0.22030,285,1270,0.19750,0.24311
1987,Urban regions,In the next 2 to 5 years,0.33142,401,1270,0.30552,0.35731
1987,Urban regions,"In the distant future, in more than five years",0.16283,202,1270,0.14252,0.18315
1987,Rural regions,As soon as possible,0.36697,116,298,0.31215,0.42178
1987,Rural regions,Next year,0.20666,64,298,0.16061,0.25271
1987,Rural regions,In the next 2 to 5 years,0.26378,75,298,0.21366,0.31390
1987,Rural regions,"In the distant future, in more than five years",0.16260,43,298,0.12063,0.20456
1988,Urban regions,As soon as possible,0.25347,341,1214,0.22899,0.27795
1988,Urban regions,Next year,0.23383,271,1214,0.21001,0.25765
1988,Urban regions,In the next 2 to 5 years,0.35789,419,1214,0.33091,0.38487
1988,Urban regions,"In the distant future, in more than five years",0.15481,183,1214,0.13445,0.17516
1988,Rural regions,As soon as possible,0.32022,102,291,0.26652,0.37392
1988,Rural regions,Next year,0.27154,74,291,0.22035,0.32273
