year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,4997,7.520716573345105,7.492055189880252,7.549377956809958,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1985,Rural regions,1297,7.523256073323604,7.467309164850007,7.579202981797201,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,Urban regions,4847,7.406882102977402,7.378541086252443,7.4352231197023615,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1986,Rural regions,1284,7.423846069875471,7.368076080347516,7.479616059403426,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,Urban regions,4820,7.430818182353388,7.402833623001855,7.458802741704921,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1987,Rural regions,1302,7.358099862507669,7.303460473897132,7.412739251118206,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1988,Urban regions,4626,7.249819446386273,7.220546805506077,7.27909208726647,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1988,Rural regions,1186,7.2950413491019654,7.238683372419231,7.3513993257846995,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1989,Urban regions,4523,7.280473063419776,7.252299410118716,7.308646716720836,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1989,Rural regions,1145,7.223443149491283,7.166055987121344,7.280830311861222,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0
1990,Urban regions,5625,7.212121516725773,7.185884851624407,7.238358181827139,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1990,Rural regions,3354,7.269434507933666,7.234168181784631,7.304700834082701,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1991,Urban regions,5463,7.11036955000077,7.08338186600052,7.137357234001019,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.024999999999999
1991,Rural regions,2981,6.809054806151741,6.767821842294173,6.8502877700093086,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1992,Urban regions,5236,7.341005405148507,7.315877859763446,7.366132950533568,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1992,Rural regions,2706,7.1691274151656135,7.131593792013081,7.2066610383181455,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1993,Urban regions,5140,7.073599925776239,7.04710154874835,7.1000983028041285,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
1993,Rural regions,2615,7.039008535601375,6.999338193494176,7.078678877708573,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1994,Urban regions,4942,6.941561562605977,6.913543515196013,6.969579610015941,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1994,Rural regions,2558,6.999424768272212,6.960145164860506,7.038704371683918,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1995,Urban regions,5365,6.837088033082108,6.808685649814831,6.8654904163493855,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1995,Rural regions,2870,6.904659512520591,6.8648590131322225,6.9444600119089595,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1996,Urban regions,5235,6.864020925202475,6.835877261457438,6.892164588947511,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1996,Rural regions,2838,6.7913506258683,6.752208575226055,6.830492676510545,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1997,Urban regions,5052,6.864624441124897,6.836605048167729,6.892643834082064,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1997,Rural regions,2747,6.7540359889603385,6.714087132970985,6.7939848449496925,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1998,Urban regions,5548,6.908672452234438,6.881426349456707,6.935918555012168,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1998,Rural regions,2974,6.846918696488367,6.807292535968657,6.886544857008077,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1999,Urban regions,5399,6.853345869363744,6.825146097811885,6.881545640915602,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1999,Rural regions,2920,6.841603328759008,6.8033712203285726,6.879835437189443,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2000,Urban regions,8631,7.100151279308877,7.0775417011328345,7.122760857484919,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
2000,Rural regions,4613,6.990690158516332,6.958701327079575,7.02267898995309,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2001,Urban regions,8496,7.078377976316896,7.055468707391987,7.101287245241806,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
2001,Rural regions,4527,7.009079090232746,6.978079375655773,7.040078804809718,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0
2002,Urban regions,9288,6.909284744152672,6.887330189963005,6.93123929834234,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2002,Rural regions,4626,6.868097163254027,6.836866080464955,6.8993282460430985,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2003,Urban regions,8844,6.8871842940433785,6.864733940192342,6.909634647894415,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2003,Rural regions,4373,6.810760399708318,6.77768385157423,6.843836947842406,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,Urban regions,8535,6.787397010981685,6.764233108613314,6.810560913350057,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
