"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","maennlich","","","","",""
"1984","16-34 Jahre alt","weiblich","","","","",""
"1984","35-65 Jahre alt","maennlich","","","","",""
"1984","35-65 Jahre alt","weiblich","","","","",""
"1984","66 und Ã¤lter","maennlich","","","","",""
"1984","66 und Ã¤lter","weiblich","","","","",""
"1985","16-34 Jahre alt","maennlich","","","","",""
"1985","16-34 Jahre alt","weiblich","","","","",""
"1985","35-65 Jahre alt","maennlich","","","","",""
"1985","35-65 Jahre alt","weiblich","","","","",""
"1985","66 und Ã¤lter","maennlich","","","","",""
"1985","66 und Ã¤lter","weiblich","","","","",""
"1986","16-34 Jahre alt","maennlich","","","","",""
"1986","16-34 Jahre alt","weiblich","","","","",""
"1986","35-65 Jahre alt","maennlich","","","","",""
"1986","35-65 Jahre alt","weiblich","","","","",""
"1986","66 und Ã¤lter","maennlich","","","","",""
"1986","66 und Ã¤lter","weiblich","","","","",""
"1987","16-34 Jahre alt","maennlich","","","","",""
"1987","16-34 Jahre alt","weiblich","","","","",""
"1987","35-65 Jahre alt","maennlich","","","","",""
"1987","35-65 Jahre alt","weiblich","","","","",""
"1987","66 und Ã¤lter","maennlich","","","","",""
"1987","66 und Ã¤lter","weiblich","","","","",""
"1988","16-34 Jahre alt","maennlich","","","","",""
"1988","16-34 Jahre alt","weiblich","","","","",""
"1988","35-65 Jahre alt","maennlich","","","","",""
"1988","35-65 Jahre alt","weiblich","","","","",""
"1988","66 und Ã¤lter","maennlich","","","","",""
"1988","66 und Ã¤lter","weiblich","","","","",""
"1989","16-34 Jahre alt","maennlich","","","","",""
"1989","16-34 Jahre alt","weiblich","","","","",""
"1989","35-65 Jahre alt","maennlich","","","","",""
"1989","35-65 Jahre alt","weiblich","","","","",""
"1989","66 und Ã¤lter","maennlich","","","","",""
"1989","66 und Ã¤lter","weiblich","8.5","8.51","8","6.89","10.11"
"1990","16-34 Jahre alt","maennlich","","","","",""
"1990","16-34 Jahre alt","weiblich","","","","",""
"1990","35-65 Jahre alt","maennlich","7.29","8","3034","7.22","7.36"
"1990","35-65 Jahre alt","weiblich","","","","",""
"1990","66 und Ã¤lter","maennlich","","","","",""
"1990","66 und Ã¤lter","weiblich","","","","",""
"1991","16-34 Jahre alt","maennlich","","","","",""
"1991","16-34 Jahre alt","weiblich","","","","",""
"1991","35-65 Jahre alt","maennlich","","","","",""
"1991","35-65 Jahre alt","weiblich","","","","",""
"1991","66 und Ã¤lter","maennlich","","","","",""
"1991","66 und Ã¤lter","weiblich","","","","",""
"1992","16-34 Jahre alt","maennlich","","","","",""
"1992","16-34 Jahre alt","weiblich","","","","",""
"1992","35-65 Jahre alt","maennlich","","","","",""
"1992","35-65 Jahre alt","weiblich","","","","",""
"1992","66 und Ã¤lter","maennlich","","","","",""
"1992","66 und Ã¤lter","weiblich","","","","",""
"1993","16-34 Jahre alt","maennlich","","","","",""
"1993","16-34 Jahre alt","weiblich","","","","",""
"1993","35-65 Jahre alt","maennlich","","","","",""
"1993","35-65 Jahre alt","weiblich","","","","",""
"1993","66 und Ã¤lter","maennlich","","","","",""
"1993","66 und Ã¤lter","weiblich","","","","",""
"1994","16-34 Jahre alt","maennlich","","","","",""
"1994","16-34 Jahre alt","weiblich","","","","",""
"1994","35-65 Jahre alt","maennlich","","","","",""
"1994","35-65 Jahre alt","weiblich","","","","",""
"1994","66 und Ã¤lter","maennlich","","","","",""
"1994","66 und Ã¤lter","weiblich","","","","",""
"1995","16-34 Jahre alt","maennlich","","","","",""
"1995","16-34 Jahre alt","weiblich","","","","",""
"1995","35-65 Jahre alt","maennlich","","","","",""
"1995","35-65 Jahre alt","weiblich","","","","",""
"1995","66 und Ã¤lter","maennlich","6.34","6.55","31","5.51","7.17"
"1995","66 und Ã¤lter","weiblich","5.6","6","36","4.67","6.53"
"1996","16-34 Jahre alt","maennlich","","","","",""
"1996","16-34 Jahre alt","weiblich","","","","",""
"1996","35-65 Jahre alt","maennlich","","","","",""
"1996","35-65 Jahre alt","weiblich","","","","",""
"1996","66 und Ã¤lter","maennlich","6.64","7","35","5.88","7.4"
