year,age_gr,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Secondary School Degree,0.40107,1368,3400,0.38459,0.41754
1984,17-29 y.,Intermediate School Degree,0.29229,822,3400,0.27700,0.30758
1984,17-29 y.,Technical School Degree,0.04296,122,3400,0.03615,0.04978
1984,17-29 y.,Upper Secondary Degree,0.14129,394,3400,0.12958,0.15300
1984,17-29 y.,Other Degree,0.02730,307,3400,0.02182,0.03278
1984,17-29 y.,"Dropout, No School Degree",0.02549,186,3400,0.02019,0.03079
1984,17-29 y.,No School Degree Yet,0.06477,201,3400,0.05650,0.07304
1984,30-45 y.,Secondary School Degree,0.58063,1685,3865,0.56507,0.59618
1984,30-45 y.,Intermediate School Degree,0.18769,559,3865,0.17538,0.20001
1984,30-45 y.,Technical School Degree,0.03545,106,3865,0.02962,0.04128
1984,30-45 y.,Upper Secondary Degree,0.10637,312,3865,0.09665,0.11609
1984,30-45 y.,Other Degree,0.05372,757,3865,0.04661,0.06083
1984,30-45 y.,"Dropout, No School Degree",0.02499,349,3865,0.02007,0.02991
1984,30-45 y.,No School Attended,0.00665,97,3865,0.00409,0.00921
1984,46-65 y.,Secondary School Degree,0.72625,2096,3529,0.71153,0.74096
1984,46-65 y.,Intermediate School Degree,0.13659,395,3529,0.12526,0.14792
1984,46-65 y.,Technical School Degree,0.02677,77,3529,0.02144,0.03209
1984,46-65 y.,Upper Secondary Degree,0.06307,185,3529,0.05505,0.07109
1984,46-65 y.,Other Degree,0.02130,359,3529,0.01653,0.02606
1984,46-65 y.,"Dropout, No School Degree",0.01808,321,3529,0.01368,0.02248
1984,46-65 y.,No School Attended,0.00465,96,3529,0.00241,0.00690
1984,66 and older,Secondary School Degree,0.76574,962,1217,0.74193,0.78954
1984,66 and older,Intermediate School Degree,0.14667,181,1217,0.12678,0.16655
1984,66 and older,Upper Secondary Degree,0.05545,74,1217,0.04258,0.06831
1985,17-29 y.,Secondary School Degree,0.37565,1212,3055,0.35847,0.39282
1985,17-29 y.,Intermediate School Degree,0.30566,794,3055,0.28932,0.32200
1985,17-29 y.,Technical School Degree,0.04180,110,3055,0.03470,0.04890
1985,17-29 y.,Upper Secondary Degree,0.13675,372,3055,0.12456,0.14894
1985,17-29 y.,Other Degree,0.02613,230,3055,0.02047,0.03179
1985,17-29 y.,"Dropout, No School Degree",0.02548,145,3055,0.01990,0.03107
1985,17-29 y.,No School Degree Yet,0.06989,192,3055,0.06085,0.07893
1985,30-45 y.,Secondary School Degree,0.55999,1492,3433,0.54338,0.57660
1985,30-45 y.,Intermediate School Degree,0.19723,534,3433,0.18392,0.21054
1985,30-45 y.,Technical School Degree,0.03688,99,3433,0.03057,0.04318
1985,30-45 y.,Upper Secondary Degree,0.11798,312,3433,0.10719,0.12877
1985,30-45 y.,Other Degree,0.05336,643,3433,0.04584,0.06088
1985,30-45 y.,"Dropout, No School Degree",0.02311,271,3433,0.01808,0.02814
1985,30-45 y.,No School Attended,0.00635,82,3433,0.00370,0.00901
1985,46-65 y.,Secondary School Degree,0.71974,1948,3276,0.70436,0.73512
1985,46-65 y.,Intermediate School Degree,0.14099,382,3276,0.12907,0.15291
1985,46-65 y.,Technical School Degree,0.02523,69,3276,0.01986,0.03060
1985,46-65 y.,Upper Secondary Degree,0.06462,180,3276,0.05620,0.07304
1985,46-65 y.,Other Degree,0.02215,329,3276,0.01711,0.02719
1985,46-65 y.,"Dropout, No School Degree",0.01825,286,3276,0.01366,0.02283
1985,46-65 y.,No School Attended,0.00471,82,3276,0.00237,0.00706
1985,66 and older,Secondary School Degree,0.75043,826,1058,0.72434,0.77652
1985,66 and older,Intermediate School Degree,0.15801,169,1058,0.13602,0.18000
1985,66 and older,Upper Secondary Degree,0.05565,63,1058,0.04183,0.06947
1986,17-29 y.,Secondary School Degree,0.37014,1188,2969,0.35277,0.38751
1986,17-29 y.,Intermediate School Degree,0.30458,776,2969,0.28803,0.32114
1986,17-29 y.,Technical School Degree,0.04494,114,2969,0.03748,0.05239
1986,17-29 y.,Upper Secondary Degree,0.14612,364,2969,0.13341,0.15882
1986,17-29 y.,Other Degree,0.02629,195,2969,0.02054,0.03205
1986,17-29 y.,"Dropout, No School Degree",0.02596,136,2969,0.02024,0.03168
1986,17-29 y.,No School Degree Yet,0.05967,196,2969,0.05115,0.06819
1986,30-45 y.,Secondary School Degree,0.53969,1362,3230,0.52250,0.55688
1986,30-45 y.,Intermediate School Degree,0.20280,516,3230,0.18893,0.21667
1986,30-45 y.,Technical School Degree,0.03936,97,3230,0.03265,0.04606
1986,30-45 y.,Upper Secondary Degree,0.13233,343,3230,0.12065,0.14402
1986,30-45 y.,Other Degree,0.05252,602,3230,0.04483,0.06021
1986,30-45 y.,"Dropout, No School Degree",0.02316,244,3230,0.01798,0.02835
1986,30-45 y.,No School Attended,0.00560,66,3230,0.00303,0.00818
1986,46-65 y.,Secondary School Degree,0.70940,1867,3199,0.69366,0.72513
1986,46-65 y.,Intermediate School Degree,0.14807,380,3199,0.13576,0.16038
1986,46-65 y.,Technical School Degree,0.02410,67,3199,0.01879,0.02942
1986,46-65 y.,Upper Secondary Degree,0.06505,177,3199,0.05650,0.07359
1986,46-65 y.,Other Degree,0.02503,356,3199,0.01962,0.03045
1986,46-65 y.,"Dropout, No School Degree",0.01793,268,3199,0.01333,0.02253
1986,46-65 y.,No School Attended,0.00508,84,3199,0.00262,0.00755
1986,66 and older,Secondary School Degree,0.73600,752,979,0.70838,0.76363
1986,66 and older,Intermediate School Degree,0.16722,165,979,0.14383,0.19060
1986,66 and older,Upper Secondary Degree,0.05795,62,979,0.04330,0.07259
1987,17-29 y.,Secondary School Degree,0.36834,1186,2905,0.35080,0.38588
1987,17-29 y.,Intermediate School Degree,0.30388,771,2905,0.28715,0.32060
1987,17-29 y.,Technical School Degree,0.04327,104,2905,0.03587,0.05067
1987,17-29 y.,Upper Secondary Degree,0.15227,351,2905,0.13921,0.16534
1987,17-29 y.,Other Degree,0.02799,190,2905,0.02199,0.03399
1987,17-29 y.,"Dropout, No School Degree",0.02046,106,2905,0.01532,0.02561
1987,17-29 y.,No School Degree Yet,0.05645,197,2905,0.04806,0.06485
1987,30-45 y.,Secondary School Degree,0.52582,1307,3129,0.50832,0.54331
1987,30-45 y.,Intermediate School Degree,0.20917,517,3129,0.19491,0.22342
1987,30-45 y.,Technical School Degree,0.04037,95,3129,0.03347,0.04726
1987,30-45 y.,Upper Secondary Degree,0.13385,340,3129,0.12191,0.14578
1987,30-45 y.,Other Degree,0.05396,564,3129,0.04604,0.06188
1987,30-45 y.,"Dropout, No School Degree",0.02572,244,3129,0.02017,0.03126
1987,30-45 y.,No School Attended,0.00584,62,3129,0.00317,0.00851
1987,46-65 y.,Secondary School Degree,0.70577,1827,3179,0.68993,0.72161
1987,46-65 y.,Intermediate School Degree,0.14349,370,3179,0.13131,0.15568
1987,46-65 y.,Technical School Degree,0.02540,68,3179,0.01993,0.03087
1987,46-65 y.,Upper Secondary Degree,0.06601,176,3179,0.05737,0.07464
1987,46-65 y.,Other Degree,0.02857,380,3179,0.02277,0.03436
1987,46-65 y.,"Dropout, No School Degree",0.01934,272,3179,0.01455,0.02413
1987,46-65 y.,No School Attended,0.00600,86,3179,0.00331,0.00868
1987,66 and older,Secondary School Degree,0.73625,780,1016,0.70914,0.76336
1987,66 and older,Intermediate School Degree,0.16599,168,1016,0.14310,0.18888
1987,66 and older,Upper Secondary Degree,0.06285,68,1016,0.04792,0.07778
1988,17-29 y.,Secondary School Degree,0.36916,1147,2741,0.35109,0.38723
1988,17-29 y.,Intermediate School Degree,0.29893,735,2741,0.28179,0.31607
1988,17-29 y.,Technical School Degree,0.03919,91,2741,0.03192,0.04645
1988,17-29 y.,Upper Secondary Degree,0.15506,330,2741,0.14150,0.16861
1988,17-29 y.,Other Degree,0.02573,173,2741,0.01981,0.03166
1988,17-29 y.,"Dropout, No School Degree",0.01837,98,2741,0.01334,0.02339
1988,17-29 y.,No School Degree Yet,0.05850,167,2741,0.04972,0.06729
1988,30-45 y.,Secondary School Degree,0.52007,1225,2914,0.50193,0.53822
1988,30-45 y.,Intermediate School Degree,0.21442,502,2914,0.19951,0.22932
1988,30-45 y.,Technical School Degree,0.04284,98,2914,0.03549,0.05019
1988,30-45 y.,Upper Secondary Degree,0.14059,331,2914,0.12797,0.15322
