year,quintil_oecd,pgpsbil,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Secondary School Degree,0.5461812990720913,16099,0.5384905927379913,0.5538720054061914
1984,1st Quintile,Other Degree,0.1430406852248394,16099,0.13763231374445714,0.14844905670522165
1984,1st Quintile,Intermediate School Degree,0.11663097787294789,16099,0.11167265661142989,0.1215892991344659
1984,1st Quintile,"Dropout, No School Degree",0.08922198429693076,16099,0.0848184758923738,0.09362549270148772
1984,1st Quintile,Upper Secondary Degree,0.05253390435403284,16099,0.04908756293368519,0.05598024577438048
1984,1st Quintile,No School Attended,0.024553890078515345,16099,0.02216322677418834,0.02694455338284235
1984,1st Quintile,Technical School Degree,0.01998572448251249,16099,0.0178238385768445,0.022147610388180482
1984,1st Quintile,No School Degree Yet,0.007851534618129907,16099,0.006488137949210057,0.009214931287049756
1984,2nd Quintile,Secondary School Degree,0.4956258411843876,16099,0.48790241489807595,0.5033492674706993
1984,2nd Quintile,Intermediate School Degree,0.20356662180349933,16099,0.197346704188178,0.20978653941882064
1984,2nd Quintile,Other Degree,0.10262449528936743,16099,0.09793669346622605,0.10731229711250881
1984,2nd Quintile,Upper Secondary Degree,0.08882907133243607,16099,0.08443432199315529,0.09322382067171686
1984,2nd Quintile,"Dropout, No School Degree",0.06292059219380888,16099,0.059169642677150386,0.06667154171046738
1984,2nd Quintile,Technical School Degree,0.02826379542395693,16099,0.025703759535827465,0.030823831312086394
1984,2nd Quintile,No School Attended,0.009421265141318977,16099,0.007928966530914565,0.01091356375172339
1984,2nd Quintile,No School Degree Yet,0.008748317631224764,16099,0.0073098143352171106,0.010186820927232417
1984,3rd Quintile,Secondary School Degree,0.4206484641638225,16099,0.41302263000592404,0.428274298321721
1984,3rd Quintile,Intermediate School Degree,0.2696245733788396,16099,0.26276954222062415,0.27647960453705506
1984,3rd Quintile,Upper Secondary Degree,0.14846416382252559,16099,0.14297167850971004,0.15395664913534113
1984,3rd Quintile,Other Degree,0.06911262798634812,16099,0.06519445240039047,0.07303080357230578
1984,3rd Quintile,Technical School Degree,0.04948805460750853,16099,0.04613773991668869,0.05283836929832838
1984,3rd Quintile,"Dropout, No School Degree",0.033276450511945395,16099,0.030505834958297364,0.03604706606559342
1984,3rd Quintile,No School Degree Yet,0.005119453924914676,16099,0.004017016596733796,0.006221891253095555
1984,3rd Quintile,No School Attended,0.004266211604095563,16099,0.0032593971548535924,0.005273026053337534
1984,4th Quintile,Secondary School Degree,0.34541577825159914,16099,0.3380704624322773,0.352761094070921
1984,4th Quintile,Intermediate School Degree,0.2878464818763326,16099,0.2808525097667857,0.2948404539858795
1984,4th Quintile,Upper Secondary Degree,0.2281449893390192,16099,0.22166267700551853,0.23462730167251986
1984,4th Quintile,Technical School Degree,0.07462686567164178,16099,0.07056745802571142,0.07868627331757215
1984,4th Quintile,Other Degree,0.042643923240938165,16099,0.03952272073603436,0.04576512574584197
1984,4th Quintile,No School Attended,0.008528784648187633,16099,0.007108287878118773,0.009949281418256493
1984,4th Quintile,"Dropout, No School Degree",0.008528784648187633,16099,0.007108287878118773,0.009949281418256493
1984,4th Quintile,No School Degree Yet,0.0042643923240938165,16099,0.0032577916507673405,0.005270992997420293
1984,5th Quintile,Secondary School Degree,0.3502824858757062,16099,0.34291315392463234,0.35765181782678007
1984,5th Quintile,Upper Secondary Degree,0.2937853107344633,16099,0.2867490806387526,0.300821540830174
1984,5th Quintile,Intermediate School Degree,0.20903954802259886,16099,0.20275826684618406,0.21532082919901366
1984,5th Quintile,Other Degree,0.062146892655367235,16099,0.05841753752425763,0.06587624778647684
1984,5th Quintile,Technical School Degree,0.05084745762711865,16099,0.047453868572916696,0.0542410466813206
1984,5th Quintile,"Dropout, No School Degree",0.022598870056497175,16099,0.020303057631159672,0.024894682481834678
1984,5th Quintile,No School Degree Yet,0.005649717514124294,16099,0.004491901135901762,0.006807533892346826
1984,5th Quintile,No School Attended,0.005649717514124294,16099,0.004491901135901762,0.006807533892346826
1985,1st Quintile,Secondary School Degree,0.5449381891079185,14443,0.5368166903317537,0.5530596878840832
1985,1st Quintile,Other Degree,0.140327430671567,14443,0.13466288363750192,0.14599197770563208
1985,1st Quintile,Intermediate School Degree,0.12362178416304712,14443,0.11825368343746291,0.12898988488863133
1985,1st Quintile,"Dropout, No School Degree",0.08553291012362178,14443,0.08097172152304827,0.0900940987241953
1985,1st Quintile,Upper Secondary Degree,0.054460407617774806,14443,0.050759504904167634,0.05816131033138198
1985,1st Quintile,No School Attended,0.023387905111927832,14443,0.020923091540452077,0.025852718683403587
1985,1st Quintile,Technical School Degree,0.018376211159371866,14443,0.016185788672057222,0.02056663364668651
