year,age_gr,pgisced97,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Primary Level,"Dropout, No School Degree",0.77928,165,165,0.71581,0.84276
1984,17-29 y.,Lower Secondary Level,Secondary School Degree,0.50600,544,1046,0.47568,0.53631
1984,17-29 y.,Lower Secondary Level,Intermediate School Degree,0.45497,350,1046,0.42478,0.48517
1984,17-29 y.,Lower Secondary Level,Other Degree,0.03903,152,1046,0.02729,0.05077
1984,17-29 y.,Upper Secondary Level,Secondary School Degree,0.50091,793,1576,0.47622,0.52560
1984,17-29 y.,Upper Secondary Level,Intermediate School Degree,0.28100,400,1576,0.25880,0.30320
1984,17-29 y.,Upper Secondary Level,Technical School Degree,0.02543,37,1576,0.01765,0.03320
1984,17-29 y.,Upper Secondary Level,Upper Secondary Degree,0.16873,235,1576,0.15023,0.18722
1984,17-29 y.,Upper Secondary Level,Other Degree,0.01873,111,1576,0.01203,0.02542
1984,17-29 y.,Post-secondary Non-tertiary Level,Technical School Degree,0.47932,51,99,0.38041,0.57823
1984,17-29 y.,Post-secondary Non-tertiary Level,Upper Secondary Degree,0.47210,48,99,0.37326,0.57094
1984,17-29 y.,First Stage of Tertiary Education,Intermediate School Degree,0.54854,69,69,0.43026,0.66683
1984,17-29 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.78438,93,93,0.70034,0.86842
1984,30-45 y.,Primary Level,"Dropout, No School Degree",0.70429,301,392,0.65905,0.74952
1984,30-45 y.,Primary Level,No School Attended,0.20734,91,392,0.16716,0.24752
1984,30-45 y.,Lower Secondary Level,Secondary School Degree,0.78938,389,804,0.76118,0.81758
1984,30-45 y.,Lower Secondary Level,Intermediate School Degree,0.07061,38,804,0.05289,0.08832
1984,30-45 y.,Lower Secondary Level,Other Degree,0.14001,377,804,0.11601,0.16401
1984,30-45 y.,Upper Secondary Level,Secondary School Degree,0.70533,1176,1906,0.68486,0.72580
1984,30-45 y.,Upper Secondary Level,Intermediate School Degree,0.23762,407,1906,0.21851,0.25674
1984,30-45 y.,Upper Secondary Level,Other Degree,0.03363,276,1906,0.02553,0.04172
1984,30-45 y.,Upper Secondary Level,"Dropout, No School Degree",0.00533,47,1906,0.00206,0.00860
1984,30-45 y.,Post-secondary Non-tertiary Level,Other Degree,0.28252,61,61,0.16860,0.39645
1984,30-45 y.,First Stage of Tertiary Education,Secondary School Degree,0.47961,114,190,0.40838,0.55083
1984,30-45 y.,First Stage of Tertiary Education,Intermediate School Degree,0.30370,76,190,0.23814,0.36926
1984,30-45 y.,Second Stage of Tertiary Education,Intermediate School Degree,0.10915,38,371,0.07737,0.14092
1984,30-45 y.,Second Stage of Tertiary Education,Technical School Degree,0.16734,58,371,0.12931,0.20538
1984,30-45 y.,Second Stage of Tertiary Education,Upper Secondary Degree,0.68931,244,371,0.64216,0.73647
1984,30-45 y.,Second Stage of Tertiary Education,Other Degree,0.01952,31,371,0.00542,0.03362
1984,46-65 y.,Primary Level,"Dropout, No School Degree",0.73507,283,377,0.69047,0.77968
1984,46-65 y.,Primary Level,No School Attended,0.22383,94,377,0.18170,0.26596
1984,46-65 y.,Lower Secondary Level,Secondary School Degree,0.91256,844,1084,0.89573,0.92938
1984,46-65 y.,Lower Secondary Level,Intermediate School Degree,0.05906,57,1084,0.04502,0.07310
1984,46-65 y.,Lower Secondary Level,Other Degree,0.02838,183,1084,0.01849,0.03827
1984,46-65 y.,Upper Secondary Level,Secondary School Degree,0.77943,1121,1567,0.75889,0.79996
1984,46-65 y.,Upper Secondary Level,Intermediate School Degree,0.18921,270,1567,0.16981,0.20861
1984,46-65 y.,Upper Secondary Level,Other Degree,0.01796,138,1567,0.01139,0.02454
1984,46-65 y.,Upper Secondary Level,"Dropout, No School Degree",0.00611,38,1567,0.00225,0.00997
