year,bula_h,rentown,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Owner,No,0.83842,60,60,0.74450,0.93234
1996,Schleswig-Holstein,Tenant,No,0.87621,65,65,0.79552,0.95690
1996,Hamburg,Tenant,No,0.98133,68,68,0.94893,1.01374
1996,Lower Saxony,Owner,Yes,0.18397,49,235,0.13433,0.23362
1996,Lower Saxony,Owner,No,0.81603,186,235,0.76638,0.86567
1996,Lower Saxony,Tenant,No,0.89808,269,269,0.86186,0.93431
1996,Bremen,Tenant,No,0.96589,37,37,0.90660,1.02518
1996,North Rhine-Westphalia,Owner,Yes,0.14464,64,430,0.11135,0.17792
1996,North Rhine-Westphalia,Owner,No,0.85536,366,430,0.82208,0.88865
1996,North Rhine-Westphalia,Tenant,Yes,0.05737,46,859,0.04181,0.07293
1996,North Rhine-Westphalia,Tenant,No,0.94263,813,859,0.92707,0.95819
1996,Hesse,Owner,No,0.84120,131,131,0.77838,0.90403
1996,Hesse,Tenant,No,0.93841,288,288,0.91059,0.96622
1996,"Rhineland-Palatinate, Saarland",Owner,Yes,0.22442,37,169,0.16133,0.28751
1996,"Rhineland-Palatinate, Saarland",Owner,No,0.77558,132,169,0.71249,0.83867
1996,"Rhineland-Palatinate, Saarland",Tenant,No,0.95666,168,168,0.92577,0.98754
1996,Baden-Wuerttemberg,Owner,Yes,0.15126,46,342,0.11323,0.18929
1996,Baden-Wuerttemberg,Owner,No,0.84874,296,342,0.81071,0.88677
1996,Baden-Wuerttemberg,Tenant,Yes,0.06032,33,498,0.03939,0.08126
1996,Baden-Wuerttemberg,Tenant,No,0.93968,465,498,0.91874,0.96061
1996,Bavaria,Owner,Yes,0.18138,60,357,0.14135,0.22141
1996,Bavaria,Owner,No,0.81862,297,357,0.77859,0.85865
1996,Bavaria,Tenant,Yes,0.07262,35,504,0.04994,0.09530
1996,Bavaria,Tenant,No,0.92738,469,504,0.90470,0.95006
1996,Berlin,Tenant,No,0.91437,261,261,0.88036,0.94838
1996,Brandenburg,Owner,Yes,0.36265,42,109,0.27197,0.45332
1996,Brandenburg,Owner,No,0.63735,67,109,0.54668,0.72803
1996,Brandenburg,Tenant,No,0.88823,169,169,0.84059,0.93588
1996,Mecklenburg-Western Pomerania,Owner,No,0.63629,34,34,0.47216,0.80043
1996,Mecklenburg-Western Pomerania,Tenant,No,0.91785,129,129,0.87028,0.96542
1996,Saxony,Owner,Yes,0.18171,35,158,0.12140,0.24203
1996,Saxony,Owner,No,0.81829,123,158,0.75797,0.87860
1996,Saxony,Tenant,No,0.93207,363,363,0.90615,0.95799
1996,Saxony-Anhalt,Owner,Yes,0.39089,48,112,0.30011,0.48166
1996,Saxony-Anhalt,Owner,No,0.60911,64,112,0.51834,0.69989
1996,Saxony-Anhalt,Tenant,No,0.88995,191,191,0.84545,0.93445
1996,Thuringa,Owner,Yes,0.26810,39,141,0.19472,0.34148
1996,Thuringa,Owner,No,0.73190,102,141,0.65852,0.80528
1996,Thuringa,Tenant,No,0.91063,169,169,0.86749,0.95377
2001,Schleswig-Holstein,Owner,Yes,0.18364,43,209,0.13102,0.23626
2001,Schleswig-Holstein,Owner,No,0.81636,166,209,0.76374,0.86898
2001,Schleswig-Holstein,Tenant,No,0.92154,142,142,0.87715,0.96592
2001,Hamburg,Owner,No,0.98511,36,36,0.94499,1.02523
2001,Hamburg,Tenant,No,0.95674,138,138,0.92268,0.99081
2001,Lower Saxony,Owner,Yes,0.18501,99,522,0.15167,0.21835
2001,Lower Saxony,Owner,No,0.81499,423,522,0.78165,0.84833
2001,Lower Saxony,Tenant,Yes,0.09709,47,439,0.06936,0.12482
2001,Lower Saxony,Tenant,No,0.90291,392,439,0.87518,0.93064
2001,Bremen,Owner,No,0.90946,34,34,0.81156,1.00737
2001,Bremen,Tenant,No,0.96843,57,57,0.92263,1.01423
2001,North Rhine-Westphalia,Owner,Yes,0.17019,185,1047,0.14742,0.19296
2001,North Rhine-Westphalia,Owner,No,0.82981,862,1047,0.80704,0.85258
2001,North Rhine-Westphalia,Tenant,Yes,0.08086,127,1438,0.06677,0.09496
2001,North Rhine-Westphalia,Tenant,No,0.91914,1311,1438,0.90504,0.93323
2001,Hesse,Owner,Yes,0.13394,58,359,0.09866,0.16922
2001,Hesse,Owner,No,0.86606,301,359,0.83078,0.90134
2001,Hesse,Tenant,No,0.93364,390,390,0.90890,0.95838
2001,"Rhineland-Palatinate, Saarland",Owner,Yes,0.17085,71,411,0.13442,0.20728
2001,"Rhineland-Palatinate, Saarland",Owner,No,0.82915,340,411,0.79272,0.86558
2001,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.10708,35,309,0.07255,0.14161
2001,"Rhineland-Palatinate, Saarland",Tenant,No,0.89292,274,309,0.85839,0.92745
2001,Baden-Wuerttemberg,Owner,Yes,0.11641,81,634,0.09143,0.14140
2001,Baden-Wuerttemberg,Owner,No,0.88359,553,634,0.85860,0.90857
2001,Baden-Wuerttemberg,Tenant,Yes,0.08190,60,728,0.06197,0.10184
2001,Baden-Wuerttemberg,Tenant,No,0.91810,668,728,0.89816,0.93803
2001,Bavaria,Owner,Yes,0.14936,133,864,0.12558,0.17314
2001,Bavaria,Owner,No,0.85064,731,864,0.82686,0.87442
2001,Bavaria,Tenant,Yes,0.06137,58,752,0.04420,0.07853
2001,Bavaria,Tenant,No,0.93863,694,752,0.92147,0.95580
2001,Berlin,Owner,No,0.92529,54,54,0.85451,0.99608
2001,Berlin,Tenant,Yes,0.08221,33,421,0.05594,0.10848
2001,Berlin,Tenant,No,0.91779,388,421,0.89152,0.94406
2001,Brandenburg,Owner,Yes,0.32325,68,200,0.25827,0.38824
2001,Brandenburg,Owner,No,0.67675,132,200,0.61176,0.74173
2001,Brandenburg,Tenant,Yes,0.14794,47,300,0.10770,0.18818
2001,Brandenburg,Tenant,No,0.85206,253,300,0.81182,0.89230
2001,Mecklenburg-Western Pomerania,Owner,Yes,0.36116,43,102,0.26748,0.45484
2001,Mecklenburg-Western Pomerania,Owner,No,0.63884,59,102,0.54516,0.73252
2001,Mecklenburg-Western Pomerania,Tenant,No,0.85673,157,157,0.80176,0.91171
2001,Saxony,Owner,Yes,0.18472,67,309,0.14138,0.22806
2001,Saxony,Owner,No,0.81528,242,309,0.77194,0.85862
2001,Saxony,Tenant,Yes,0.07355,44,540,0.05151,0.09559
2001,Saxony,Tenant,No,0.92645,496,540,0.90441,0.94849
2001,Saxony-Anhalt,Owner,Yes,0.37333,90,233,0.31109,0.43557
2001,Saxony-Anhalt,Owner,No,0.62667,143,233,0.56443,0.68891
2001,Saxony-Anhalt,Tenant,Yes,0.10241,34,272,0.06631,0.13851
2001,Saxony-Anhalt,Tenant,No,0.89759,238,272,0.86149,0.93369
2001,Thuringa,Owner,Yes,0.25005,70,242,0.19538,0.30473
