year,hhtyp,quintil_oecd_hh,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,1st Quintile,No,0.93472,396,396,0.91036,0.95908
1996,Single-person household,2nd Quintile,No,0.94113,272,272,0.91310,0.96915
1996,Single-person household,3rd Quintile,No,0.94175,261,261,0.91328,0.97022
1996,Single-person household,4th Quintile,No,0.93395,231,231,0.90185,0.96605
1996,Single-person household,5th Quintile,No,0.91942,178,178,0.87932,0.95952
1996,Couple without children,1st Quintile,No,0.87975,202,202,0.83479,0.92472
1996,Couple without children,2nd Quintile,Yes,0.10269,33,317,0.06922,0.13616
1996,Couple without children,2nd Quintile,No,0.89731,284,317,0.86384,0.93078
1996,Couple without children,3rd Quintile,Yes,0.13615,50,385,0.10185,0.17045
1996,Couple without children,3rd Quintile,No,0.86385,335,385,0.82955,0.89815
1996,Couple without children,4th Quintile,Yes,0.09661,44,431,0.06869,0.12454
1996,Couple without children,4th Quintile,No,0.90339,387,431,0.87546,0.93131
1996,Couple without children,5th Quintile,Yes,0.13422,64,480,0.10369,0.16475
1996,Couple without children,5th Quintile,No,0.86578,416,480,0.83525,0.89631
1996,Single parent,1st Quintile,No,0.87368,148,148,0.81998,0.92738
1996,Single parent,2nd Quintile,No,0.86599,71,71,0.78619,0.94580
1996,Single parent,3rd Quintile,No,0.73275,43,43,0.59891,0.86658
1996,Single parent,4th Quintile,No,0.86800,41,41,0.76310,0.97290
1996,Single parent,5th Quintile,No,0.84988,31,31,0.72207,0.97770
1996,Couple with children,1st Quintile,Yes,0.11643,61,541,0.08938,0.14348
1996,Couple with children,1st Quintile,No,0.88357,480,541,0.85652,0.91062
1996,Couple with children,2nd Quintile,Yes,0.16113,97,659,0.13304,0.18922
1996,Couple with children,2nd Quintile,No,0.83887,562,659,0.81078,0.86696
1996,Couple with children,3rd Quintile,Yes,0.14896,95,613,0.12075,0.17717
1996,Couple with children,3rd Quintile,No,0.85104,518,613,0.82283,0.87925
1996,Couple with children,4th Quintile,Yes,0.17888,79,505,0.14542,0.21234
1996,Couple with children,4th Quintile,No,0.82112,426,505,0.78766,0.85458
1996,Couple with children,5th Quintile,Yes,0.19280,62,368,0.15244,0.23316
1996,Couple with children,5th Quintile,No,0.80720,306,368,0.76684,0.84756
1996,Other Combinations,3rd Quintile,No,0.70082,31,31,0.53697,0.86468
1996,Other Combinations,4th Quintile,No,0.86305,33,33,0.74393,0.98217
2001,Single-person household,1st Quintile,Yes,0.06595,59,828,0.04904,0.08287
2001,Single-person household,1st Quintile,No,0.93405,769,828,0.91713,0.95096
2001,Single-person household,2nd Quintile,Yes,0.05771,39,603,0.03908,0.07634
2001,Single-person household,2nd Quintile,No,0.94229,564,603,0.92366,0.96092
2001,Single-person household,3rd Quintile,Yes,0.06735,39,544,0.04627,0.08843
2001,Single-person household,3rd Quintile,No,0.93265,505,544,0.91157,0.95373
2001,Single-person household,4th Quintile,Yes,0.07755,40,495,0.05397,0.10114
2001,Single-person household,4th Quintile,No,0.92245,455,495,0.89886,0.94603
2001,Single-person household,5th Quintile,No,0.94913,426,426,0.92824,0.97002
2001,Couple without children,1st Quintile,Yes,0.10721,43,410,0.07722,0.13719
2001,Couple without children,1st Quintile,No,0.89279,367,410,0.86281,0.92278
2001,Couple without children,2nd Quintile,Yes,0.12595,88,624,0.09989,0.15200
2001,Couple without children,2nd Quintile,No,0.87405,536,624,0.84800,0.90011
2001,Couple without children,3rd Quintile,Yes,0.13630,104,732,0.11142,0.16117
2001,Couple without children,3rd Quintile,No,0.86370,628,732,0.83883,0.88858
2001,Couple without children,4th Quintile,Yes,0.12734,114,843,0.10482,0.14985
2001,Couple without children,4th Quintile,No,0.87266,729,843,0.85015,0.89518
2001,Couple without children,5th Quintile,Yes,0.12689,121,980,0.10604,0.14774
2001,Couple without children,5th Quintile,No,0.87311,859,980,0.85226,0.89396
2001,Single parent,1st Quintile,Yes,0.12209,41,298,0.08486,0.15933
2001,Single parent,1st Quintile,No,0.87791,257,298,0.84067,0.91514
2001,Single parent,2nd Quintile,No,0.82817,146,146,0.76676,0.88957
2001,Single parent,3rd Quintile,No,0.87233,93,93,0.80414,0.94052
2001,Single parent,4th Quintile,No,0.93540,68,68,0.87654,0.99426
2001,Single parent,5th Quintile,No,0.84189,43,43,0.73155,0.95223
2001,Couple with children,1st Quintile,Yes,0.16635,112,642,0.13752,0.19518
2001,Couple with children,1st Quintile,No,0.83365,530,642,0.80482,0.86248
2001,Couple with children,2nd Quintile,Yes,0.20483,202,995,0.17974,0.22992
2001,Couple with children,2nd Quintile,No,0.79517,793,995,0.77008,0.82026
2001,Couple with children,3rd Quintile,Yes,0.18578,202,996,0.16161,0.20994
2001,Couple with children,3rd Quintile,No,0.81422,794,996,0.79006,0.83839
2001,Couple with children,4th Quintile,Yes,0.17949,162,896,0.15434,0.20463
2001,Couple with children,4th Quintile,No,0.82051,734,896,0.79537,0.84566
2001,Couple with children,5th Quintile,Yes,0.18293,112,646,0.15309,0.21276
2001,Couple with children,5th Quintile,No,0.81707,534,646,0.78724,0.84691
2001,Multi-generational household,2nd Quintile,No,0.83559,37,37,0.71451,0.95667
2006,Single-person household,1st Quintile,Yes,0.06993,63,847,0.05274,0.08711
2006,Single-person household,1st Quintile,No,0.93007,784,847,0.91289,0.94726
2006,Single-person household,2nd Quintile,Yes,0.08321,55,646,0.06189,0.10452
2006,Single-person household,2nd Quintile,No,0.91679,591,646,0.89548,0.93811
2006,Single-person household,3rd Quintile,Yes,0.06121,36,602,0.04205,0.08038
2006,Single-person household,3rd Quintile,No,0.93879,566,602,0.91962,0.95795
2006,Single-person household,4th Quintile,Yes,0.07953,46,591,0.05770,0.10136
2006,Single-person household,4th Quintile,No,0.92047,545,591,0.89864,0.94230
