year,hhtyp,regtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Urban regions,Yes,0.06995,66,1011,0.05422,0.08568
1996,Single-person household,Urban regions,No,0.93005,945,1011,0.91432,0.94578
1996,Single-person household,Rural regions,No,0.94303,396,396,0.92017,0.96589
1996,Couple without children,Urban regions,Yes,0.10924,125,1234,0.09183,0.12665
1996,Couple without children,Urban regions,No,0.89076,1109,1234,0.87335,0.90817
1996,Couple without children,Rural regions,Yes,0.14343,91,607,0.11552,0.17133
1996,Couple without children,Rural regions,No,0.85657,516,607,0.82867,0.88448
1996,Single parent,Urban regions,No,0.86531,230,230,0.82109,0.90953
1996,Single parent,Rural regions,No,0.80559,104,104,0.72916,0.88201
1996,Couple with children,Urban regions,Yes,0.12943,188,1732,0.11362,0.14524
1996,Couple with children,Urban regions,No,0.87057,1544,1732,0.85476,0.88638
1996,Couple with children,Rural regions,Yes,0.22412,206,954,0.19765,0.25060
1996,Couple with children,Rural regions,No,0.77588,748,954,0.74940,0.80235
1996,Multi-generational household,Urban regions,No,0.89038,71,71,0.81720,0.96357
1996,Multi-generational household,Rural regions,No,0.76946,35,35,0.62789,0.91103
1996,Other Combinations,Urban regions,No,0.84194,78,78,0.76046,0.92342
1996,Other Combinations,Rural regions,No,0.70372,51,51,0.57716,0.83029
2001,Single-person household,Urban regions,Yes,0.05697,120,2062,0.04697,0.06698
2001,Single-person household,Urban regions,No,0.94303,1942,2062,0.93302,0.95303
2001,Single-person household,Rural regions,Yes,0.08247,84,864,0.06412,0.10083
2001,Single-person household,Rural regions,No,0.91753,780,864,0.89917,0.93588
2001,Couple without children,Urban regions,Yes,0.10477,248,2377,0.09246,0.11709
2001,Couple without children,Urban regions,No,0.89523,2129,2377,0.88291,0.90754
2001,Couple without children,Rural regions,Yes,0.17464,222,1212,0.15326,0.19602
2001,Couple without children,Rural regions,No,0.82536,990,1212,0.80398,0.84674
2001,Single parent,Urban regions,Yes,0.12032,57,467,0.09078,0.14986
2001,Single parent,Urban regions,No,0.87968,410,467,0.85014,0.90922
2001,Single parent,Rural regions,Yes,0.15903,42,239,0.11257,0.20550
2001,Single parent,Rural regions,No,0.84097,197,239,0.79450,0.88743
2001,Couple with children,Urban regions,Yes,0.16016,416,2689,0.14630,0.17403
