"plj0046","year","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Grosse Sorgen","1999","kein Migrationshintergrund","4034","0.379084281041053","0.369941487945165","0.388227074136941"
"Grosse Sorgen","1999","direkter Migrationshintergrund","524","0.259190806063648","0.240871997468725","0.277509614658571"
"Grosse Sorgen","1999","indirekter Migrationshintergrund","143","0.266541646311732","0.231192321531945","0.301890971091519"
"Grosse Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1999","kein Migrationshintergrund","4981","0.454713044117184","0.445329304746083","0.464096783488284"
"Einige Sorgen","1999","direkter Migrationshintergrund","1025","0.451684536586649","0.430879566040406","0.472489507132892"
"Einige Sorgen","1999","indirekter Migrationshintergrund","283","0.447238274228297","0.407487158896645","0.48698938955995"
"Einige Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1999","kein Migrationshintergrund","1802","0.166202674841763","0.15918741229075","0.173217937392776"
"Keine Sorgen","1999","direkter Migrationshintergrund","649","0.289124657349703","0.270171850450534","0.308077464248873"
"Keine Sorgen","1999","indirekter Migrationshintergrund","175","0.286220079459971","0.250083830694789","0.322356328225153"
"Keine Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2000","kein Migrationshintergrund","6322","0.320736384081655","0.314229201802129","0.327243566361181"
"Grosse Sorgen","2000","direkter Migrationshintergrund","571","0.179908768813852","0.166700968775731","0.193116568851973"
"Grosse Sorgen","2000","indirekter Migrationshintergrund","139","0.192517011617481","0.165331115236054","0.219702907998907"
"Grosse Sorgen","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2000","kein Migrationshintergrund","9095","0.454831231343501","0.447889140301793","0.461773322385209"
"Einige Sorgen","2000","direkter Migrationshintergrund","1453","0.433861735632982","0.416820143590114","0.45090332767585"
"Einige Sorgen","2000","indirekter Migrationshintergrund","374","0.445222123401156","0.410953998124217","0.479490248678096"
"Einige Sorgen","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2000","kein Migrationshintergrund","4348","0.224432384574844","0.218616011212644","0.230248757937045"
"Keine Sorgen","2000","direkter Migrationshintergrund","1225","0.386229495553166","0.369487818474708","0.402971172631623"
"Keine Sorgen","2000","indirekter Migrationshintergrund","295","0.362260864981363","0.329119174675508","0.395402555287218"
"Keine Sorgen","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2001","kein Migrationshintergrund","4727","0.260010847133877","0.253613710825114","0.26640798344264"
"Grosse Sorgen","2001","direkter Migrationshintergrund","462","0.15679645898435","0.143505280116215","0.170087637852484"
"Grosse Sorgen","2001","indirekter Migrationshintergrund","130","0.17365590944368","0.146670724585215","0.200641094302144"
"Grosse Sorgen","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2001","kein Migrationshintergrund","8644","0.479880034095976","0.472593931237301","0.487166136954652"
"Einige Sorgen","2001","direkter Migrationshintergrund","1316","0.443243025933746","0.425084401143529","0.461401650723964"
"Einige Sorgen","2001","indirekter Migrationshintergrund","333","0.436937254828271","0.401603638750332","0.472270870906209"
"Einige Sorgen","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2001","kein Migrationshintergrund","4690","0.260109118770146","0.25371119853903","0.266507039001263"
"Keine Sorgen","2001","direkter Migrationshintergrund","1097","0.399960515081904","0.382053316868893","0.417867713294915"
"Keine Sorgen","2001","indirekter Migrationshintergrund","294","0.38940683572805","0.354670987725411","0.424142683730688"
