year,regtyp,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,Owner,,,,,,,,,,,,
1985,Urban regions,Tenant,,,,,,,,,,,,
1985,Rural regions,Owner,,,,,,,,,,,,
1985,Rural regions,Tenant,,,,,,,,,,,,
1986,Urban regions,Owner,,,,,,,,,,,,
1986,Urban regions,Tenant,,,,,,,,,,,,
1986,Rural regions,Owner,,,,,,,,,,,,
1986,Rural regions,Tenant,,,,,,,,,,,,
1987,Urban regions,Owner,,,,,,,,,,,,
1987,Urban regions,Tenant,,,,,,,,,,,,
1987,Rural regions,Owner,,,,,,,,,,,,
1987,Rural regions,Tenant,,,,,,,,,,,,
1988,Urban regions,Owner,,,,,,,,,,,,
1988,Urban regions,Tenant,,,,,,,,,,,,
1988,Rural regions,Owner,,,,,,,,,,,,
1988,Rural regions,Tenant,,,,,,,,,,,,
1989,Urban regions,Owner,,,,,,,,,,,,
1989,Urban regions,Tenant,,,,,,,,,,,,
1989,Rural regions,Owner,,,,,,,,,,,,
1989,Rural regions,Tenant,,,,,,,,,,,,
1990,Urban regions,Owner,,,,,,,,,,,,
1990,Urban regions,Tenant,,,,,,,,,,,,
1990,Rural regions,Owner,,,,,,,,,,,,
1990,Rural regions,Tenant,,,,,,,,,,,,
1991,Urban regions,Owner,,,,,,,,,,,,
1991,Urban regions,Tenant,,,,,,,,,,,,
1991,Rural regions,Owner,,,,,,,,,,,,
1991,Rural regions,Tenant,,,,,,,,,,,,
1992,Urban regions,Owner,,,,,,,,,,,,
1992,Urban regions,Tenant,,,,,,,,,,,,
1992,Rural regions,Owner,,,,,,,,,,,,
1992,Rural regions,Tenant,,,,,,,,,,,,
1993,Urban regions,Owner,,,,,,,,,,,,
1993,Urban regions,Tenant,,,,,,,,,,,,
1993,Rural regions,Owner,,,,,,,,,,,,
1993,Rural regions,Tenant,,,,,,,,,,,,
1994,Urban regions,Owner,,,,,,,,,,,,
1994,Urban regions,Tenant,,,,,,,,,,,,
1994,Rural regions,Owner,,,,,,,,,,,,
1994,Rural regions,Tenant,,,,,,,,,,,,
1995,Urban regions,Owner,,,,,,,,,,,,
1995,Urban regions,Tenant,,,,,,,,,,,,
1995,Rural regions,Owner,,,,,,,,,,,,
1995,Rural regions,Tenant,,,,,,,,,,,,
1996,Urban regions,Owner,,,,,,,,,,,,
1996,Urban regions,Tenant,,,,,,,,,,,,
1996,Rural regions,Owner,,,,,,,,,,,,
1996,Rural regions,Tenant,,,,,,,,,,,,
1997,Urban regions,Owner,,,,,,,,,,,,
1997,Urban regions,Tenant,,,,,,,,,,,,
1997,Rural regions,Owner,,,,,,,,,,,,
1997,Rural regions,Tenant,,,,,,,,,,,,
1998,Urban regions,Owner,,,,,,,,,,,,
1998,Urban regions,Tenant,,,,,,,,,,,,
1998,Rural regions,Owner,,,,,,,,,,,,
1998,Rural regions,Tenant,,,,,,,,,,,,
1999,Urban regions,Owner,,,,,,,,,,,,
1999,Urban regions,Tenant,,,,,,,,,,,,
1999,Rural regions,Owner,,,,,,,,,,,,
1999,Rural regions,Tenant,,,,,,,,,,,,
2000,Urban regions,Owner,,,,,,,,,,,,
2000,Urban regions,Tenant,,,,,,,,,,,,
2000,Rural regions,Owner,,,,,,,,,,,,
2000,Rural regions,Tenant,,,,,,,,,,,,
2001,Urban regions,Owner,,,,,,,,,,,,
2001,Urban regions,Tenant,,,,,,,,,,,,
2001,Rural regions,Owner,,,,,,,,,,,,
2001,Rural regions,Tenant,,,,,,,,,,,,
2002,Urban regions,Owner,,,,,,,,,,,,
2002,Urban regions,Tenant,,,,,,,,,,,,
2002,Rural regions,Owner,,,,,,,,,,,,
2002,Rural regions,Tenant,,,,,,,,,,,,
2003,Urban regions,Owner,,,,,,,,,,,,
2003,Urban regions,Tenant,,,,,,,,,,,,
2003,Rural regions,Owner,,,,,,,,,,,,
2003,Rural regions,Tenant,,,,,,,,,,,,
2004,Urban regions,Owner,,,,,,,,,,,,
2004,Urban regions,Tenant,,,,,,,,,,,,
2004,Rural regions,Owner,,,,,,,,,,,,
2004,Rural regions,Tenant,,,,,,,,,,,,
2005,Urban regions,Owner,,,,,,,,,,,,
2005,Urban regions,Tenant,,,,,,,,,,,,
2005,Rural regions,Owner,,,,,,,,,,,,
2005,Rural regions,Tenant,,,,,,,,,,,,
2006,Urban regions,Owner,,,,,,,,,,,,
2006,Urban regions,Tenant,,,,,,,,,,,,
2006,Rural regions,Owner,,,,,,,,,,,,
2006,Rural regions,Tenant,,,,,,,,,,,,
2007,Urban regions,Owner,,,,,,,,,,,,
2007,Urban regions,Tenant,,,,,,,,,,,,
2007,Rural regions,Owner,,,,,,,,,,,,
2007,Rural regions,Tenant,,,,,,,,,,,,
2008,Urban regions,Owner,,,,,,,,,,,,
2008,Urban regions,Tenant,,,,,,,,,,,,
2008,Rural regions,Owner,,,,,,,,,,,,
2008,Rural regions,Tenant,,,,,,,,,,,,
2009,Urban regions,Owner,,,,,,,,,,,,
2009,Urban regions,Tenant,,,,,,,,,,,,
2009,Rural regions,Owner,,,,,,,,,,,,
2009,Rural regions,Tenant,,,,,,,,,,,,
2010,Urban regions,Owner,,,,,,,,,,,,
2010,Urban regions,Tenant,5041,52.203460779754714,51.41343279654571,52.993488762963715,31.0,46.0,65.0,8.0,116.0,46.0,45.0,47.0
2010,Rural regions,Owner,,,,,,,,,,,,
2010,Rural regions,Tenant,2037,51.36854062641364,50.062428807157964,52.67465244566932,32.0,46.0,60.0,1.0,102.0,46.0,42.0,48.0
2011,Urban regions,Owner,,,,,,,,,,,,
2011,Urban regions,Tenant,5893,55.129573963079245,54.31492707539913,55.94422085075936,35.0,50.0,70.0,4.0,122.5,50.0,50.0,51.0
2011,Rural regions,Owner,,,,,,,,,,,,
2011,Rural regions,Tenant,2539,52.92915623352043,51.78113905650719,54.07717341053367,33.0,49.0,65.0,1.0,113.0,49.0,48.0,53.0
2012,Urban regions,Owner,,,,,,,,,,,,
2012,Urban regions,Tenant,5704,55.61620945802079,54.810087138770356,56.422331777271225,35.0,50.0,70.0,4.0,122.5,50.0,50.0,51.0
2012,Rural regions,Owner,,,,,,,,,,,,
2012,Rural regions,Tenant,2563,54.89630872740199,53.707303292951025,56.08531416185295,35.0,50.0,70.0,5.0,122.5,50.0,50.0,54.0
2013,Urban regions,Owner,,,,,,,,,,,,
2013,Urban regions,Tenant,6932,57.86898836636657,57.12386805715952,58.614108675573625,36.0,50.0,70.0,6.0,121.0,50.0,50.0,50.0
2013,Rural regions,Owner,,,,,,,,,,,,
2013,Rural regions,Tenant,2799,56.954290215216815,55.79932628280033,58.1092541476333,35.0,50.0,70.0,0.0,122.5,50.0,50.0,50.0
