year,hhtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Single-person household,,,,,,,,,,,,
1984,Couple without children,,,,,,,,,,,,
1984,Single parent,,,,,,,,,,,,
1984,Couple with children,,,,,,,,,,,,
1984,Multi-generational household,,,,,,,,,,,,
1984,Other Combinations,,,,,,,,,,,,
1985,Single-person household,,,,,,,,,,,,
1985,Couple without children,,,,,,,,,,,,
1985,Single parent,,,,,,,,,,,,
1985,Couple with children,,,,,,,,,,,,
1985,Multi-generational household,,,,,,,,,,,,
1985,Other Combinations,,,,,,,,,,,,
1986,Single-person household,,,,,,,,,,,,
1986,Couple without children,,,,,,,,,,,,
1986,Single parent,,,,,,,,,,,,
1986,Couple with children,,,,,,,,,,,,
1986,Multi-generational household,,,,,,,,,,,,
1986,Other Combinations,,,,,,,,,,,,
1987,Single-person household,,,,,,,,,,,,
1987,Couple without children,,,,,,,,,,,,
1987,Single parent,,,,,,,,,,,,
1987,Couple with children,,,,,,,,,,,,
1987,Multi-generational household,,,,,,,,,,,,
1987,Other Combinations,,,,,,,,,,,,
1988,Single-person household,,,,,,,,,,,,
1988,Couple without children,,,,,,,,,,,,
1988,Single parent,,,,,,,,,,,,
1988,Couple with children,,,,,,,,,,,,
1988,Multi-generational household,,,,,,,,,,,,
1988,Other Combinations,,,,,,,,,,,,
1989,Single-person household,,,,,,,,,,,,
1989,Couple without children,,,,,,,,,,,,
1989,Single parent,,,,,,,,,,,,
1989,Couple with children,,,,,,,,,,,,
1989,Multi-generational household,,,,,,,,,,,,
1989,Other Combinations,,,,,,,,,,,,
1990,Single-person household,,,,,,,,,,,,
1990,Couple without children,,,,,,,,,,,,
1990,Single parent,,,,,,,,,,,,
1990,Couple with children,,,,,,,,,,,,
1990,Multi-generational household,,,,,,,,,,,,
1990,Other Combinations,,,,,,,,,,,,
1991,Single-person household,,,,,,,,,,,,
1991,Couple without children,,,,,,,,,,,,
1991,Single parent,,,,,,,,,,,,
1991,Couple with children,,,,,,,,,,,,
1991,Multi-generational household,,,,,,,,,,,,
1991,Other Combinations,,,,,,,,,,,,
1992,Single-person household,,,,,,,,,,,,
1992,Couple without children,,,,,,,,,,,,
1992,Single parent,,,,,,,,,,,,
1992,Couple with children,,,,,,,,,,,,
1992,Multi-generational household,,,,,,,,,,,,
1992,Other Combinations,,,,,,,,,,,,
1993,Single-person household,,,,,,,,,,,,
1993,Couple without children,,,,,,,,,,,,
1993,Single parent,,,,,,,,,,,,
1993,Couple with children,,,,,,,,,,,,
1993,Multi-generational household,,,,,,,,,,,,
1993,Other Combinations,,,,,,,,,,,,
1994,Single-person household,,,,,,,,,,,,
1994,Couple without children,,,,,,,,,,,,
1994,Single parent,,,,,,,,,,,,
1994,Couple with children,,,,,,,,,,,,
1994,Multi-generational household,,,,,,,,,,,,
1994,Other Combinations,,,,,,,,,,,,
1995,Single-person household,,,,,,,,,,,,
1995,Couple without children,,,,,,,,,,,,
1995,Single parent,,,,,,,,,,,,
1995,Couple with children,,,,,,,,,,,,
1995,Multi-generational household,,,,,,,,,,,,
1995,Other Combinations,,,,,,,,,,,,
1996,Single-person household,,,,,,,,,,,,
1996,Couple without children,,,,,,,,,,,,
1996,Single parent,,,,,,,,,,,,
1996,Couple with children,,,,,,,,,,,,
1996,Multi-generational household,,,,,,,,,,,,
1996,Other Combinations,,,,,,,,,,,,
1997,Single-person household,,,,,,,,,,,,
1997,Couple without children,,,,,,,,,,,,
1997,Single parent,,,,,,,,,,,,
1997,Couple with children,,,,,,,,,,,,
1997,Multi-generational household,,,,,,,,,,,,
1997,Other Combinations,,,,,,,,,,,,
1998,Single-person household,,,,,,,,,,,,
1998,Couple without children,,,,,,,,,,,,
1998,Single parent,,,,,,,,,,,,
1998,Couple with children,,,,,,,,,,,,
1998,Multi-generational household,,,,,,,,,,,,
1998,Other Combinations,,,,,,,,,,,,
1999,Single-person household,,,,,,,,,,,,
1999,Couple without children,,,,,,,,,,,,
1999,Single parent,,,,,,,,,,,,
1999,Couple with children,,,,,,,,,,,,
1999,Multi-generational household,,,,,,,,,,,,
1999,Other Combinations,,,,,,,,,,,,
2000,Single-person household,,,,,,,,,,,,
2000,Couple without children,,,,,,,,,,,,
2000,Single parent,,,,,,,,,,,,
2000,Couple with children,,,,,,,,,,,,
2000,Multi-generational household,,,,,,,,,,,,
2000,Other Combinations,,,,,,,,,,,,
2001,Single-person household,,,,,,,,,,,,
2001,Couple without children,,,,,,,,,,,,
2001,Single parent,,,,,,,,,,,,
2001,Couple with children,,,,,,,,,,,,
2001,Multi-generational household,,,,,,,,,,,,
2001,Other Combinations,,,,,,,,,,,,
2002,Single-person household,,,,,,,,,,,,
2002,Couple without children,,,,,,,,,,,,
2002,Single parent,,,,,,,,,,,,
2002,Couple with children,,,,,,,,,,,,
2002,Multi-generational household,,,,,,,,,,,,
2002,Other Combinations,,,,,,,,,,,,
2003,Single-person household,,,,,,,,,,,,
2003,Couple without children,,,,,,,,,,,,
2003,Single parent,,,,,,,,,,,,
2003,Couple with children,,,,,,,,,,,,
2003,Multi-generational household,,,,,,,,,,,,
2003,Other Combinations,,,,,,,,,,,,
2004,Single-person household,,,,,,,,,,,,
2004,Couple without children,,,,,,,,,,,,
2004,Single parent,,,,,,,,,,,,
2004,Couple with children,,,,,,,,,,,,
2004,Multi-generational household,,,,,,,,,,,,
2004,Other Combinations,,,,,,,,,,,,
2005,Single-person household,,,,,,,,,,,,
2005,Couple without children,,,,,,,,,,,,
2005,Single parent,,,,,,,,,,,,
2005,Couple with children,,,,,,,,,,,,
2005,Multi-generational household,,,,,,,,,,,,
2005,Other Combinations,,,,,,,,,,,,
2006,Single-person household,,,,,,,,,,,,
2006,Couple without children,,,,,,,,,,,,
2006,Single parent,,,,,,,,,,,,
2006,Couple with children,,,,,,,,,,,,
2006,Multi-generational household,,,,,,,,,,,,
2006,Other Combinations,,,,,,,,,,,,
2007,Single-person household,,,,,,,,,,,,
2007,Couple without children,,,,,,,,,,,,
2007,Single parent,,,,,,,,,,,,
2007,Couple with children,,,,,,,,,,,,
2007,Multi-generational household,,,,,,,,,,,,
2007,Other Combinations,,,,,,,,,,,,
2008,Single-person household,,,,,,,,,,,,
2008,Couple without children,,,,,,,,,,,,
2008,Single parent,,,,,,,,,,,,
2008,Couple with children,,,,,,,,,,,,
2008,Multi-generational household,,,,,,,,,,,,
2008,Other Combinations,,,,,,,,,,,,
2009,Single-person household,,,,,,,,,,,,
2009,Couple without children,,,,,,,,,,,,
2009,Single parent,,,,,,,,,,,,
2009,Couple with children,,,,,,,,,,,,
2009,Multi-generational household,,,,,,,,,,,,
2009,Other Combinations,,,,,,,,,,,,
2010,Single-person household,1686,40.36284777576133,39.84120465703811,40.88449089448455,27.0,35.0,50.0,1.0,84.5,35.0,32.0,35.0
2010,Couple without children,1366,56.5621805798104,55.87025861210006,57.254102547520745,40.0,50.0,68.0,7.0,110.0,50.0,47.0,50.0
2010,Single parent,1402,61.55100088178658,60.83998367699912,62.26201808657404,40.0,55.0,72.0,10.0,120.0,55.0,50.0,58.025
2010,Couple with children,2560,74.86391178824219,74.26600715517753,75.46181642130685,50.0,70.0,91.0,10.0,152.5,70.0,70.0,73.0
2010,Multi-generational household,34,71.74865103332205,63.677871609066656,79.81943045757744,35.889294305615394,68.0,87.0532104977272,20.0,163.79908478589493,68.0,57.0,94.0
