year,bula_h,pgisced97,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Schleswig-Holstein,Lower Secondary Level,Yes,0.36837,37,89,0.26758,0.46915
2002,Schleswig-Holstein,Lower Secondary Level,No,0.63163,52,89,0.53085,0.73242
2002,Schleswig-Holstein,Upper Secondary Level,Yes,0.36582,137,383,0.31752,0.41412
2002,Schleswig-Holstein,Upper Secondary Level,No,0.63418,246,383,0.58588,0.68248
2002,Schleswig-Holstein,Post-secondary Non-tertiary Level,No,0.95980,33,33,0.89175,1.02786
2002,Schleswig-Holstein,First Stage of Tertiary Education,No,0.71083,40,40,0.56854,0.85312
2002,Schleswig-Holstein,Second Stage of Tertiary Education,No,0.80554,96,96,0.72595,0.88513
2002,Hamburg,Upper Secondary Level,Yes,0.40053,56,158,0.32388,0.47718
2002,Hamburg,Upper Secondary Level,No,0.59947,102,158,0.52282,0.67612
2002,Hamburg,Second Stage of Tertiary Education,No,0.73544,69,69,0.63060,0.84029
2002,Lower Saxony,Pre-primary Level,No,0.89282,50,50,0.80621,0.97944
2002,Lower Saxony,Lower Secondary Level,Yes,0.33228,98,278,0.27681,0.38775
2002,Lower Saxony,Lower Secondary Level,No,0.66772,180,278,0.61225,0.72319
2002,Lower Saxony,Upper Secondary Level,Yes,0.32969,365,1038,0.30108,0.35830
2002,Lower Saxony,Upper Secondary Level,No,0.66943,673,1038,0.64080,0.69806
2002,Lower Saxony,Post-secondary Non-tertiary Level,Yes,0.31596,39,124,0.23380,0.39812
2002,Lower Saxony,Post-secondary Non-tertiary Level,No,0.68404,85,124,0.60188,0.76620
2002,Lower Saxony,First Stage of Tertiary Education,Yes,0.29747,39,127,0.21765,0.37729
2002,Lower Saxony,First Stage of Tertiary Education,No,0.70253,88,127,0.62271,0.78235
2002,Lower Saxony,Second Stage of Tertiary Education,Yes,0.25780,72,311,0.20910,0.30649
2002,Lower Saxony,Second Stage of Tertiary Education,No,0.74220,239,311,0.69351,0.79090
2002,Bremen,Upper Secondary Level,Yes,0.35189,32,87,0.25096,0.45283
2002,Bremen,Upper Secondary Level,No,0.64811,55,87,0.54717,0.74904
2002,North Rhine-Westphalia,Pre-primary Level,Yes,0.29446,42,146,0.22027,0.36865
2002,North Rhine-Westphalia,Pre-primary Level,No,0.70554,104,146,0.63135,0.77973
2002,North Rhine-Westphalia,Primary Level,Yes,0.40876,40,104,0.31382,0.50370
2002,North Rhine-Westphalia,Primary Level,No,0.59124,64,104,0.49630,0.68618
2002,North Rhine-Westphalia,Lower Secondary Level,Yes,0.34509,226,627,0.30785,0.38233
2002,North Rhine-Westphalia,Lower Secondary Level,No,0.65265,401,627,0.61535,0.68995
2002,North Rhine-Westphalia,Upper Secondary Level,Yes,0.33220,806,2356,0.31318,0.35122
2002,North Rhine-Westphalia,Upper Secondary Level,No,0.66780,1550,2356,0.64878,0.68682
2002,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Yes,0.34621,121,353,0.29651,0.39592
2002,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.65379,232,353,0.60408,0.70349
2002,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.26299,106,351,0.21686,0.30911
2002,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.73701,245,351,0.69089,0.78314
2002,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.25821,215,889,0.22942,0.28699
2002,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.74179,674,889,0.71301,0.77058
2002,Hesse,Lower Secondary Level,Yes,0.33666,91,232,0.27572,0.39760
2002,Hesse,Lower Secondary Level,No,0.66334,141,232,0.60240,0.72428
2002,Hesse,Upper Secondary Level,Yes,0.32001,245,773,0.28710,0.35292
2002,Hesse,Upper Secondary Level,No,0.67999,528,773,0.64708,0.71290
2002,Hesse,Post-secondary Non-tertiary Level,No,0.72438,85,85,0.62883,0.81994
2002,Hesse,First Stage of Tertiary Education,Yes,0.32535,31,103,0.23442,0.41627
2002,Hesse,First Stage of Tertiary Education,No,0.67465,72,103,0.58373,0.76558
2002,Hesse,Second Stage of Tertiary Education,Yes,0.26107,91,352,0.21512,0.30701
2002,Hesse,Second Stage of Tertiary Education,No,0.73893,261,352,0.69299,0.78488
2002,"Rhineland-Palatinate, Saarland",Pre-primary Level,No,0.80315,31,31,0.66086,0.94543
2002,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.22119,55,239,0.16846,0.27392
2002,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.77881,184,239,0.72608,0.83154
2002,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.35621,265,714,0.32106,0.39136
2002,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.64083,449,714,0.60562,0.67605
2002,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,No,0.56002,35,35,0.39317,0.72688
2002,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Yes,0.32548,31,109,0.23711,0.41384
2002,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,No,0.67452,78,109,0.58616,0.76289
2002,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Yes,0.18592,41,185,0.12971,0.24213
2002,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.81408,144,185,0.75787,0.87029
2002,Baden-Wuerttemberg,Pre-primary Level,No,0.72841,69,69,0.62269,0.83413
2002,Baden-Wuerttemberg,Primary Level,No,0.54502,32,32,0.36972,0.72032
2002,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.26168,157,490,0.22272,0.30064
2002,Baden-Wuerttemberg,Lower Secondary Level,No,0.73832,333,490,0.69936,0.77728
2002,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.30324,406,1294,0.27819,0.32830
2002,Baden-Wuerttemberg,Upper Secondary Level,No,0.69613,888,1294,0.67106,0.72120
2002,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Yes,0.24175,39,135,0.16926,0.31425
