"ple0081_h","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2002","(noch) kein Abschluss","kein Migrationshintergrund","139","0.254111309695492","0.218117406725777","0.290105212665207"
"Ja","2002","(noch) kein Abschluss","direkter Migrationshintergrund","79","0.320457485421892","0.26362564298587","0.377289327857915"
"Ja","2002","(noch) kein Abschluss","indirekter Migrationshintergrund","24","","",""
"Ja","2002","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","Hauptschule","kein Migrationshintergrund","2204","0.29545248919527","0.284924900904322","0.305980077486217"
"Ja","2002","Hauptschule","direkter Migrationshintergrund","493","0.335291505955454","0.310899664751381","0.359683347159527"
"Ja","2002","Hauptschule","indirekter Migrationshintergrund","146","0.6062847911034","0.547011741801992","0.665557840404809"
"Ja","2002","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","Realschule","kein Migrationshintergrund","1954","0.348413804147505","0.335883005038576","0.360944603256433"
"Ja","2002","Realschule","direkter Migrationshintergrund","70","0.293882016471616","0.234622199727191","0.353141833216041"
"Ja","2002","Realschule","indirekter Migrationshintergrund","99","0.445936973898635","0.378222853039959","0.51365109475731"
"Ja","2002","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","(Fach-)Abitur","kein Migrationshintergrund","565","0.294585974953763","0.27401261023938","0.315159339668146"
"Ja","2002","(Fach-)Abitur","direkter Migrationshintergrund","152","0.329544194098096","0.285673883761732","0.373414504434461"
"Ja","2002","(Fach-)Abitur","indirekter Migrationshintergrund","37","0.304632941640065","0.22520949595223","0.3840563873279"
"Ja","2002","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","AkademikerIn","kein Migrationshintergrund","868","0.227410339644926","0.214575375544601","0.24024530374525"
"Ja","2002","AkademikerIn","direkter Migrationshintergrund","91","0.218833878935878","0.17795671140127","0.259711046470486"
"Ja","2002","AkademikerIn","indirekter Migrationshintergrund","18","","",""
"Ja","2002","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2002","(noch) kein Abschluss","kein Migrationshintergrund","423","0.745888690304508","0.709894787334793","0.781882593274223"
"Nein","2002","(noch) kein Abschluss","direkter Migrationshintergrund","180","0.679542514578108","0.622710672142085","0.73637435701413"
"Nein","2002","(noch) kein Abschluss","indirekter Migrationshintergrund","64","0.737762919149755","0.645863616160885","0.829662222138625"
"Nein","2002","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
