year,rentown,hgroom,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1984,Owner,2 rooms,0.07733,122,5770,0,0.07420,0,0.08079
1984,Owner,3 rooms,0.23481,427,5770,0,0.22816,0,0.24141
1984,Owner,4 rooms,0.27791,559,5770,0,0.27118,0,0.28445
1984,Owner,5 rooms,0.19570,414,5770,0,0.19111,0,0.20020
1984,Owner,6 rooms,0.12836,256,5770,0,0.12505,0,0.13158
1984,Owner,7 rooms,0.05491,112,5770,0,0.05226,0,0.05721
1984,Owner,8 rooms,0.03099,60,5770,0,0.02931,0,0.03281
1984,Tenant,1 room,0.08622,284,5770,0,0.08109,0,0.09081
1984,Tenant,2 rooms,0.30549,1027,5770,0,0.29467,0,0.31722
1984,Tenant,3 rooms,0.40780,1646,5770,0,0.39441,0,0.42103
1984,Tenant,4 rooms,0.14614,625,5770,0,0.13814,0,0.15221
1984,Tenant,5 rooms,0.04142,184,5770,0,0.03814,0,0.04412
1984,Tenant,6 rooms,0.01293,54,5770,0,0.01118,0,0.01458
1985,Owner,2 rooms,0.07946,110,5177,0,0.07484,0,0.08387
1985,Owner,3 rooms,0.22922,380,5177,0,0.21992,0,0.23734
1985,Owner,4 rooms,0.27622,517,5177,0,0.26967,0,0.28546
1985,Owner,5 rooms,0.20250,399,5177,0,0.19589,0,0.20932
1985,Owner,6 rooms,0.12899,247,5177,0,0.12445,0,0.13434
1985,Owner,7 rooms,0.05521,108,5177,0,0.05252,0,0.05757
1985,Owner,8 rooms,0.02839,52,5177,0,0.02626,0,0.03058
1985,Tenant,1 room,0.09014,248,5177,0,0.08355,0,0.09776
1985,Tenant,2 rooms,0.30379,870,5177,0,0.29184,0,0.31647
1985,Tenant,3 rooms,0.40621,1454,5177,0,0.39032,0,0.42192
1985,Tenant,4 rooms,0.14763,578,5177,0,0.13892,0,0.15542
1985,Tenant,5 rooms,0.03916,163,5177,0,0.03592,0,0.04259
1985,Tenant,6 rooms,0.01307,51,5177,0,0.01131,0,0.01477
1986,Owner,2 rooms,0.07082,95,4947,0,0.06671,0,0.07516
1986,Owner,3 rooms,0.23640,385,4947,0,0.22534,0,0.24639
1986,Owner,4 rooms,0.27072,491,4947,0,0.26396,0,0.27905
1986,Owner,5 rooms,0.19488,385,4947,0,0.18903,0,0.20141
1986,Owner,6 rooms,0.13418,254,4947,0,0.12983,0,0.13976
1986,Owner,7 rooms,0.05672,108,4947,0,0.05289,0,0.06011
1986,Owner,8 rooms,0.03627,65,4947,0,0.03301,0,0.03938
1986,Tenant,1 room,0.09500,238,4947,0,0.08852,0,0.10201
1986,Tenant,2 rooms,0.30245,811,4947,0,0.28624,0,0.31532
