"year","hhtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Ehe-)Paar ohne Kind(er)","2","2","2702","2","2","2","2","2","2","2","2","2","2","2"
"1984","1-Pers.- Haushalt","1","1","1288","1","1","1","1","1","1","1","1","1","1","1"
"1984","Alleinerziehende","2.68","2","828","2","2","3","4","6","2.61","2.75","2","8","2","3"
"1984","Paar mit Kind(ern)","4.03","3.5","10356","3","3","5","5","8","4.01","4.05","3","11","4","4"
"1984","Sonstige","4.02","3.5","1002","2","3","5","6","9","3.9","4.14","2","10","4","5"
"1985","(Ehe-)Paar ohne Kind(er)","2","2","2450","2","2","2","2","2","2","2","2","2","2","2"
"1985","1-Pers.- Haushalt","1","1","1140","1","1","1","1","1","1","1","1","2","1","1"
"1985","Alleinerziehende","2.67","2","748","2","2","3","4","5","2.6","2.74","2","6","2","3"
"1985","Paar mit Kind(ern)","3.99","3.5","9339","3","3","4","5","8","3.97","4.01","3","10","4","4"
"1985","Sonstige","4.01","3.5","921","2","3","5","6","9","3.88","4.14","2","10","4","5"
"1986","(Ehe-)Paar ohne Kind(er)","2","2","2410","2","2","2","2","2","2","2","2","2","2","2"
"1986","1-Pers.- Haushalt","1","1","1079","1","1","1","1","1","1","1","1","1","1","1"
"1986","Alleinerziehende","2.7","2","712","2","2","3","4","6","2.63","2.77","2","7","2","3"
"1986","Paar mit Kind(ern)","3.98","3.5","8799","3","3","4","5","7","3.96","4","3","10","4","4"
"1986","Sonstige","3.94","3.5","894","2","3","5","6","9","3.81","4.07","2","11","4","5"
"1987","(Ehe-)Paar ohne Kind(er)","2","2","2384","2","2","2","2","2","2","2","2","2","2","2"
"1987","1-Pers.- Haushalt","1","1","1078","1","1","1","1","1","1","1","1","1","1","1"
"1987","Alleinerziehende","2.71","2","705","2","2","3","4","6","2.64","2.78","2","6","2","3"
"1987","Paar mit Kind(ern)","3.94","3.5","8532","3","3","4","5","7","3.92","3.96","3","11","4","4"
"1987","Sonstige","4.11","3.5","943","2","3","5","7","9","3.94","4.28","2","17","4","5"
"1988","(Ehe-)Paar ohne Kind(er)","2","2","2336","2","2","2","2","2","2","2","2","2","2","2"
"1988","1-Pers.- Haushalt","1","1","1037","1","1","1","1","1","1","1","1","1","1","1"
