year,regtyp,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,Owner,1302,2.676936895617503,2.642260505205238,2.7116132860297677,2.0,2.0,4.0,1,7.0,2,1.0,2.0
1985,Urban regions,Tenant,2891,2.0160339609518916,1.99490774416721,2.037160177736573,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1985,Rural regions,Owner,563,2.912884996855696,2.8568985422985933,2.9688714514127983,2.0,3.0,4.0,1,7.0,3,3.0,4.0
1985,Rural regions,Tenant,516,2.0466349299935502,1.9979298540676256,2.095340005919475,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1986,Urban regions,Owner,1289,2.635410391765086,2.60121438262108,2.669606400909092,2.0,2.0,4.0,1,7.0,2,1.0,2.0
1986,Urban regions,Tenant,2723,2.008022102344638,1.9862001884013922,2.029844016287884,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1986,Rural regions,Owner,547,2.884812873466917,2.8284676322835463,2.941158114650288,2.0,3.0,4.0,1,7.0,3,3.0,4.0
1986,Rural regions,Tenant,476,2.0689491231022474,2.016221394613646,2.121676851590849,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1987,Urban regions,Owner,1299,2.626006668965965,2.5923995362495815,2.6596138016823487,2.0,2.0,4.0,1,7.0,2,1.0,2.0
1987,Urban regions,Tenant,2664,1.9885490258587757,1.966640293826136,2.010457757891415,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1987,Rural regions,Owner,531,2.820189832648713,2.763515482940118,2.8768641823573082,2.0,3.0,4.0,1,7.0,3,3.0,4.0
1987,Rural regions,Tenant,479,2.135059181935973,2.080565701520734,2.189552662351212,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1988,Urban regions,Owner,1259,2.592189221347272,2.558251514635118,2.626126928059426,2.0,2.0,4.0,1,7.0,2,2.0,2.0
1988,Urban regions,Tenant,2556,1.9769601191057602,1.9548154529528026,1.9991047852587178,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1988,Rural regions,Owner,489,2.761619002681947,2.7039026496135103,2.819335355750384,2.0,2.8723708418929546,4.0,1,7.0,3,3.0,4.0
1988,Rural regions,Tenant,465,2.1670663945942734,2.110060014740199,2.2240727744483477,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1989,Urban regions,Owner,1243,2.5886710740715553,2.554944078120902,2.6223980700222085,2.0,2.0,3.0,1,4.5,2,2.0,2.0
1989,Urban regions,Tenant,2491,1.9553255394167286,1.9330479622135586,1.9776031166198986,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1989,Rural regions,Owner,470,2.7377845401487724,2.679268131714606,2.796300948582939,2.0,2.0,4.0,1,7.0,2,1.0,2.0
1989,Rural regions,Tenant,444,2.136608237903245,2.079421243963509,2.193795231842981,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1990,Urban regions,Owner,1339,2.5966928509740383,2.5638871502413187,2.629498551706758,2.0,2.0,3.0,1,4.5,2,2.0,2.0
1990,Urban regions,Tenant,3071,2.0201365465232626,1.9998564962354468,2.0404165968110783,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1990,Rural regions,Owner,1021,2.6841306270443477,2.6463531305175154,2.72190812357118,2.0,2.0,4.0,1,7.0,2,1.0,2.0
1990,Rural regions,Tenant,1268,2.193207214993483,2.160321345813404,2.2260930841735624,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1991,Urban regions,Owner,1341,2.5814036989962625,2.5488437973246993,2.6139636006678257,2.0,2.0,3.0,1,4.5,2,2.0,2.0
1991,Urban regions,Tenant,3016,2.0056674111670394,1.9852621995268827,2.026072622807196,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1991,Rural regions,Owner,995,2.7081017074262053,2.6696757908357633,2.746527624016647,2.0,2.0,4.0,1,7.0,2,1.0,2.0
1991,Rural regions,Tenant,1230,2.1933393034395854,2.160156869749942,2.2265217371292287,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1992,Urban regions,Owner,1370,2.5617803300498654,2.5300312679456662,2.5935293921540645,2.0,2.0,3.0,1,4.5,2,2.0,2.0
1992,Urban regions,Tenant,3005,1.9921630193634408,1.9720503272042795,2.012275711522602,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1992,Rural regions,Owner,962,2.705534531756296,2.6650135752028046,2.7460554883097874,2.0,2.0,4.0,1,7.0,2,1.0,2.0
1992,Rural regions,Tenant,1207,2.1727365725870462,2.1391739490331507,2.2062991961409417,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1993,Urban regions,Owner,1359,2.5573980462931027,2.52520656599134,2.5895895265948656,2.0,2.0,3.0,1,4.5,2,2.0,2.0
1993,Urban regions,Tenant,3009,1.9897836573164565,1.969742031845455,2.0098252827874576,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1993,Rural regions,Owner,963,2.6757881151877143,2.6369219010386638,2.714654329336765,2.0,2.0,4.0,1,7.0,2,1.0,2.0
1993,Rural regions,Tenant,1238,2.107840176988216,2.075427175293197,2.140253178683235,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1994,Urban regions,Owner,1347,2.550281074441643,2.5176275917819635,2.5829345571013227,2.0,2.0,3.0,1,4.5,2,2.0,2.0
1994,Urban regions,Tenant,2965,1.9741702293497767,1.9541464187749342,1.9941940399246192,1.0,2.0,3.0,1,6.0,2,2.0,2.0
1994,Rural regions,Owner,984,2.6393372238230475,2.600777897686825,2.6778965499592697,2.0,2.0,4.0,1,7.0,2,1.0,2.0
