"year","hhtyp","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","2","2","892","2","2","2","2","2","2","2","2","2","2","2"
"1995","(Ehe-)Paar ohne Kind(er)","2","2","2","876","2","2","2","2","2","2","2","2","2","2","2"
"1995","(Ehe-)Paar ohne Kind(er)","3","2","2","836","2","2","2","2","2","2","2","2","2","2","2"
"1995","(Ehe-)Paar ohne Kind(er)","4","2","2","704","2","2","2","2","2","2","2","2","2","2","2"
"1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","2","2","346","2","2","2","2","2","2","2","2","2","2","2"
"1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","1","1","509","1","1","1","1","1","1","1","1","1","1","1"
"1995","1-Pers.- Haushalt","2","1","1","423","1","1","1","1","1","1","1","1","1","1","1"
"1995","1-Pers.- Haushalt","3","1","1","224","1","1","1","1","1","1","1","1","1","1","1"
"1995","1-Pers.- Haushalt","4","1","1","144","1","1","1","1","1","1","1","1","1","1","1"
"1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","1","1","104","1","1","1","1","1","1","1","1","1","1","1"
"1995","Alleinerziehende","1 Einkommensschwächstes Quintil","2.79","2.5","543","2","2","3","4","7","2.7","2.88","2","7","3","3"
"1995","Alleinerziehende","2","2.33","2","203","2","2","3","3","4","2.23","2.43","2","5","2","2"
"1995","Alleinerziehende","3","2.21","2","114","2","2","2","3","4","2.11","2.31","2","4","2","2"
"1995","Alleinerziehende","4","2.72","2","58","2","2","4","4","5","2.44","3","2","5","2","2"
"1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","4.17","3.5","4668","3","3","5","5","8","4.14","4.2","3","11","4","4"
"1995","Paar mit Kind(ern)","2","3.79","3.5","3113","3","3","4","5","7","3.76","3.82","3","9","4","4"
"1995","Paar mit Kind(ern)","3","3.74","3.5","1623","3","3","4","5","6","3.7","3.78","3","7","4","4"
"1995","Paar mit Kind(ern)","4","3.73","3.5","783","3","3","4","5","6","3.68","3.78","3","7","4","4"
"1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","3.45","3","336","3","3","4","4","5","3.39","3.51","3","5","3","4"
"1995","Sonstige","1 Einkommensschwächstes Quintil","4.23","3.5","493","2","3","5","7","10","4.05","4.41","2","11","4","5"
"1995","Sonstige","2","3.82","3.5","335","2","3","5","5","7","3.63","4.01","2","9","4","5"
"1995","Sonstige","3","4.05","3.5","220","3","3","5","6","6","3.89","4.21","2","7","4","4"
"1995","Sonstige","4","3.43","2.5","106","2","3","4","5","5","3.27","3.59","2","5","3","3"
"1995","Sonstige","5 Einkommensstärkstes Quintil","3.57","2.5","35","2","3","4","6","6","3.17","3.97","2","6","3","4"
"1996","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","2","2","866","2","2","2","2","2","2","2","2","2","2","2"
"1996","(Ehe-)Paar ohne Kind(er)","2","2","2","864","2","2","2","2","2","2","2","2","2","2","2"
"1996","(Ehe-)Paar ohne Kind(er)","3","2","2","832","2","2","2","2","2","2","2","2","2","2","2"
"1996","(Ehe-)Paar ohne Kind(er)","4","2","2","730","2","2","2","2","2","2","2","2","2","2","2"
"1996","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","2","2","390","2","2","2","2","2","2","2","2","2","2","2"
"1996","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","1","1","510","1","1","1","1","1","1","1","1","1","1","1"
"1996","1-Pers.- Haushalt","2","1","1","412","1","1","1","1","1","1","1","1","1","1","1"
"1996","1-Pers.- Haushalt","3","1","1","238","1","1","1","1","1","1","1","1","1","1","1"
"1996","1-Pers.- Haushalt","4","1","1","156","1","1","1","1","1","1","1","1","1","1","1"
"1996","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","1","1","117","1","1","1","1","1","1","1","1","1","1","1"
"1996","Alleinerziehende","1 Einkommensschwächstes Quintil","2.66","2","551","2","2","3","4","6","2.58","2.74","2","6","3","3"
"1996","Alleinerziehende","2","2.45","2","188","2","2","3","4","5","2.34","2.56","2","5","2","2"
"1996","Alleinerziehende","3","2.47","2","125","2","2","3","3","5","2.33","2.61","2","5","2","2"
"1996","Alleinerziehende","4","2.44","2","71","2","2","3","4","4","2.26","2.62","2","4","2","2"
"1996","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1996","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","4.16","3.5","3960","3","3","5","6","8","4.12","4.2","3","11","4","4"
"1996","Paar mit Kind(ern)","2","3.87","3.5","3203","3","3","4","5","6","3.84","3.9","3","7","4","4"
"1996","Paar mit Kind(ern)","3","3.71","3.5","1759","3","3","4","5","7","3.67","3.75","3","8","4","4"
"1996","Paar mit Kind(ern)","4","3.76","3.5","836","3","3","4","5","6","3.7","3.82","3","7","3","4"
"1996","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","3.61","3.5","399","3","3","4","5","5","3.54","3.68","3","5","4","4"
"1996","Sonstige","1 Einkommensschwächstes Quintil","4.37","3.5","487","3","3","5","7","10","4.19","4.55","2","11","5","5"
"1996","Sonstige","2","3.96","2.5","269","2","3","5","7","7","3.74","4.18","2","10","4","4"
"1996","Sonstige","3","3.92","3.5","202","3","3","5","5","6","3.78","4.06","2","6","4","4"
"1996","Sonstige","4","3.87","2.5","108","3","3","5","6","8","3.56","4.18","2","8","3","5"
"1996","Sonstige","5 Einkommensstärkstes Quintil","3.22","2.5","42","2","3","4","5","5","2.96","3.48","2","5","3","4"
"1997","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","2","2","776","2","2","2","2","2","2","2","2","2","2","2"
"1997","(Ehe-)Paar ohne Kind(er)","2","2","2","908","2","2","2","2","2","2","2","2","2","2","2"
"1997","(Ehe-)Paar ohne Kind(er)","3","2","2","932","2","2","2","2","2","2","2","2","2","2","2"
"1997","(Ehe-)Paar ohne Kind(er)","4","2","2","744","2","2","2","2","2","2","2","2","2","2","2"
"1997","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","2","2","398","2","2","2","2","2","2","2","2","2","2","2"
"1997","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","1","1","466","1","1","1","1","1","1","1","1","1","1","1"
"1997","1-Pers.- Haushalt","2","1","1","412","1","1","1","1","1","1","1","1","1","1","1"
"1997","1-Pers.- Haushalt","3","1","1","253","1","1","1","1","1","1","1","1","1","1","1"
"1997","1-Pers.- Haushalt","4","1","1","162","1","1","1","1","1","1","1","1","1","1","1"
"1997","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","1","1","109","1","1","1","1","1","1","1","1","1","1","1"
"1997","Alleinerziehende","1 Einkommensschwächstes Quintil","2.7","2","508","2","2","3","4","6","2.62","2.78","2","6","3","3"
"1997","Alleinerziehende","2","2.41","2","210","2","2","3","3","6","2.3","2.52","2","6","2","2"
"1997","Alleinerziehende","3","2.47","2","138","2","2","3","4","4","2.35","2.59","2","4","2","2"
"1997","Alleinerziehende","4","2.53","2","78","2","2","3","3","4","2.4","2.66","2","4","2","3"
"1997","Alleinerziehende","5 Einkommensstärkstes Quintil","2.21","2","33","2","2","2","3","3","2.05","2.37","2","3","2","2"
"1997","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","4.1","3.5","3808","3","3","5","5","7","4.06","4.14","3","12","4","4"
"1997","Paar mit Kind(ern)","2","3.9","3.5","3010","3","3","4","5","6","3.87","3.93","3","8","4","4"
"1997","Paar mit Kind(ern)","3","3.79","3.5","1746","3","3","4","5","7","3.75","3.83","3","8","4","4"
"1997","Paar mit Kind(ern)","4","3.67","3.5","847","3","3","4","5","6","3.62","3.72","3","6","3","4"
"1997","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","3.63","3.5","395","3","3","4","5","5","3.56","3.7","3","5","3","4"
"1997","Sonstige","1 Einkommensschwächstes Quintil","4.41","3.5","429","3","3","5","6","10","4.21","4.61","2","11","5","5"
"1997","Sonstige","2","4.01","3.5","287","2","3","5","6","8","3.77","4.25","2","11","4","4"
"1997","Sonstige","3","3.62","3.5","222","2","3","4","5","6","3.47","3.77","2","7","4","4"
"1997","Sonstige","4","3.55","2.5","104","2","3","4","5","6","3.35","3.75","2","6","3","3"
"1997","Sonstige","5 Einkommensstärkstes Quintil","3.28","2.5","32","2","3","3","6","6","2.81","3.75","2","6","3","4"
"1998","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","2","2","936","2","2","2","2","2","2","2","2","2","2","2"
"1998","(Ehe-)Paar ohne Kind(er)","2","2","2","920","2","2","2","2","2","2","2","2","2","2","2"
"1998","(Ehe-)Paar ohne Kind(er)","3","2","2","1122","2","2","2","2","2","2","2","2","2","2","2"
"1998","(Ehe-)Paar ohne Kind(er)","4","2","2","854","2","2","2","2","2","2","2","2","2","2","2"
"1998","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","2","2","526","2","2","2","2","2","2","2","2","2","2","2"
"1998","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","1","1","549","1","1","1","1","1","1","1","1","1","1","1"
"1998","1-Pers.- Haushalt","2","1","1","491","1","1","1","1","1","1","1","1","1","1","1"
"1998","1-Pers.- Haushalt","3","1","1","305","1","1","1","1","1","1","1","1","1","1","1"
"1998","1-Pers.- Haushalt","4","1","1","218","1","1","1","1","1","1","1","1","1","1","1"
"1998","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","1","1","143","1","1","1","1","1","1","1","1","1","1","1"
"1998","Alleinerziehende","1 Einkommensschwächstes Quintil","2.8","2.5","576","2","2","3","4","5","2.72","2.88","2","6","3","3"
"1998","Alleinerziehende","2","2.48","2","269","2","2","3","3","7","2.36","2.6","2","7","2","2"
"1998","Alleinerziehende","3","2.2","2","160","2","2","2","3","4","2.12","2.28","2","4","2","2"
"1998","Alleinerziehende","4","2.65","2","66","2","2","3","4","4","2.48","2.82","2","4","2","3"
"1998","Alleinerziehende","5 Einkommensstärkstes Quintil","2.27","2","34","2","2","3","3","3","2.1","2.44","2","3","2","3"
"1998","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","4.15","3.5","4036","3","3","5","6","7","4.12","4.18","3","12","4","4"
"1998","Paar mit Kind(ern)","2","3.86","3.5","3171","3","3","4","5","7","3.83","3.89","3","7","4","4"
"1998","Paar mit Kind(ern)","3","3.8","3.5","1833","3","3","4","5","8","3.76","3.84","3","8","4","4"
"1998","Paar mit Kind(ern)","4","3.71","3.5","1111","3","3","4","5","6","3.66","3.76","3","7","3","4"
"1998","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","3.63","3","431","3","3","4","5","6","3.56","3.7","3","6","3","4"
"1998","Sonstige","1 Einkommensschwächstes Quintil","4.23","3.5","342","3","3","5","6","9","4.05","4.41","2","9","4","5"
"1998","Sonstige","2","4.16","3.5","323","3","3","5","7","8","3.97","4.35","2","9","4","4"
"1998","Sonstige","3","3.82","3.5","177","2","3","4","5","7","3.63","4.01","2","7","4","4"
"1998","Sonstige","4","3.64","2.5","134","2","3","4","6","6","3.43","3.85","2","6","3","4"
"1998","Sonstige","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1999","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","2","2","746","2","2","2","2","2","2","2","2","2","2","2"
"1999","(Ehe-)Paar ohne Kind(er)","2","2","2","908","2","2","2","2","2","2","2","2","2","2","2"
"1999","(Ehe-)Paar ohne Kind(er)","3","2","2","1114","2","2","2","2","2","2","2","2","2","2","2"
"1999","(Ehe-)Paar ohne Kind(er)","4","2","2","958","2","2","2","2","2","2","2","2","2","2","2"
"1999","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","2","2","586","2","2","2","2","2","2","2","2","2","2","2"
"1999","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","1","1","498","1","1","1","1","1","1","1","1","1","1","1"
"1999","1-Pers.- Haushalt","2","1","1","472","1","1","1","1","1","1","1","1","1","1","1"
"1999","1-Pers.- Haushalt","3","1","1","284","1","1","1","1","1","1","1","1","1","1","1"
"1999","1-Pers.- Haushalt","4","1","1","227","1","1","1","1","1","1","1","1","1","1","1"
"1999","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","1","1","157","1","1","1","1","1","1","1","1","1","1","1"
"1999","Alleinerziehende","1 Einkommensschwächstes Quintil","2.82","2.5","539","2","2","3","4","5","2.73","2.91","2","6","3","3"
"1999","Alleinerziehende","2","2.62","2","312","2","2","3","4","6","2.52","2.72","2","6","2","3"
"1999","Alleinerziehende","3","2.19","2","160","2","2","2","3","4","2.1","2.28","2","4","2","2"
"1999","Alleinerziehende","4","2.71","2.5","73","2","2","3","4","4","2.54","2.88","2","4","2","3"
"1999","Alleinerziehende","5 Einkommensstärkstes Quintil","2.4","2","31","2","2","3","3","3","2.23","2.57","2","3","2","2"
