"year","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2002","Laendlicher Raum","170.87","169.5","7763","160","165","178","183","192","170.67","171.07","140","204","170","171"
"2002","Staedtischer Raum","171.08","169.5","15196","160","165","178","184","193","170.93","171.23","131","208","170","171"
"2003","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","Staedtischer Raum","","","","","","","","","","","","","",""
"2004","Laendlicher Raum","170.84","169.5","7267","160","164","178","183","193","170.63","171.05","140","204","170","171"
"2004","Staedtischer Raum","171.23","169.5","14250","160","165","178","184","194","171.08","171.38","100","210","170","171"
"2005","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","Laendlicher Raum","171.08","169.5","7530","160","164","178","183","193","170.87","171.29","115","204","170","171"
"2006","Staedtischer Raum","171.32","169.5","14376","160","165","178","184","193","171.17","171.47","120","209","170","171"
"2007","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","Laendlicher Raum","171.36","169.5","6662","160","165","178","184","194","171.14","171.58","127","204","170","171"
"2008","Staedtischer Raum","171.4","169.5","12599","160","165","178","184","193","171.23","171.57","82","208","170","171"
"2009","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","Staedtischer Raum","","","","","","","","","","","","","",""
"2010","Laendlicher Raum","171.25","169.5","5745","160","165","178","184","194","171.01","171.49","101","205","170","171"
"2010","Staedtischer Raum","171.54","170.5","10834","160","165","178","184","194","171.36","171.72","82","210","170","172"
"2011","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","171.27","169.5","7429","160","164","178","184","194","171.06","171.48","117","205","170","171"
"2012","Staedtischer Raum","171.63","170.5","12995","160","165","178","184","194","171.47","171.79","80","217","170","171"
"2013","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","171.5","170.5","9445","160","165","178","184","193","171.31","171.69","116","205","170","171"
"2014","Staedtischer Raum","171.78","170.5","17551","160","165","178","185","195","171.64","171.92","93","217","170","171"
"2015","Laendlicher Raum","","","","","","","","","","","","","",""
"2015","Staedtischer Raum","","","","","","","","","","","","","",""
"2016","Laendlicher Raum","171.54","170.5","8490","160","165","178","184","195","171.34","171.74","115","205","170","171"
"2016","Staedtischer Raum","171.98","171.5","15568","160","165","179","185","195","171.83","172.13","116","220","170","171"
"2017","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","Laendlicher Raum","171.71","171.5","9808","160","165","178","185","194","171.52","171.9","105","208","170","171"
"2018","Staedtischer Raum","172","171.5","18854","160","165","179","185","195","171.86","172.14","116","215","170","171"
"2019","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","Staedtischer Raum","","","","","","","","","","","","","",""
"2020","Laendlicher Raum","172.06","171.5","8687","160","165","179","185","195","171.86","172.26","126","208","171","172"
"2020","Staedtischer Raum","172.13","171.5","16979","160","165","180","185","196","171.98","172.28","116","219","172","172"
