"year","age_gr","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2002","17-34","direkter Migrationshintergrund","170.89","169.5","734","160","164","177","183","192","170.22","171.56","146","196","169","170"
"2002","17-34","indirekter Migrationshintergrund","172.58","171.5","626","160","167","180","184","194","171.87","173.29","150","196","170","172"
"2002","17-34","kein Migrationshintergrund","174.59","174.5","4751","163","168","180","186","196","174.33","174.85","146","208","174","175"
"2002","17-34","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2002","35-65","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2002","35-65","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2002","35-65","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2002","35-65","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2002","66 +","direkter Migrationshintergrund","165.22","164.5","346","155","160","172","177","184","164.32","166.12","140","190","165","166"
"2002","66 +","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2002","66 +","kein Migrationshintergrund","167.01","166.5","3215","157","160","172","178","186","166.72","167.3","142","198","167","168"
"2002","66 +","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2003","17-34","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2003","17-34","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2003","17-34","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2003","17-34","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2003","35-65","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2003","35-65","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2003","35-65","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2003","35-65","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2003","66 +","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2003","66 +","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2003","66 +","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2003","66 +","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2004","17-34","direkter Migrationshintergrund","171.22","169.5","619","160","164","178","185","195","170.49","171.95","144","197","170","170"
"2004","17-34","indirekter Migrationshintergrund","172.93","171.5","635","160","167","180","185","192","172.21","173.65","150","199","170","173"
"2004","17-34","kein Migrationshintergrund","174.69","174.5","4327","163","168","181","187","196","174.41","174.97","100","210","174","175"
"2004","17-34","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2004","35-65","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2004","35-65","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2004","35-65","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2004","35-65","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
