"year","regtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2017","Laendlicher Raum","Ost","3.84","3.5","4989","3.76","3.92"
"2017","Laendlicher Raum","West","3.18","2.5","8546","3.12","3.24"
"2017","Staedtischer Raum","Ost","3.41","2.5","2734","3.31","3.51"
"2017","Staedtischer Raum","West","3.19","2.5","22537","3.15","3.23"
"2018","Laendlicher Raum","Ost","3.81","3.5","5140","3.73","3.89"
"2018","Laendlicher Raum","West","3.15","2.5","9408","3.09","3.21"
"2018","Staedtischer Raum","Ost","3.54","2.5","3025","3.43","3.65"
"2018","Staedtischer Raum","West","3.28","2.5","27044","3.24","3.32"
"2019","Laendlicher Raum","Ost","","","","",""
"2019","Laendlicher Raum","West","","","","",""
"2019","Staedtischer Raum","Ost","","","","",""
"2019","Staedtischer Raum","West","","","","",""
"2020","Laendlicher Raum","Ost","3.5","2.5","4785","3.42","3.58"
"2020","Laendlicher Raum","West","3.31","2.5","7972","3.25","3.37"
"2020","Staedtischer Raum","Ost","3.44","3.5","2691","3.34","3.54"
"2020","Staedtischer Raum","West","3.31","2.5","22452","3.27","3.35"
