"hlc0182","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2016","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","2","4","","",""
"ja","2016","3","4","","",""
"ja","2016","4","29","","",""
"ja","2016","5 Einkommensstärkstes Quintil","","","",""
"nein","2016","1 Einkommensschwächstes Quintil","","","",""
"nein","2016","2","6170","0.999739450175134","0.999336868886022","1.00014203146425"
"nein","2016","3","6789","0.998993182927659","0.998239004976109","0.999747360879208"
"nein","2016","4","9230","0.996391765159206","0.995170447851679","0.997613082466734"
"nein","2016","5 Einkommensstärkstes Quintil","","","",""
"ja","2017","1 Einkommensschwächstes Quintil","","","",""
"ja","2017","2","3","","",""
"ja","2017","3","7","","",""
"ja","2017","4","21","","",""
"ja","2017","5 Einkommensstärkstes Quintil","","","",""
"nein","2017","1 Einkommensschwächstes Quintil","","","",""
"nein","2017","2","5693","0.999213371043061","0.99848529425767","0.999941447828453"
"nein","2017","3","7273","0.999147055764892","0.998476465218098","0.999817646311686"
"nein","2017","4","10111","0.998051524820512","0.99719285851624","0.998910191124784"
"nein","2017","5 Einkommensstärkstes Quintil","","","",""
"ja","2018","1 Einkommensschwächstes Quintil","","","",""
"ja","2018","2","","","",""
"ja","2018","3","4","","",""
"ja","2018","4","31","0.00298010044153153","0.00192731708287558","0.00403288380018747"
"ja","2018","5 Einkommensstärkstes Quintil","","","",""
"nein","2018","1 Einkommensschwächstes Quintil","","","",""
"nein","2018","2","4967","1","1","1"
"nein","2018","3","6825","0.999560007923641","0.999062618669475","1.00005739717781"
"nein","2018","4","10267","0.997019899558468","0.995967116199812","0.998072682917124"
"nein","2018","5 Einkommensstärkstes Quintil","","","",""
"ja","2019","1 Einkommensschwächstes Quintil","","","",""
"ja","2019","2","2","","",""
"ja","2019","3","22","","",""
"ja","2019","4","17","","",""
"ja","2019","5 Einkommensstärkstes Quintil","","","",""
"nein","2019","1 Einkommensschwächstes Quintil","","","",""
"nein","2019","2","4262","0.999278964182347","0.998473286590109","1.00008464177458"
"nein","2019","3","5774","0.998007609731838","0.996859619917175","0.999155599546501"
"nein","2019","4","10037","0.998760021415299","0.998072135657302","0.999447907173295"
"nein","2019","5 Einkommensstärkstes Quintil","","","",""
"ja","2020","1 Einkommensschwächstes Quintil","","","",""
"ja","2020","2","4","","",""
"ja","2020","3","8","","",""
"ja","2020","4","45","0.00234835563567365","0.00140888485698738","0.00328782641435991"
"ja","2020","5 Einkommensstärkstes Quintil","","","",""
"nein","2020","1 Einkommensschwächstes Quintil","","","",""
"nein","2020","2","4164","0.9982251833186","0.996947346939864","0.999503019697336"
"nein","2020","3","5448","0.996192216621462","0.99455796622426","0.997826467018663"
"nein","2020","4","10152","0.997651644364326","0.99671217358564","0.998591115143013"
"nein","2020","5 Einkommensstärkstes Quintil","","","",""
