"hlc0182","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2016","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"ja","2016","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"ja","2016","2","Staedtischer Raum","3","","",""
"ja","2016","2","Laendlicher Raum","1","","",""
"ja","2016","3","Staedtischer Raum","3","","",""
"ja","2016","3","Laendlicher Raum","1","","",""
"ja","2016","4","Staedtischer Raum","17","","",""
"ja","2016","4","Laendlicher Raum","12","","",""
"ja","2016","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"ja","2016","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"nein","2016","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"nein","2016","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"nein","2016","2","Staedtischer Raum","3856","0.999907230428062","0.999603356575129","1.00021110428099"
"nein","2016","2","Laendlicher Raum","2314","","",""
"nein","2016","3","Staedtischer Raum","4161","0.99903750026376","0.998095645507245","0.999979355020274"
"nein","2016","3","Laendlicher Raum","2628","","",""
"nein","2016","4","Staedtischer Raum","5888","0.995456760173746","0.993741491438988","0.997172028908505"
"nein","2016","4","Laendlicher Raum","3342","0.998254415071155","0.996841689931631","0.99966714021068"
"nein","2016","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"nein","2016","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"ja","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"ja","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"ja","2017","2","Staedtischer Raum","3","","",""
"ja","2017","2","Laendlicher Raum","","","",""
"ja","2017","3","Staedtischer Raum","2","","",""
"ja","2017","3","Laendlicher Raum","5","0.00137716851011733","1.82811796841074e-05","0.00273605584055056"
"ja","2017","4","Staedtischer Raum","12","","",""
"ja","2017","4","Laendlicher Raum","9","0.00337171195294588","0.00151785108639698","0.00522557281949477"
"ja","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
