"hlc0182","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2016","Staedtischer Raum","Westdeutschland","54","0.00328300734556975","0.00251716636994299","0.0040488483211965"
"ja","2016","Staedtischer Raum","Ostdeutschland","6","0.00237308712287532","0.000478252045843009","0.00426792219990763"
"ja","2016","Laendlicher Raum","Westdeutschland","8","0.00063385915919058","8.77053824343083e-05","0.00118001293594685"
"ja","2016","Laendlicher Raum","Ostdeutschland","15","","",""
"nein","2016","Staedtischer Raum","Westdeutschland","21378","","",""
"nein","2016","Staedtischer Raum","Ostdeutschland","2527","","",""
"nein","2016","Laendlicher Raum","Westdeutschland","8150","0.99936614084081","0.998819987064053","0.999912294617566"
"nein","2016","Laendlicher Raum","Ostdeutschland","4591","0.996578175957964","0.994891736918871","0.998264614997058"
"ja","2017","Staedtischer Raum","Westdeutschland","31","0.00114751537412163","0.000709588557169888","0.00158544219107338"
"ja","2017","Staedtischer Raum","Ostdeutschland","9","0.000992336297259455","-0.000179554124651534","0.00216422671917044"
"ja","2017","Laendlicher Raum","Westdeutschland","23","","",""
"ja","2017","Laendlicher Raum","Ostdeutschland","7","0.00297521932131221","0.00147838965416719","0.00447204898845723"
"nein","2017","Staedtischer Raum","Westdeutschland","22928","","",""
"nein","2017","Staedtischer Raum","Ostdeutschland","2764","","",""
"nein","2017","Laendlicher Raum","Westdeutschland","8693","0.998688058817805","0.997928149812347","0.999447967823262"
"nein","2017","Laendlicher Raum","Ostdeutschland","5079","0.997024780678688","0.995527951011543","0.998521610345833"
"ja","2018","Staedtischer Raum","Westdeutschland","49","0.00235671476541587","0.00172094617989924","0.0029924833509325"
"ja","2018","Staedtischer Raum","Ostdeutschland","","","",""
"ja","2018","Laendlicher Raum","Westdeutschland","31","0.00350621724480445","0.00222386746008057","0.00478856702952833"
"ja","2018","Laendlicher Raum","Ostdeutschland","4","0.000483206349398689","-0.000123943637116827","0.0010903563359142"
"nein","2018","Staedtischer Raum","Westdeutschland","22296","","",""
"nein","2018","Staedtischer Raum","Ostdeutschland","2755","","",""
"nein","2018","Laendlicher Raum","Westdeutschland","8131","0.996493782755196","0.995211432970472","0.997776132539919"
"nein","2018","Laendlicher Raum","Ostdeutschland","5029","0.999516793650601","0.998909643664086","1.00012394363712"
"ja","2019","Staedtischer Raum","Westdeutschland","58","0.00191191919455274","0.00134129444190928","0.00248254394719619"
"ja","2019","Staedtischer Raum","Ostdeutschland","","","",""
"ja","2019","Laendlicher Raum","Westdeutschland","26","","",""
"ja","2019","Laendlicher Raum","Ostdeutschland","13","","",""
"nein","2019","Staedtischer Raum","Westdeutschland","22455","","",""
"nein","2019","Staedtischer Raum","Ostdeutschland","2797","","",""
"nein","2019","Laendlicher Raum","Westdeutschland","8060","0.998071211149624","0.997114888745346","0.999027533553901"
"nein","2019","Laendlicher Raum","Ostdeutschland","5271","0.998000107709309","0.996795528720077","0.999204686698542"
"ja","2020","Staedtischer Raum","Westdeutschland","73","0.00405715847908556","0.00323401940447284","0.00488029755369827"
"ja","2020","Staedtischer Raum","Ostdeutschland","9","0.00383464176842677","0.00152381258518875","0.00614547095166479"
"ja","2020","Laendlicher Raum","Westdeutschland","24","","",""
"ja","2020","Laendlicher Raum","Ostdeutschland","19","","",""
"nein","2020","Staedtischer Raum","Westdeutschland","22836","","",""
"nein","2020","Staedtischer Raum","Ostdeutschland","2739","","",""
"nein","2020","Laendlicher Raum","Westdeutschland","8118","0.998072085140517","0.997119272693536","0.999024897587498"
"nein","2020","Laendlicher Raum","Ostdeutschland","4907","0.996483990728166","0.994831035631134","0.998136945825198"
