"ple0018","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","17-34","Westdeutschland","75","0.0309915473749211","0.0247231650346035","0.0372599297152387"
"Ja","2009","17-34","Ostdeutschland","34","0.0360605047651782","0.0247020643443302","0.0474189451860262"
"Ja","2009","35-65","Westdeutschland","1518","","",""
"Ja","2009","35-65","Ostdeutschland","640","0.262985892649892","0.245335544868994","0.28063624043079"
"Ja","2009","66 +","Westdeutschland","1368","","",""
"Ja","2009","66 +","Ostdeutschland","586","0.529998819475886","0.500716672292645","0.559280966659126"
"Nein","2009","17-34","Westdeutschland","2861","","",""
"Nein","2009","17-34","Ostdeutschland","1001","","",""
"Nein","2009","35-65","Westdeutschland","5976","0.790743953291735","0.781534195800968","0.799953710782501"
"Nein","2009","35-65","Ostdeutschland","1750","","",""
"Nein","2009","66 +","Westdeutschland","1679","","",""
"Nein","2009","66 +","Ostdeutschland","530","0.470001180524114","0.440719033340874","0.499283327707355"
"Ja","2010","17-34","Westdeutschland","","","",""
"Ja","2010","17-34","Ostdeutschland","","","",""
"Ja","2010","35-65","Westdeutschland","","","",""
"Ja","2010","35-65","Ostdeutschland","","","",""
"Ja","2010","66 +","Westdeutschland","","","",""
"Ja","2010","66 +","Ostdeutschland","","","",""
"Nein","2010","17-34","Westdeutschland","","","",""
"Nein","2010","17-34","Ostdeutschland","","","",""
"Nein","2010","35-65","Westdeutschland","","","",""
"Nein","2010","35-65","Ostdeutschland","","","",""
"Nein","2010","66 +","Westdeutschland","","","",""
"Nein","2010","66 +","Ostdeutschland","","","",""
"Ja","2011","17-34","Westdeutschland","93","0.0282964457778185","0.0226139298864084","0.0339789616692286"
"Ja","2011","17-34","Ostdeutschland","37","0.0331773544050002","0.0220879425471973","0.0442667662628032"
"Ja","2011","35-65","Westdeutschland","1865","","",""
"Ja","2011","35-65","Ostdeutschland","761","0.300662565433568","0.283157712940235","0.318167417926902"
"Ja","2011","66 +","Westdeutschland","1739","","",""
"Ja","2011","66 +","Ostdeutschland","673","0.535160114798148","0.507696775319246","0.56262345427705"
"Nein","2011","17-34","Westdeutschland","3178","0.971703554222181","0.966021038330771","0.977386070113592"
"Nein","2011","17-34","Ostdeutschland","965","0.966822645595","0.955733233737197","0.977912057452803"
"Nein","2011","35-65","Westdeutschland","6850","0.772196267831862","0.763390673743348","0.781001861920376"
"Nein","2011","35-65","Ostdeutschland","1875","","",""
"Nein","2011","66 +","Westdeutschland","2115","","",""
"Nein","2011","66 +","Ostdeutschland","594","0.464839885201852","0.437376545722951","0.492303224680754"
"Ja","2012","17-34","Westdeutschland","","","",""
"Ja","2012","17-34","Ostdeutschland","","","",""
"Ja","2012","35-65","Westdeutschland","","","",""
"Ja","2012","35-65","Ostdeutschland","","","",""
"Ja","2012","66 +","Westdeutschland","","","",""
