year,migback,sampreg,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Germany,0.84189,8672,8672,0.83421,0.84957
1984,Direct migration background,West,Southern Europe,0.20767,1583,2807,0.19266,0.22268
1984,Direct migration background,West,Western Asia,0.20815,1035,2807,0.19313,0.22317
1984,Direct migration background,West,Eastern Europe,0.11062,121,2807,0.09902,0.12223
1984,Direct migration background,West,Western Europe,0.05922,68,2807,0.05049,0.06795
1984,Indirect migration background,West,Germany,0.11718,126,126,0.06080,0.17357
1985,No migration background,West,Germany,0.85420,7979,7979,0.84646,0.86195
1985,Direct migration background,West,Southern Europe,0.21676,1357,2410,0.20031,0.23322
1985,Direct migration background,West,Western Asia,0.18943,868,2410,0.17378,0.20507
1985,Direct migration background,West,Eastern Europe,0.11994,120,2410,0.10697,0.13292
1985,Direct migration background,West,Western Europe,0.06421,65,2410,0.05442,0.07400
1985,Indirect migration background,West,Germany,0.14429,141,141,0.08609,0.20250
1986,No migration background,West,Germany,0.85380,7605,7605,0.84586,0.86174
1986,Direct migration background,West,Southern Europe,0.21263,1295,2339,0.19605,0.22922
1986,Direct migration background,West,Western Asia,0.18913,862,2339,0.17325,0.20500
1986,Direct migration background,West,Eastern Europe,0.12768,121,2339,0.11415,0.14121
1986,Direct migration background,West,Western Europe,0.05983,61,2339,0.05021,0.06944
1986,Indirect migration background,West,Germany,0.14661,153,153,0.09037,0.20284
1987,No migration background,West,Germany,0.85200,7467,7467,0.84394,0.86005
1987,Direct migration background,West,Southern Europe,0.21991,1276,2330,0.20309,0.23673
1987,Direct migration background,West,Western Asia,0.19964,875,2330,0.18340,0.21587
1987,Direct migration background,West,Eastern Europe,0.13121,126,2330,0.11750,0.14492
1987,Direct migration background,West,Western Europe,0.05273,53,2330,0.04365,0.06181
1987,Indirect migration background,West,Germany,0.14585,173,173,0.09310,0.19860
1988,No migration background,West,Germany,0.85208,7083,7083,0.84381,0.86035
1988,Direct migration background,West,Southern Europe,0.20861,1194,2223,0.19172,0.22551
1988,Direct migration background,West,Western Asia,0.19579,853,2223,0.17929,0.21229
1988,Direct migration background,West,Eastern Europe,0.14337,125,2223,0.12880,0.15794
1988,Direct migration background,West,Western Europe,0.05313,51,2223,0.04381,0.06246
1988,Indirect migration background,West,Germany,0.16999,220,220,0.12024,0.21974
1989,No migration background,West,Germany,0.85361,6819,6819,0.84522,0.86200
1989,Direct migration background,West,Southern Europe,0.21627,1141,2173,0.19896,0.23359
1989,Direct migration background,West,Western Asia,0.20436,855,2173,0.18740,0.22131
1989,Direct migration background,West,Eastern Europe,0.14453,129,2173,0.12974,0.15932
1989,Direct migration background,West,Western Europe,0.05223,48,2173,0.04287,0.06158
1989,Indirect migration background,West,Germany,0.19017,257,257,0.14210,0.23825
1990,No migration background,West,Germany,0.85021,6638,6638,0.84163,0.85880
1990,No migration background,East,Germany,0.78249,4283,4283,0.77013,0.79485
1990,Direct migration background,West,Southern Europe,0.22155,1107,2109,0.20382,0.23928
1990,Direct migration background,West,Western Asia,0.20889,824,2109,0.19154,0.22624
1990,Direct migration background,West,Eastern Europe,0.13983,128,2109,0.12502,0.15463
1990,Direct migration background,West,Western Europe,0.05454,50,2109,0.04484,0.06423
1990,Direct migration background,East,Eastern Europe,0.39668,62,62,0.27391,0.51944
1990,Indirect migration background,West,Germany,0.19876,293,293,0.15299,0.24453
1991,No migration background,West,Germany,0.84477,6621,6621,0.83605,0.85349
