"ple0017","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2009","Schleswig-Holstein","maennlich","6","","",""
"Ja","2009","Schleswig-Holstein","weiblich","26","","",""
"Ja","2009","Hamburg","maennlich","1","","",""
"Ja","2009","Hamburg","weiblich","14","","",""
"Ja","2009","Niedersachsen","maennlich","13","","",""
"Ja","2009","Niedersachsen","weiblich","71","0.0875571843239536","0.0684882866083559","0.106626082039551"
"Ja","2009","Bremen","maennlich","1","","",""
"Ja","2009","Bremen","weiblich","3","","",""
"Ja","2009","Nordrhein-Westfalen","maennlich","31","0.0210720996486149","0.0143158997690129","0.0278282995282168"
"Ja","2009","Nordrhein-Westfalen","weiblich","145","0.071663513037113","0.0600412879522798","0.0832857381219463"
"Ja","2009","Hessen","maennlich","12","","",""
"Ja","2009","Hessen","weiblich","51","0.0685703059875186","0.0488983952371844","0.0882422167378528"
"Ja","2009","Rheinland-Pfalz,Saarland","maennlich","11","","",""
"Ja","2009","Rheinland-Pfalz,Saarland","weiblich","43","0.0761781967849385","0.0542260949629206","0.0981302986069564"
"Ja","2009","Baden-Wuerttemberg","maennlich","34","0.034286158440516","0.0230474346543","0.0455248822267321"
"Ja","2009","Baden-Wuerttemberg","weiblich","80","0.0786754880115616","0.0627652094279313","0.0945857665951919"
"Ja","2009","Bayern","maennlich","28","","",""
"Ja","2009","Bayern","weiblich","109","0.0823398262951995","0.0678053081039576","0.0968743444864413"
"Ja","2009","Saarland","maennlich","","","",""
"Ja","2009","Saarland","weiblich","","","",""
"Ja","2009","Berlin","maennlich","11","","",""
"Ja","2009","Berlin","weiblich","35","0.0936095889107452","0.0637677646460975","0.123451413175393"
"Ja","2009","Brandenburg","maennlich","6","","",""
"Ja","2009","Brandenburg","weiblich","32","0.079024425203825","0.0528472524861527","0.105201597921497"
"Ja","2009","Mecklenburg-Vorpommern","maennlich","1","","",""
"Ja","2009","Mecklenburg-Vorpommern","weiblich","19","","",""
"Ja","2009","Sachsen","maennlich","12","","",""
"Ja","2009","Sachsen","weiblich","52","0.0718399341384534","0.0526283685413052","0.0910514997356017"
"Ja","2009","Sachsen-Anhalt","maennlich","10","","",""
"Ja","2009","Sachsen-Anhalt","weiblich","26","","",""
"Ja","2009","Thueringen","maennlich","8","","",""
"Ja","2009","Thueringen","weiblich","35","0.0780406716126135","0.0526876198105818","0.103393723414645"
"Nein","2009","Schleswig-Holstein","maennlich","242","0.973931413485622","0.954100387694195","0.993762439277048"
"Nein","2009","Schleswig-Holstein","weiblich","236","0.895377075645728","0.858316355136267","0.93243779615519"
"Nein","2009","Hamburg","maennlich","125","0.998446034724825","0.991568294446939","1.00532377500271"
"Nein","2009","Hamburg","weiblich","127","0.918777197235827","0.873686949174324","0.963867445297329"
"Nein","2009","Niedersachsen","maennlich","776","0.985018587751767","0.976542251438367","0.993494924065168"
"Nein","2009","Niedersachsen","weiblich","773","0.912442815676046","0.893373917960449","0.931511713391644"
"Nein","2009","Bremen","maennlich","55","0.995019378329628","0.976581471169143","1.01345728549011"
"Nein","2009","Bremen","weiblich","61","0.972408749934408","0.932278836609101","1.01253866325972"
"Nein","2009","Nordrhein-Westfalen","maennlich","1705","0.978927900351385","0.972171700471783","0.985684100230987"
"Nein","2009","Nordrhein-Westfalen","weiblich","1747","0.928336486962887","0.916714261878054","0.93995871204772"
"Nein","2009","Hessen","maennlich","571","0.973744667350106","0.96076555109893","0.986723783601282"
"Nein","2009","Hessen","weiblich","583","0.931429694012481","0.911757783262147","0.951101604762816"
"Nein","2009","Rheinland-Pfalz,Saarland","maennlich","452","0.971172067995605","0.955931104194698","0.986413031796511"
"Nein","2009","Rheinland-Pfalz,Saarland","weiblich","518","0.923821803215062","0.901869701393044","0.945773905037079"
"Nein","2009","Baden-Wuerttemberg","maennlich","973","0.965713841559484","0.954475117773268","0.9769525653457"
"Nein","2009","Baden-Wuerttemberg","weiblich","1020","0.921324511988438","0.905414233404808","0.937234790572069"
"Nein","2009","Bayern","maennlich","1207","0.970913435295134","0.961541029510809","0.980285841079459"
"Nein","2009","Bayern","weiblich","1265","0.9176601737048","0.903125655513559","0.932194691896042"
"Nein","2009","Saarland","maennlich","","","",""
"Nein","2009","Saarland","weiblich","","","",""
"Nein","2009","Berlin","maennlich","306","0.97075151669912","0.952202359832407","0.989300673565833"
"Nein","2009","Berlin","weiblich","331","0.906390411089255","0.876548586824607","0.936232235353903"
"Nein","2009","Brandenburg","maennlich","375","0.986288581458352","0.974611648151391","0.997965514765312"
"Nein","2009","Brandenburg","weiblich","376","0.920975574796175","0.894798402078503","0.947152747513847"
"Nein","2009","Mecklenburg-Vorpommern","maennlich","221","0.997896380303339","0.991869425402085","1.00392333520459"
"Nein","2009","Mecklenburg-Vorpommern","weiblich","229","0.917033053598759","0.88270356779146","0.951362539406057"
"Nein","2009","Sachsen","maennlich","663","0.973578313042986","0.961478966337153","0.98567765974882"
"Nein","2009","Sachsen","weiblich","642","0.928160065861547","0.908948500264398","0.947371631458695"
"Nein","2009","Sachsen-Anhalt","maennlich","357","0.964810516164913","0.945959163356763","0.983661868973063"
"Nein","2009","Sachsen-Anhalt","weiblich","376","0.931153337018316","0.906402658237642","0.95590401579899"
"Nein","2009","Thueringen","maennlich","385","0.98751177713592","0.976532511871656","0.998491042400185"
"Nein","2009","Thueringen","weiblich","395","0.921959328387386","0.896606276585355","0.947312380189418"
"Ja","2010","Schleswig-Holstein","maennlich","","","",""
"Ja","2010","Schleswig-Holstein","weiblich","","","",""
"Ja","2010","Hamburg","maennlich","","","",""
"Ja","2010","Hamburg","weiblich","","","",""
"Ja","2010","Niedersachsen","maennlich","","","",""
"Ja","2010","Niedersachsen","weiblich","","","",""
"Ja","2010","Bremen","maennlich","","","",""
"Ja","2010","Bremen","weiblich","","","",""
"Ja","2010","Nordrhein-Westfalen","maennlich","","","",""
"Ja","2010","Nordrhein-Westfalen","weiblich","","","",""
"Ja","2010","Hessen","maennlich","","","",""
"Ja","2010","Hessen","weiblich","","","",""
"Ja","2010","Rheinland-Pfalz,Saarland","maennlich","","","",""
"Ja","2010","Rheinland-Pfalz,Saarland","weiblich","","","",""
"Ja","2010","Baden-Wuerttemberg","maennlich","","","",""
"Ja","2010","Baden-Wuerttemberg","weiblich","","","",""
"Ja","2010","Bayern","maennlich","","","",""
"Ja","2010","Bayern","weiblich","","","",""
"Ja","2010","Saarland","maennlich","","","",""
"Ja","2010","Saarland","weiblich","","","",""
"Ja","2010","Berlin","maennlich","","","",""
"Ja","2010","Berlin","weiblich","","","",""
"Ja","2010","Brandenburg","maennlich","","","",""
"Ja","2010","Brandenburg","weiblich","","","",""
"Ja","2010","Mecklenburg-Vorpommern","maennlich","","","",""
"Ja","2010","Mecklenburg-Vorpommern","weiblich","","","",""
"Ja","2010","Sachsen","maennlich","","","",""
"Ja","2010","Sachsen","weiblich","","","",""
"Ja","2010","Sachsen-Anhalt","maennlich","","","",""
"Ja","2010","Sachsen-Anhalt","weiblich","","","",""
"Ja","2010","Thueringen","maennlich","","","",""
"Ja","2010","Thueringen","weiblich","","","",""
"Nein","2010","Schleswig-Holstein","maennlich","","","",""
"Nein","2010","Schleswig-Holstein","weiblich","","","",""
