"hlf0261","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, regelmaessig","1999","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","1-Pers.- Haushalt","2","23","","",""
"Ja, regelmaessig","1999","1-Pers.- Haushalt","3","16","","",""
"Ja, regelmaessig","1999","1-Pers.- Haushalt","4","17","","",""
"Ja, regelmaessig","1999","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","(Ehe-)Paar ohne Kind(er)","2","8","0.013807351248263","0.0062005872427197","0.0214141152538064"
"Ja, regelmaessig","1999","(Ehe-)Paar ohne Kind(er)","3","24","","",""
"Ja, regelmaessig","1999","(Ehe-)Paar ohne Kind(er)","4","64","0.0926165602230079","0.0741433543207854","0.11108976612523"
"Ja, regelmaessig","1999","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Alleinerziehende","2","","","",""
"Ja, regelmaessig","1999","Alleinerziehende","3","10","","",""
"Ja, regelmaessig","1999","Alleinerziehende","4","5","0.0618259258344245","0.00657829120112787","0.117073560467721"
"Ja, regelmaessig","1999","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Paar mit Kind(ern)","2","30","0.00783164139296582","0.00485859529141561","0.010804687494516"
"Ja, regelmaessig","1999","Paar mit Kind(ern)","3","67","0.0495070976720635","0.0399207299603293","0.0590934653837976"
"Ja, regelmaessig","1999","Paar mit Kind(ern)","4","73","0.099561774477111","0.0819476980039595","0.117175850950263"
"Ja, regelmaessig","1999","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja, regelmaessig","1999","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja, regelmaessig","1999","Sonstige","2","8","0.0758840629691764","0.0408915390212431","0.11087658691711"
"Ja, regelmaessig","1999","Sonstige","3","","","",""
"Ja, regelmaessig","1999","Sonstige","4","11","","",""
"Ja, regelmaessig","1999","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Ja, gelegentlich","1999","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja, gelegentlich","1999","1-Pers.- Haushalt","2","18","","",""
"Ja, gelegentlich","1999","1-Pers.- Haushalt","3","9","0.0399171568395591","0.0169872003845115","0.0628471132946068"
"Ja, gelegentlich","1999","1-Pers.- Haushalt","4","13","","",""
"Ja, gelegentlich","1999","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja, gelegentlich","1999","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja, gelegentlich","1999","(Ehe-)Paar ohne Kind(er)","2","10","","",""
"Ja, gelegentlich","1999","(Ehe-)Paar ohne Kind(er)","3","24","","",""
"Ja, gelegentlich","1999","(Ehe-)Paar ohne Kind(er)","4","22","","",""
"Ja, gelegentlich","1999","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja, gelegentlich","1999","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja, gelegentlich","1999","Alleinerziehende","2","11","","",""
"Ja, gelegentlich","1999","Alleinerziehende","3","5","0.0190349129095319","-0.00213847344480972","0.0402082992638736"
"Ja, gelegentlich","1999","Alleinerziehende","4","9","0.217056029075497","0.122489395343794","0.3116226628072"
"Ja, gelegentlich","1999","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja, gelegentlich","1999","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja, gelegentlich","1999","Paar mit Kind(ern)","2","32","0.0153135125729445","0.01117190487154","0.019455120274349"
"Ja, gelegentlich","1999","Paar mit Kind(ern)","3","64","0.0403998912260328","0.0316986511143676","0.049101131337698"
"Ja, gelegentlich","1999","Paar mit Kind(ern)","4","32","0.0271684895265043","0.0176045204523544","0.0367324586006542"
"Ja, gelegentlich","1999","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja, gelegentlich","1999","Sonstige","1 Einkommensschwächstes Quintil","","","",""
