year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,,,,,,,,,,,,
1985,West,,,,,,,,,,,,
1986,West,,,,,,,,,,,,
1987,West,,,,,,,,,,,,
1988,West,,,,,,,,,,,,
1989,West,,,,,,,,,,,,
1990,West,,,,,,,,,,,,
1990,East,,,,,,,,,,,,
1991,West,,,,,,,,,,,,
1991,East,,,,,,,,,,,,
1992,West,,,,,,,,,,,,
1992,East,,,,,,,,,,,,
1993,West,,,,,,,,,,,,
1993,East,,,,,,,,,,,,
1994,West,,,,,,,,,,,,
1994,East,,,,,,,,,,,,
1995,West,,,,,,,,,,,,
1995,East,,,,,,,,,,,,
1996,West,,,,,,,,,,,,
1996,East,,,,,,,,,,,,
1997,West,,,,,,,,,,,,
1997,East,,,,,,,,,,,,
1998,West,,,,,,,,,,,,
1998,East,,,,,,,,,,,,
1999,West,,,,,,,,,,,,
1999,East,,,,,,,,,,,,
2000,West,,,,,,,,,,,,
2000,East,,,,,,,,,,,,
2001,West,,,,,,,,,,,,
2001,East,,,,,,,,,,,,
2002,West,17427,25.381133954037946,25.350243577205706,25.412024330870185,22.471208572387695,24.913494110107422,27.755102157592773,14.545368194580078,35.68094253540039,24.913494,24.843012952804564,25.025400161743164
2002,East,5394,25.699683624084855,25.64299702169955,25.75637022647016,22.647377014160156,25.228360856744427,28.34467124938965,14.101435661315918,36.89061260223389,25.227865,25.061318349838256,25.442547273635864
2003,West,,,,,,,,,,,,
2003,East,,,,,,,,,,,,
2004,West,16187,25.572019833334586,25.538878897137632,25.60516076953154,22.4981746673584,25.05735969543457,27.983868002086222,14.269634665266663,36.21240800417796,25.05736,24.958824157714844,25.180999755859375
2004,East,5184,25.852635272708284,25.79299506254948,25.912275482867088,22.660572970692904,25.393430709838867,28.606086736186487,13.74230232245253,37.524357384426864,25.39343,25.169085836410524,25.53752326965332
2005,West,,,,,,,,,,,,
2005,East,,,,,,,,,,,,
2006,West,16714,25.759724808306814,25.726260968880933,25.793188647732695,22.59143829345703,25.21625328063965,28.254801484559987,14.096393506802597,36.74984627121442,25.216253,25.13313102722168,25.333005905151367
2006,East,5329,26.003696118993677,25.942110861911498,26.065281376075855,22.8328800201416,25.402816772460938,28.650136947631836,14.128495,37.37602233886719,25.402817,25.1883487701416,25.55629539489746
2007,West,,,,,,,,,,,,
2007,East,,,,,,,,,,,,
2008,West,14577,25.938351704196513,25.901365432722717,25.97533797567031,22.743383407592773,25.33308219909668,28.395061492919922,14.26586627960205,36.872578620910645,25.333082,25.27553939819336,25.416826248168945
2008,East,4777,26.085084325521553,26.021984181600622,26.148184469442484,22.85714340209961,25.503545985054345,28.88272476196289,14.356606,37.92109680175781,25.503616,25.345370531082153,25.64797592163086
2009,West,,,,,,,,,,,,
2009,East,,,,,,,,,,,,
2010,West,12679,26.12954940917753,26.087815217161854,26.17128360119321,22.85714340209961,25.46401023864746,28.577960968017578,14.275917053222656,37.15918731689453,25.46401,25.333988857269286,25.629065084457398
2010,East,4142,26.39074691928546,26.322027315258293,26.459466523312624,23.186438018752614,25.71219825744629,29.069766998291016,14.361444549445013,37.894760467598616,25.712198,25.461349487304688,25.91419219970703
2011,West,,,,,,,,,,,,
2011,East,,,,,,,,,,,,
2012,West,15872,26.099185405874266,26.062670509332737,26.135700302415795,22.837369918823242,25.43630095816348,28.680110931396484,14.073258399963379,37.44422245025635,25.436466,25.343143367767333,25.521390914916992
2012,East,4865,26.611923507955943,26.54454939571353,26.679297620198355,23.148147583007812,25.947068891743605,29.384756088256836,13.793234825134277,38.73966884613037,25.945484,25.768518447875977,26.127986907958984
2013,West,,,,,,,,,,,,
2013,East,,,,,,,,,,,,
2014,West,21644,26.158504512852225,26.126351602371866,26.190657423332585,22.72583463872184,25.43268585205078,28.72737693786621,13.72352119000528,37.72969038658277,25.432686,25.305901098251343,25.556730270385742
2014,East,5603,26.631932630797483,26.568408517554797,26.695456744040168,23.14049530029297,26.004383087158203,29.384756088256836,13.774104118347168,38.75114727020264,26.004383,25.812578201293945,26.2385525226593
2015,West,,,,,,,,,,,,
2015,East,,,,,,,,,,,,
2016,West,19189,26.334624209094834,26.299710765715968,26.3695376524737,22.862367630004883,25.617284774780273,28.981143951416016,13.696129,38.159308433532715,25.617285,25.522907257080078,25.770559310913086
2016,East,5066,26.608943494078236,26.540457454110154,26.67742953404632,23.082542419433594,25.864513397216797,29.387754440307617,14.452538,38.84557247161865,25.864513,25.64969735145569,26.123491287231445
2017,West,,,,,,,,,,,,
2017,East,,,,,,,,,,,,
2018,West,22737,26.43600653871612,26.40359744300792,26.46841563442432,22.944087982177734,25.71166229248047,29.031789779663086,13.812535285949707,38.16334247589111,25.711662,25.60644974708557,25.886621475219727
2018,East,5968,26.8521832307091,26.78603974125629,26.918326720161915,23.124059677124023,26.026174545288086,29.73390007019043,13.209299087524414,39.64866065979004,26.026175,25.764322662353514,26.225902557373047
2019,West,,,,,,,,,,,,
2019,East,,,,,,,,,,,,
2020,West,20369,26.590779365568558,26.55564863541654,26.625910095720577,23.082542419433594,25.826446533203125,29.19412612915039,13.915166854858398,38.361501693725586,25.826447,25.701335906982422,25.94123077392578
2020,East,5349,27.087716024007037,27.014748204360725,27.16068384365335,23.161096087925753,26.22012459575202,30.008993873672708,14.693877,40.28084055229314,26.21882,25.965011262893675,26.48623580932617
2021,West,,,,,,,,,,,,
2021,East,,,,,,,,,,,,
