"erwst","year","migback","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"voll erwerbstätig","1984","kein Migrationshintergrund","Westdeutschland","3673","0.399330961218892","0.389021221413289","0.409640701024495"
"voll erwerbstätig","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1984","direkter Migrationshintergrund","Westdeutschland","1968","0.516787799494916","0.499913620284683","0.533661978705148"
"voll erwerbstätig","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1984","indirekter Migrationshintergrund","Westdeutschland","35","0.311146110716953","0.230309412906311","0.391982808527595"
"voll erwerbstätig","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"voll erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Teilzeit","1984","kein Migrationshintergrund","Westdeutschland","528","0.0548671676917473","0.0500735180894028","0.0596608172940917"
"Teilzeit","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1984","direkter Migrationshintergrund","Westdeutschland","127","0.0561602691649852","0.0483859690244276","0.0639345693055427"
"Teilzeit","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1984","indirekter Migrationshintergrund","Westdeutschland","6","","",""
"Teilzeit","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Teilzeit","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Teilzeit","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","kein Migrationshintergrund","Westdeutschland","3867","0.480765696353824","0.470248208622974","0.491283184084674"
"nicht erwerbstätig","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","direkter Migrationshintergrund","Westdeutschland","1123","0.386331366668086","0.369889749431615","0.402772983904557"
"nicht erwerbstätig","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","indirekter Migrationshintergrund","Westdeutschland","58","0.461696345468843","0.37464916649748","0.548743524440207"
"nicht erwerbstätig","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"nicht erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Andere","1984","kein Migrationshintergrund","Westdeutschland","601","0.0650361747355369","0.0598453246297704","0.0702270248413033"
"Andere","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1984","direkter Migrationshintergrund","Westdeutschland","151","0.0407205646720135","0.0340467053404997","0.0473944240035273"
"Andere","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1984","indirekter Migrationshintergrund","Westdeutschland","27","","",""
"Andere","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Andere","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Andere","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"voll erwerbstätig","1985","kein Migrationshintergrund","Westdeutschland","3475","0.408084901334976","0.397300927364959","0.418868875304993"
"voll erwerbstätig","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1985","direkter Migrationshintergrund","Westdeutschland","1702","0.509533394871407","0.491357687005129","0.527709102737685"
"voll erwerbstätig","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1985","indirekter Migrationshintergrund","Westdeutschland","40","0.354962997419112","0.275982040630009","0.433943954208215"
"voll erwerbstätig","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"voll erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
