"erwst","year","bula_h","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"voll erwerbstätig","1985","Schleswig-Holstein","Staedtischer Raum","70","0.398234507968793","0.324209828594045","0.472259187343541"
"voll erwerbstätig","1985","Schleswig-Holstein","Laendlicher Raum","89","0.42972199869811","0.358387546622614","0.501056450773606"
"voll erwerbstätig","1985","Hamburg","Staedtischer Raum","126","0.397457985432254","0.339513502651208","0.4554024682133"
"voll erwerbstätig","1985","Hamburg","Laendlicher Raum","2","","",""
"voll erwerbstätig","1985","Niedersachsen","Staedtischer Raum","219","0.407956923638484","0.365345950919391","0.450567896357577"
"voll erwerbstätig","1985","Niedersachsen","Laendlicher Raum","232","0.340729729845759","0.302679111262254","0.378780348429265"
"voll erwerbstätig","1985","Bremen","Staedtischer Raum","31","0.198686417885326","0.126075080074836","0.271297755695817"
"voll erwerbstätig","1985","Bremen","Laendlicher Raum","","","",""
"voll erwerbstätig","1985","Nordrhein-Westfalen","Staedtischer Raum","1323","0.41374020885839","0.395778054850491","0.431702362866289"
"voll erwerbstätig","1985","Nordrhein-Westfalen","Laendlicher Raum","35","0.429477971703212","0.315926356436063","0.54302958697036"
"voll erwerbstätig","1985","Hessen","Staedtischer Raum","487","0.428964936290064","0.397962271082347","0.459967601497781"
"voll erwerbstätig","1985","Hessen","Laendlicher Raum","64","0.353989051870576","0.278706020842973","0.429272082898179"
"voll erwerbstätig","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","294","0.421251980446041","0.382756894938164","0.459747065953918"
"voll erwerbstätig","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","51","0.341977274563728","0.263398881552113","0.420555667575343"
"voll erwerbstätig","1985","Baden-Wuerttemberg","Staedtischer Raum","927","0.467678429426979","0.444267908503413","0.491088950350544"
"voll erwerbstätig","1985","Baden-Wuerttemberg","Laendlicher Raum","147","0.417760524734797","0.361575993869705","0.473945055599888"
"voll erwerbstätig","1985","Bayern","Staedtischer Raum","494","0.441431119737255","0.410278611216942","0.472583628257568"
"voll erwerbstätig","1985","Bayern","Laendlicher Raum","446","0.429743486917064","0.397772351890583","0.461714621943544"
"voll erwerbstätig","1985","Saarland","Staedtischer Raum","","","",""
"voll erwerbstätig","1985","Saarland","Laendlicher Raum","","","",""
"voll erwerbstätig","1985","Berlin","Staedtischer Raum","180","0.448971916286519","0.39794514212345","0.499998690449588"
"voll erwerbstätig","1985","Berlin","Laendlicher Raum","","","",""
"voll erwerbstätig","1985","Brandenburg","Staedtischer Raum","","","",""
"voll erwerbstätig","1985","Brandenburg","Laendlicher Raum","","","",""
"voll erwerbstätig","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"voll erwerbstätig","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"voll erwerbstätig","1985","Sachsen","Staedtischer Raum","","","",""
"voll erwerbstätig","1985","Sachsen","Laendlicher Raum","","","",""
"voll erwerbstätig","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"voll erwerbstätig","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"voll erwerbstätig","1985","Thueringen","Staedtischer Raum","","","",""
"voll erwerbstätig","1985","Thueringen","Laendlicher Raum","","","",""
"Teilzeit","1985","Schleswig-Holstein","Staedtischer Raum","23","","",""
"Teilzeit","1985","Schleswig-Holstein","Laendlicher Raum","7","","",""
"Teilzeit","1985","Hamburg","Staedtischer Raum","21","","",""
"Teilzeit","1985","Hamburg","Laendlicher Raum","1","","",""
"Teilzeit","1985","Niedersachsen","Staedtischer Raum","37","0.0740523485269378","0.0513484583977703","0.0967562386561053"
"Teilzeit","1985","Niedersachsen","Laendlicher Raum","46","0.0742720059245646","0.0532206906077715","0.0953233212413576"
"Teilzeit","1985","Bremen","Staedtischer Raum","6","","",""
"Teilzeit","1985","Bremen","Laendlicher Raum","","","",""
