"erwst","year","bildungsniveau","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"voll erwerbstätig","1984","(noch) kein Abschluss","maennlich","379","0.378605887599055","0.338891485491903","0.418320289706208"
"voll erwerbstätig","1984","(noch) kein Abschluss","weiblich","218","0.184840051585664","0.156247631280988","0.213432471890341"
"voll erwerbstätig","1984","Hauptschule","maennlich","2516","0.666241234426772","0.65061889163029","0.681863577223254"
"voll erwerbstätig","1984","Hauptschule","weiblich","829","0.172587748369547","0.160491343178784","0.18468415356031"
"voll erwerbstätig","1984","Realschule","maennlich","495","0.628173658729199","0.594365369132612","0.661981948325785"
"voll erwerbstätig","1984","Realschule","weiblich","331","0.288601975907095","0.261825234416718","0.315378717397471"
"voll erwerbstätig","1984","(Fach-)Abitur","maennlich","237","0.365925153018252","0.324404018289422","0.407446287747081"
"voll erwerbstätig","1984","(Fach-)Abitur","weiblich","95","0.257569580519797","0.211821834952654","0.30331732608694"
"voll erwerbstätig","1984","AkademikerIn","maennlich","429","0.781894267138901","0.746901462271879","0.816887072005923"
"voll erwerbstätig","1984","AkademikerIn","weiblich","105","0.370714379628021","0.311432547003054","0.429996212252987"
"Teilzeit","1984","(noch) kein Abschluss","maennlich","1","","",""
"Teilzeit","1984","(noch) kein Abschluss","weiblich","29","","",""
"Teilzeit","1984","Hauptschule","maennlich","8","","",""
"Teilzeit","1984","Hauptschule","weiblich","389","0.097820152774347","0.0883107969119838","0.10732950863671"
"Teilzeit","1984","Realschule","maennlich","4","","",""
"Teilzeit","1984","Realschule","weiblich","130","0.102051419818508","0.0841623809305768","0.11994045870644"
"Teilzeit","1984","(Fach-)Abitur","maennlich","8","","",""
"Teilzeit","1984","(Fach-)Abitur","weiblich","29","","",""
"Teilzeit","1984","AkademikerIn","maennlich","19","","",""
"Teilzeit","1984","AkademikerIn","weiblich","39","0.151437565551073","0.107439183000296","0.19543594810185"
"nicht erwerbstätig","1984","(noch) kein Abschluss","maennlich","183","0.580765575749707","0.540363871865341","0.621167279634074"
"nicht erwerbstätig","1984","(noch) kein Abschluss","weiblich","444","0.775539019390921","0.744806107085819","0.806271931696023"
"nicht erwerbstätig","1984","Hauptschule","maennlich","807","0.290364933283441","0.275326462164479","0.305403404402404"
"nicht erwerbstätig","1984","Hauptschule","weiblich","2292","0.671065901549246","0.656026609089241","0.68610519400925"
"nicht erwerbstätig","1984","Realschule","maennlich","200","0.26907488699984","0.238051708783799","0.30009806521588"
"nicht erwerbstätig","1984","Realschule","weiblich","508","0.498065555390406","0.468518207714593","0.527612903066218"
"nicht erwerbstätig","1984","(Fach-)Abitur","maennlich","222","0.515396790088288","0.472317670656264","0.558475909520312"
"nicht erwerbstätig","1984","(Fach-)Abitur","weiblich","183","0.526573255463085","0.474339611354293","0.578806899571876"
"nicht erwerbstätig","1984","AkademikerIn","maennlich","80","0.16794217604158","0.136266357792098","0.199617994291062"
"nicht erwerbstätig","1984","AkademikerIn","weiblich","90","0.401834460634682","0.34165998912383","0.462008932145533"
"Andere","1984","(noch) kein Abschluss","maennlich","10","","",""
"Andere","1984","(noch) kein Abschluss","weiblich","17","","",""
"Andere","1984","Hauptschule","maennlich","169","0.040445953196987","0.0339193632599415","0.0469725431340326"
"Andere","1984","Hauptschule","weiblich","239","0.0585261973068607","0.0510122240623498","0.0660401705513717"
"Andere","1984","Realschule","maennlich","86","0.0974708076131408","0.0767225718646013","0.11821904336168"
"Andere","1984","Realschule","weiblich","131","0.111281048883991","0.092696818773537","0.129865278994446"
"Andere","1984","(Fach-)Abitur","maennlich","50","0.104611031009554","0.0782296558142453","0.130992406204862"
"Andere","1984","(Fach-)Abitur","weiblich","44","0.141732009150383","0.105244857436562","0.178219160864205"
"Andere","1984","AkademikerIn","maennlich","7","","",""
"Andere","1984","AkademikerIn","weiblich","21","","",""
"voll erwerbstätig","1985","(noch) kein Abschluss","maennlich","288","0.282933783122561","0.243453057759435","0.322414508485687"
"voll erwerbstätig","1985","(noch) kein Abschluss","weiblich","179","0.185964638474464","0.154489629619983","0.217439647328945"
"voll erwerbstätig","1985","Hauptschule","maennlich","2263","0.658983934405002","0.642371260049698","0.675596608760307"
"voll erwerbstätig","1985","Hauptschule","weiblich","759","0.181902385659293","0.168766506831516","0.195038264487071"
"voll erwerbstätig","1985","Realschule","maennlich","487","0.634630017435087","0.600259255849789","0.669000779020385"
"voll erwerbstätig","1985","Realschule","weiblich","351","0.321015082850784","0.292923049090458","0.349107116611109"
"voll erwerbstätig","1985","(Fach-)Abitur","maennlich","212","0.390310472307771","0.345876303032985","0.434744641582556"
"voll erwerbstätig","1985","(Fach-)Abitur","weiblich","99","0.305246204576687","0.255102526544106","0.355389882609269"
"voll erwerbstätig","1985","AkademikerIn","maennlich","406","0.771345212046092","0.734861103110614","0.807829320981569"
"voll erwerbstätig","1985","AkademikerIn","weiblich","112","0.43531004228502","0.373353822353485","0.497266262216555"
"Teilzeit","1985","(noch) kein Abschluss","maennlich","3","","",""
"Teilzeit","1985","(noch) kein Abschluss","weiblich","25","","",""
"Teilzeit","1985","Hauptschule","maennlich","17","","",""
"Teilzeit","1985","Hauptschule","weiblich","440","0.123548824458345","0.112343600381434","0.134754048535256"
"Teilzeit","1985","Realschule","maennlich","11","","",""
"Teilzeit","1985","Realschule","weiblich","148","0.120967116830234","0.101345868934481","0.140588364725987"
"Teilzeit","1985","(Fach-)Abitur","maennlich","15","","",""
"Teilzeit","1985","(Fach-)Abitur","weiblich","38","0.10871914223069","0.0748241230397884","0.142614161421592"
"Teilzeit","1985","AkademikerIn","maennlich","11","","",""
"Teilzeit","1985","AkademikerIn","weiblich","39","0.144768633915348","0.10079831800783","0.188738949822865"
"nicht erwerbstätig","1985","(noch) kein Abschluss","maennlich","202","0.671797394566736","0.630639489734695","0.712955299398778"
"nicht erwerbstätig","1985","(noch) kein Abschluss","weiblich","370","0.768655783977816","0.734542438454583","0.802769129501049"
"nicht erwerbstätig","1985","Hauptschule","maennlich","747","0.306705627480205","0.290545885260607","0.322865369699803"
"nicht erwerbstätig","1985","Hauptschule","weiblich","1969","0.654389355288713","0.638195545220847","0.670583165356579"
"nicht erwerbstätig","1985","Realschule","maennlich","188","0.275821599000774","0.243920963281172","0.307722234720376"
"nicht erwerbstätig","1985","Realschule","weiblich","485","0.491015195192495","0.460934333437338","0.521096056947653"
"nicht erwerbstätig","1985","(Fach-)Abitur","maennlich","197","0.48242907167592","0.436913576896652","0.527944566455188"
"nicht erwerbstätig","1985","(Fach-)Abitur","weiblich","154","0.462823007497778","0.408530267764973","0.517115747230583"
"nicht erwerbstätig","1985","AkademikerIn","maennlich","83","0.189362631944027","0.155325759253142","0.223399504634912"
"nicht erwerbstätig","1985","AkademikerIn","weiblich","81","0.364284574227106","0.304148883596901","0.42442026485731"
"Andere","1985","(noch) kein Abschluss","maennlich","7","","",""
"Andere","1985","(noch) kein Abschluss","weiblich","13","","",""
"Andere","1985","Hauptschule","maennlich","101","0.0292099466868579","0.0233087137195515","0.0351111796541644"
"Andere","1985","Hauptschule","weiblich","145","0.0401594345936488","0.0334739834690163","0.0468448857182814"
"Andere","1985","Realschule","maennlich","68","0.0754933508693745","0.0566363861362678","0.0943503156024812"
"Andere","1985","Realschule","weiblich","77","0.0670026051264867","0.0519581501468716","0.0820470601061019"
"Andere","1985","(Fach-)Abitur","maennlich","39","0.0890259002971831","0.0630859704386026","0.114965830155764"
"Andere","1985","(Fach-)Abitur","weiblich","33","0.123211645694844","0.0874227043873156","0.159000587002373"
"Andere","1985","AkademikerIn","maennlich","9","","",""
"Andere","1985","AkademikerIn","weiblich","14","","",""
"voll erwerbstätig","1986","(noch) kein Abschluss","maennlich","272","0.348897113558017","0.306258706544759","0.391535520571276"
"voll erwerbstätig","1986","(noch) kein Abschluss","weiblich","160","0.193431465785934","0.160360870623561","0.226502060948308"
"voll erwerbstätig","1986","Hauptschule","maennlich","2157","0.66153400959936","0.644539080748486","0.678528938450235"
"voll erwerbstätig","1986","Hauptschule","weiblich","732","0.188038975285294","0.174310578392996","0.201767372177592"
"voll erwerbstätig","1986","Realschule","maennlich","463","0.613467491074643","0.578335019811127","0.648599962338159"
"voll erwerbstätig","1986","Realschule","weiblich","348","0.323842193450274","0.29532028568584","0.352364101214708"
"voll erwerbstätig","1986","(Fach-)Abitur","maennlich","210","0.378837468576062","0.334981546087999","0.422693391064126"
"voll erwerbstätig","1986","(Fach-)Abitur","weiblich","113","0.319573250487779","0.269860746341493","0.369285754634065"
