year,bula_h,quintil_oecd,plb0419_h,proportion,n,lower_confidence,upper_confidence
1987,Nordrhein-Westfalen,1. Quintil,Schwierig,0.10748243075651095,13496,0.10225689693061973,0.11270796458240218
1987,Nordrhein-Westfalen,1. Quintil,Prakt. unmoeglich,0.08143861099627946,13496,0.07682413056519305,0.08605309142736586
1987,Baden-Wuerttemberg,1. Quintil,Schwierig,0.054981397271599834,13496,0.05113564237466416,0.058827152168535506
1987,Bayern,1. Quintil,Schwierig,0.04630012401818934,13496,0.04275484453975002,0.04984540349662865
1987,Nordrhein-Westfalen,2. Quintil,Schwierig,0.043819760231500623,13496,0.040366268526360806,0.04727325193664044
1987,Niedersachsen,1. Quintil,Schwierig,0.04257957833815626,13496,0.03917310057663097,0.04598605609968155
1987,Baden-Wuerttemberg,1. Quintil,Prakt. unmoeglich,0.032658123191401406,13496,0.029659380913954633,0.03565686546884818
1987,"Rheinland-Pfalz,Saarland",1. Quintil,Schwierig,0.03100454733360893,13496,0.028080212458741816,0.03392888220847604
1987,Hessen,1. Quintil,Schwierig,0.02728400165357586,13496,0.024535470907143864,0.030032532400007854
1987,Hessen,1. Quintil,Prakt. unmoeglich,0.025630425795783382,13496,0.022964222234284893,0.02829662935728187
1987,Nordrhein-Westfalen,1. Quintil,Leicht,0.024803637866887142,13496,0.022179677543475374,0.02742759819029891
1987,Baden-Wuerttemberg,2. Quintil,Schwierig,0.02315006200909467,13496,0.020612927207484425,0.025687196810704912
1987,"Rheinland-Pfalz,Saarland",1. Quintil,Prakt. unmoeglich,0.02066969822240595,13496,0.01826928947494384,0.023070106969868064
1987,Nordrhein-Westfalen,2. Quintil,Prakt. unmoeglich,0.019016122364613478,13496,0.01671178823013464,0.021320456499092318
1987,Bayern,1. Quintil,Prakt. unmoeglich,0.018602728400165358,13496,0.016323098826738932,0.020882357973591784
1987,Niedersachsen,1. Quintil,Prakt. unmoeglich,0.017775940471269118,13496,0.015546606601835914,0.020005274340702324
1987,Bayern,2. Quintil,Schwierig,0.017362546506821,13496,0.015158824014752704,0.0195662689988893
1987,Nordrhein-Westfalen,3. Quintil,Schwierig,0.01694915254237288,13496,0.014771364937178883,0.019126940147566877
