year,hhtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Single-person household,,,,,,,,,,,,
1984,Couple without children,,,,,,,,,,,,
1984,Single parent,,,,,,,,,,,,
1984,Couple with children,,,,,,,,,,,,
1984,Multi-generational household,,,,,,,,,,,,
1984,Other Combinations,,,,,,,,,,,,
1985,Single-person household,,,,,,,,,,,,
1985,Couple without children,,,,,,,,,,,,
1985,Single parent,,,,,,,,,,,,
1985,Couple with children,,,,,,,,,,,,
1985,Multi-generational household,,,,,,,,,,,,
1985,Other Combinations,,,,,,,,,,,,
1986,Single-person household,,,,,,,,,,,,
1986,Couple without children,,,,,,,,,,,,
1986,Single parent,,,,,,,,,,,,
1986,Couple with children,,,,,,,,,,,,
1986,Multi-generational household,,,,,,,,,,,,
1986,Other Combinations,,,,,,,,,,,,
1987,Single-person household,,,,,,,,,,,,
1987,Couple without children,,,,,,,,,,,,
1987,Single parent,,,,,,,,,,,,
1987,Couple with children,,,,,,,,,,,,
1987,Multi-generational household,,,,,,,,,,,,
1987,Other Combinations,,,,,,,,,,,,
1988,Single-person household,,,,,,,,,,,,
1988,Couple without children,,,,,,,,,,,,
1988,Single parent,,,,,,,,,,,,
1988,Couple with children,,,,,,,,,,,,
1988,Multi-generational household,,,,,,,,,,,,
1988,Other Combinations,,,,,,,,,,,,
1989,Single-person household,,,,,,,,,,,,
1989,Couple without children,,,,,,,,,,,,
1989,Single parent,,,,,,,,,,,,
1989,Couple with children,,,,,,,,,,,,
1989,Multi-generational household,,,,,,,,,,,,
1989,Other Combinations,,,,,,,,,,,,
1990,Single-person household,,,,,,,,,,,,
1990,Couple without children,,,,,,,,,,,,
1990,Single parent,,,,,,,,,,,,
1990,Couple with children,,,,,,,,,,,,
1990,Multi-generational household,,,,,,,,,,,,
1990,Other Combinations,,,,,,,,,,,,
1991,Single-person household,,,,,,,,,,,,
1991,Couple without children,,,,,,,,,,,,
1991,Single parent,,,,,,,,,,,,
1991,Couple with children,,,,,,,,,,,,
1991,Multi-generational household,,,,,,,,,,,,
1991,Other Combinations,,,,,,,,,,,,
1992,Single-person household,,,,,,,,,,,,
1992,Couple without children,,,,,,,,,,,,
1992,Single parent,,,,,,,,,,,,
1992,Couple with children,,,,,,,,,,,,
1992,Multi-generational household,,,,,,,,,,,,
1992,Other Combinations,,,,,,,,,,,,
1993,Single-person household,,,,,,,,,,,,
1993,Couple without children,,,,,,,,,,,,
1993,Single parent,,,,,,,,,,,,
1993,Couple with children,,,,,,,,,,,,
1993,Multi-generational household,,,,,,,,,,,,
1993,Other Combinations,,,,,,,,,,,,
1994,Single-person household,,,,,,,,,,,,
1994,Couple without children,,,,,,,,,,,,
1994,Single parent,,,,,,,,,,,,
1994,Couple with children,,,,,,,,,,,,
1994,Multi-generational household,,,,,,,,,,,,
1994,Other Combinations,,,,,,,,,,,,
1995,Single-person household,,,,,,,,,,,,
1995,Couple without children,,,,,,,,,,,,
1995,Single parent,,,,,,,,,,,,
1995,Couple with children,,,,,,,,,,,,
1995,Multi-generational household,,,,,,,,,,,,
1995,Other Combinations,,,,,,,,,,,,
1996,Single-person household,,,,,,,,,,,,
1996,Couple without children,,,,,,,,,,,,
1996,Single parent,,,,,,,,,,,,
1996,Couple with children,,,,,,,,,,,,
1996,Multi-generational household,,,,,,,,,,,,
1996,Other Combinations,,,,,,,,,,,,
1997,Single-person household,,,,,,,,,,,,
1997,Couple without children,,,,,,,,,,,,
1997,Single parent,,,,,,,,,,,,
1997,Couple with children,,,,,,,,,,,,
1997,Multi-generational household,,,,,,,,,,,,
1997,Other Combinations,,,,,,,,,,,,
1998,Single-person household,876,241.17726,233.55658,248.79794,153.00000,205.00000,307.00000,41,538.00000,,,
1998,Couple without children,1257,409.55717,399.45887,419.65546,281.00000,409.00000,511.00000,51,856.00000,,,
1998,Single parent,244,346.87274,328.47742,365.26805,256.00000,307.00000,409.00000,51,638.50000,,,
1998,Couple with children,1589,530.57263,519.43261,541.71265,383.00000,511.00000,614.00000,102,960.50000,,,
1998,Multi-generational household,56,525.59009,465.53353,585.64666,358.00000,511.00000,614.00000,102,998.00000,,,
1998,Other Combinations,88,404.53561,363.26589,445.80533,263.06872,380.48465,511.00000,77,882.89692,,,
1999,Single-person household,,,,,,,,,,,,
1999,Couple without children,,,,,,,,,,,,
1999,Single parent,,,,,,,,,,,,
1999,Couple with children,,,,,,,,,,,,
1999,Multi-generational household,,,,,,,,,,,,
1999,Other Combinations,,,,,,,,,,,,
2000,Single-person household,1702,237.32964,231.58506,243.07423,153.00000,205.00000,307.00000,20,538.00000,,,
2000,Couple without children,2179,410.13357,401.64219,418.62495,256.00000,383.00000,511.00000,77,893.50000,,,
2000,Single parent,353,352.72064,336.98670,368.45458,256.00000,307.00000,409.00000,41,638.50000,,,
2000,Couple with children,2490,538.11373,528.67700,547.55046,409.00000,511.00000,614.00000,102,921.50000,,,
2000,Multi-generational household,94,530.50227,481.33598,579.66857,352.81114,511.00000,614.00000,115,1005.78329,,,
2000,Other Combinations,90,384.32431,344.88244,423.76617,256.00000,358.00000,511.00000,51,893.50000,,,
2001,Single-person household,1348,241.86648,235.11070,248.62225,153.00000,205.00000,307.00000,0,538.00000,,,
2001,Couple without children,1875,417.59435,408.46364,426.72506,281.00000,409.00000,511.00000,51,856.00000,,,
2001,Single parent,307,351.95498,334.48990,369.42005,256.00000,307.00000,409.00000,51,638.50000,,,
2001,Couple with children,2144,550.12603,540.06207,560.19000,409.00000,511.00000,614.00000,101.50000,921.50000,,,
2001,Multi-generational household,78,516.54151,451.10712,581.97591,307.00000,511.00000,614.00000,128,1074.50000,,,
2001,Other Combinations,57,438.31030,374.89071,501.72990,205.00000,409.00000,614.00000,77,1227.50000,,,
2002,Single-person household,,,,,,,,,,,,
2002,Couple without children,,,,,,,,,,,,
2002,Single parent,,,,,,,,,,,,
2002,Couple with children,,,,,,,,,,,,
2002,Multi-generational household,,,,,,,,,,,,
2002,Other Combinations,,,,,,,,,,,,
2003,Single-person household,1393,257.45924,250.18155,264.73693,160.00000,240.00000,300.00000,0,510.00000,,,
2003,Couple without children,2029,443.94323,434.62547,453.26100,300.00000,400.00000,500.00000,40,800.00000,,,
2003,Single parent,329,368.37705,348.04319,388.71091,250.00000,350.00000,400.00000,100,625.00000,,,
2003,Couple with children,2037,550.86088,539.78263,561.93913,400.00000,500.00000,650.00000,80,1025.00000,,,
2003,Multi-generational household,59,625.25298,560.11129,690.39467,400.00000,600.00000,800.00000,240,1400.00000,,,
2003,Other Combinations,58,392.26920,332.96010,451.57829,200.00000,394.44534,500.00000,60,950.00000,,,
2004,Single-person household,,,,,,,,,,,,
2004,Couple without children,,,,,,,,,,,,
2004,Single parent,,,,,,,,,,,,
2004,Couple with children,,,,,,,,,,,,
2004,Multi-generational household,,,,,,,,,,,,
2004,Other Combinations,,,,,,,,,,,,
2005,Single-person household,1406,257.07204,250.04858,264.09550,171.87288,220.00000,300.00000,25,492.19068,,,
2005,Couple without children,1992,444.83150,435.39063,454.27237,300.00000,400.00000,500.00000,30,800.00000,,,
2005,Single parent,337,355.97674,338.97722,372.97625,250.00000,300.00000,450.00000,80,750.00000,,,
2005,Couple with children,1864,563.18746,551.67181,574.70311,400.00000,500.00000,700.00000,50,1150.00000,,,
2005,Multi-generational household,47,488.40840,427.49722,549.31958,374.23417,500.00000,600.00000,150,938.64874,,,
2005,Other Combinations,47,406.82125,348.60228,465.04022,300.00000,352.48038,500.00000,100,800.00000,,,
