"pli0097_h","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1985","Hauptschule","Westdeutschland","","","",""
"Taeglich","1985","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1985","Realschule","Westdeutschland","","","",""
"Taeglich","1985","Realschule","Ostdeutschland","","","",""
"Taeglich","1985","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1985","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1985","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","Westdeutschland","4","0.00710362948241304","0.00208559007640019","0.0121216688884259"
"Min 1x pro Woche","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","Hauptschule","Westdeutschland","36","0.00541224698188054","0.00360612086686905","0.00721837309689204"
"Min 1x pro Woche","1985","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","Realschule","Westdeutschland","22","","",""
"Min 1x pro Woche","1985","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","Westdeutschland","17","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","AkademikerIn","Westdeutschland","23","","",""
"Min 1x pro Woche","1985","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Westdeutschland","4","0.00622149171730288","0.00152326447060354","0.0109197189640022"
"Min 1x pro Monat","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","Hauptschule","Westdeutschland","94","0.0154970540437451","0.0124563734740082","0.0185377346134821"
"Min 1x pro Monat","1985","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","Realschule","Westdeutschland","38","0.0215487506412264","0.0148276779872741","0.0282698232951787"
"Min 1x pro Monat","1985","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Westdeutschland","23","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","AkademikerIn","Westdeutschland","39","0.0510942305512136","0.035293536913739","0.0668949241886883"
"Min 1x pro Monat","1985","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1985","(noch) kein Abschluss","Westdeutschland","22","","",""
"Seltener","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1985","Hauptschule","Westdeutschland","197","","",""
"Seltener","1985","Hauptschule","Ostdeutschland","","","",""
"Seltener","1985","Realschule","Westdeutschland","121","","",""
"Seltener","1985","Realschule","Ostdeutschland","","","",""
"Seltener","1985","(Fach-)Abitur","Westdeutschland","81","0.115826210697257","0.0932812307628142","0.138371190631699"
"Seltener","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1985","AkademikerIn","Westdeutschland","90","0.120430402612986","0.097075296161706","0.143785509064266"
"Seltener","1985","AkademikerIn","Ostdeutschland","","","",""
"Nie","1985","(noch) kein Abschluss","Westdeutschland","1046","","",""
"Nie","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1985","Hauptschule","Westdeutschland","6012","0.946790322273663","0.941264970478488","0.952315674068838"
"Nie","1985","Hauptschule","Ostdeutschland","","","",""
"Nie","1985","Realschule","Westdeutschland","1612","","",""
"Nie","1985","Realschule","Ostdeutschland","","","",""
"Nie","1985","(Fach-)Abitur","Westdeutschland","653","0.821696896948542","0.794731123293811","0.848662670603273"
"Nie","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1985","AkademikerIn","Westdeutschland","594","0.796829231751313","0.767956231302759","0.825702232199867"
"Nie","1985","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1986","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1986","Hauptschule","Westdeutschland","","","",""
"Taeglich","1986","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1986","Realschule","Westdeutschland","","","",""
"Taeglich","1986","Realschule","Ostdeutschland","","","",""
"Taeglich","1986","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1986","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1986","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","Westdeutschland","4","0.00320853718854831","-0.000270593666127701","0.00668766804322432"
"Min 1x pro Woche","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","Hauptschule","Westdeutschland","45","0.00755985551505918","0.00536833678412117","0.00975137424599718"
"Min 1x pro Woche","1986","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","Realschule","Westdeutschland","12","","",""
"Min 1x pro Woche","1986","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","Westdeutschland","14","","",""
