"pli0097_h","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1985","kein Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1985","direkter Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1985","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Täglich","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","kein Migrationshintergrund","Westdeutschland","90","0.0110591042998509","0.00874713553006579","0.013371073069636"
"Min 1x pro Woche","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","direkter Migrationshintergrund","Westdeutschland","13","","",""
"Min 1x pro Woche","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Woche","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","kein Migrationshintergrund","Westdeutschland","175","0.0208431985130328","0.0176849585624491","0.0240014384636166"
"Min 1x pro Monat","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","direkter Migrationshintergrund","Westdeutschland","23","","",""
"Min 1x pro Monat","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","indirekter Migrationshintergrund","Westdeutschland","1","","",""
"Min 1x pro Monat","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Monat","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Seltener","1985","kein Migrationshintergrund","Westdeutschland","446","0.0533615647176917","0.0483928602895076","0.0583302691458758"
"Seltener","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1985","direkter Migrationshintergrund","Westdeutschland","64","0.0318667099049818","0.0254406712590541","0.0382927485509095"
"Seltener","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1985","indirekter Migrationshintergrund","Westdeutschland","5","","",""
"Seltener","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Seltener","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nie","1985","kein Migrationshintergrund","Westdeutschland","7149","0.914736132469425","0.908562123597748","0.920910141341101"
"Nie","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1985","direkter Migrationshintergrund","Westdeutschland","2770","0.950560855056902","0.94262977048416","0.958491939629643"
"Nie","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1985","indirekter Migrationshintergrund","Westdeutschland","132","0.921075010182849","0.876090466971104","0.966059553394594"
"Nie","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nie","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Täglich","1986","kein Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1986","direkter Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1986","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Täglich","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","kein Migrationshintergrund","Westdeutschland","76","0.00985703778987999","0.00762150149946697","0.012092574080293"
"Min 1x pro Woche","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","direkter Migrationshintergrund","Westdeutschland","19","","",""
"Min 1x pro Woche","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","indirekter Migrationshintergrund","Westdeutschland","1","","",""
"Min 1x pro Woche","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Woche","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","kein Migrationshintergrund","Westdeutschland","151","0.0196135276321086","0.016475649504361","0.0227514057598562"
"Min 1x pro Monat","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","direkter Migrationshintergrund","Westdeutschland","17","","",""
"Min 1x pro Monat","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","indirekter Migrationshintergrund","Westdeutschland","1","","",""
"Min 1x pro Monat","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Monat","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Seltener","1986","kein Migrationshintergrund","Westdeutschland","426","0.0545991739379343","0.0494580202600621","0.0597403276158064"
"Seltener","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1986","direkter Migrationshintergrund","Westdeutschland","68","0.0285566785541401","0.0223885400584256","0.0347248170498545"
"Seltener","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1986","indirekter Migrationshintergrund","Westdeutschland","7","","",""
"Seltener","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Seltener","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nie","1986","kein Migrationshintergrund","Westdeutschland","6849","0.915930260640077","0.909650969561673","0.922209551718481"
"Nie","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1986","direkter Migrationshintergrund","Westdeutschland","2697","0.952340031335243","0.944450259701323","0.960229802969163"
"Nie","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1986","indirekter Migrationshintergrund","Westdeutschland","144","0.925251381020075","0.883580389591717","0.966922372448432"
"Nie","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nie","1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Täglich","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Täglich","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Woche","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Monat","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Monat","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Monat","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Monat","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Seltener","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Seltener","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Seltener","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Seltener","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Seltener","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nie","1987","kein Migrationshintergrund","Westdeutschland","","","",""
"Nie","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1987","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nie","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1987","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nie","1987","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nie","1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Täglich","1988","kein Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1988","direkter Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1988","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Täglich","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Täglich","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Täglich","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","kein Migrationshintergrund","Westdeutschland","56","0.00765147947333581","0.00561019330396247","0.00969276564270916"
"Min 1x pro Woche","1988","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","direkter Migrationshintergrund","Westdeutschland","13","","",""
"Min 1x pro Woche","1988","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Min 1x pro Woche","1988","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Woche","1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
