"plj0047","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1992","kein Migrationshintergrund","1","","",""
"Grosse Sorgen","1992","direkter Migrationshintergrund","725","0.412169289820329","0.390157854688567","0.434180724952091"
"Grosse Sorgen","1992","indirekter Migrationshintergrund","132","","",""
"Grosse Sorgen","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1992","kein Migrationshintergrund","","","",""
"Einige Sorgen","1992","direkter Migrationshintergrund","841","0.407448791623896","0.385476069184524","0.429421514063268"
"Einige Sorgen","1992","indirekter Migrationshintergrund","123","","",""
"Einige Sorgen","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1992","kein Migrationshintergrund","","","",""
"Keine Sorgen","1992","direkter Migrationshintergrund","355","0.180381918555775","0.163187532445558","0.197576304665991"
"Keine Sorgen","1992","indirekter Migrationshintergrund","60","0.186815523676724","0.143773385770096","0.229857661583352"
"Keine Sorgen","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1993","kein Migrationshintergrund","1","","",""
"Grosse Sorgen","1993","direkter Migrationshintergrund","866","0.489642463376909","0.466770320247624","0.512514606506194"
"Grosse Sorgen","1993","indirekter Migrationshintergrund","161","","",""
"Grosse Sorgen","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1993","kein Migrationshintergrund","","","",""
"Einige Sorgen","1993","direkter Migrationshintergrund","755","0.399885923545023","0.377472147820688","0.422299699269359"
"Einige Sorgen","1993","indirekter Migrationshintergrund","148","","",""
"Einige Sorgen","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1993","kein Migrationshintergrund","","","",""
"Keine Sorgen","1993","direkter Migrationshintergrund","214","","",""
"Keine Sorgen","1993","indirekter Migrationshintergrund","39","0.102906440838771","0.0709838142936746","0.134829067383867"
"Keine Sorgen","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1994","kein Migrationshintergrund","2","","",""
"Grosse Sorgen","1994","direkter Migrationshintergrund","775","0.474339702672144","0.450870646376663","0.497808758967625"
"Grosse Sorgen","1994","indirekter Migrationshintergrund","182","","",""
"Grosse Sorgen","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1994","kein Migrationshintergrund","","","",""
"Einige Sorgen","1994","direkter Migrationshintergrund","756","0.421346771713536","0.398139326942275","0.444554216484796"
"Einige Sorgen","1994","indirekter Migrationshintergrund","145","","",""
"Einige Sorgen","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1994","kein Migrationshintergrund","","","",""
"Keine Sorgen","1994","direkter Migrationshintergrund","208","","",""
"Keine Sorgen","1994","indirekter Migrationshintergrund","35","0.0878237158995667","0.0586669668854856","0.116980464913648"
"Keine Sorgen","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1995","kein Migrationshintergrund","1","","",""
"Grosse Sorgen","1995","direkter Migrationshintergrund","651","0.448585010522432","0.424146503895522","0.473023517149343"
"Grosse Sorgen","1995","indirekter Migrationshintergrund","137","","",""
"Grosse Sorgen","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1995","kein Migrationshintergrund","1","","",""
"Einige Sorgen","1995","direkter Migrationshintergrund","719","0.419469938779136","0.395221946824982","0.443717930733289"
"Einige Sorgen","1995","indirekter Migrationshintergrund","177","","",""
"Einige Sorgen","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1995","kein Migrationshintergrund","","","",""
"Keine Sorgen","1995","direkter Migrationshintergrund","221","","",""
"Keine Sorgen","1995","indirekter Migrationshintergrund","41","0.109577597926485","0.0770843711650718","0.142070824687898"
"Keine Sorgen","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1996","kein Migrationshintergrund","2709","","",""
"Grosse Sorgen","1996","direkter Migrationshintergrund","931","0.34786619028443","0.329419529117208","0.366312851451652"
"Grosse Sorgen","1996","indirekter Migrationshintergrund","204","","",""
"Grosse Sorgen","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1996","kein Migrationshintergrund","5273","0.534617066687855","0.524721798475322","0.544512334900388"
"Einige Sorgen","1996","direkter Migrationshintergrund","1295","","",""
"Einige Sorgen","1996","indirekter Migrationshintergrund","273","","",""
"Einige Sorgen","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1996","kein Migrationshintergrund","1779","","",""
"Keine Sorgen","1996","direkter Migrationshintergrund","335","0.15018750814417","0.136351151015906","0.164023865272433"
"Keine Sorgen","1996","indirekter Migrationshintergrund","67","0.0984392705622544","0.0734052659586849","0.123473275165824"
"Keine Sorgen","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1997","kein Migrationshintergrund","2820","","",""
"Grosse Sorgen","1997","direkter Migrationshintergrund","867","0.3465082892496","0.327661795959541","0.365354782539659"
"Grosse Sorgen","1997","indirekter Migrationshintergrund","185","","",""
"Grosse Sorgen","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1997","kein Migrationshintergrund","5060","0.51653397712952","0.506582538539804","0.526485415719235"
"Einige Sorgen","1997","direkter Migrationshintergrund","1203","","",""
"Einige Sorgen","1997","indirekter Migrationshintergrund","282","","",""
"Einige Sorgen","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1997","kein Migrationshintergrund","1807","","",""
"Keine Sorgen","1997","direkter Migrationshintergrund","379","0.177962220250328","0.162813934288284","0.193110506212372"
"Keine Sorgen","1997","indirekter Migrationshintergrund","96","0.169399367447391","0.138414765980069","0.200383968914712"
"Keine Sorgen","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1998","kein Migrationshintergrund","3200","0.298247143475029","0.289712930722967","0.306781356227092"
"Grosse Sorgen","1998","direkter Migrationshintergrund","847","0.368848754389975","0.349386597020961","0.388310911758989"
"Grosse Sorgen","1998","indirekter Migrationshintergrund","198","","",""
"Grosse Sorgen","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1998","kein Migrationshintergrund","5676","0.512911700362061","0.503587569155256","0.522235831568867"
"Einige Sorgen","1998","direkter Migrationshintergrund","1132","","",""
"Einige Sorgen","1998","indirekter Migrationshintergrund","313","0.491556999300267","0.451319700033143","0.53179429856739"
"Einige Sorgen","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1998","kein Migrationshintergrund","2163","","",""
"Keine Sorgen","1998","direkter Migrationshintergrund","382","0.170908423460474","0.155724532269409","0.186092314651539"
"Keine Sorgen","1998","indirekter Migrationshintergrund","82","0.165627776217415","0.135707386306166","0.195548166128663"
"Keine Sorgen","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1999","kein Migrationshintergrund","3125","0.293057823515578","0.284478289928381","0.301637357102774"
"Grosse Sorgen","1999","direkter Migrationshintergrund","715","0.323770817809741","0.30420050675397","0.343341128865513"
"Grosse Sorgen","1999","indirekter Migrationshintergrund","218","","",""
"Grosse Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1999","kein Migrationshintergrund","6121","0.553681480873117","0.54431130968877","0.563051652057464"
"Einige Sorgen","1999","direkter Migrationshintergrund","1087","","",""
"Einige Sorgen","1999","indirekter Migrationshintergrund","302","0.486455236304873","0.446528810016207","0.526381662593539"
"Einige Sorgen","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1999","kein Migrationshintergrund","1566","","",""
