year,pgisced97,regtyp,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No answer / don't know,Urban regions,Sometimes,0.23587,82,275,0.18560,0.28614
2013,No answer / don't know,Urban regions,Seldom,0.42238,108,275,0.36389,0.48086
2013,No answer / don't know,Urban regions,Never,0.24588,85,275,0.19489,0.29686
2013,No answer / don't know,Rural regions,Sometimes,0.31784,47,137,0.23958,0.39610
2013,No answer / don't know,Rural regions,Seldom,0.35708,54,137,0.27655,0.43761
2013,No answer / don't know,Rural regions,Never,0.19499,36,137,0.12841,0.26158
2013,Pre-primary Level,Urban regions,Sometimes,0.23782,80,277,0.18759,0.28805
2013,Pre-primary Level,Urban regions,Seldom,0.41157,132,277,0.35351,0.46963
2013,Pre-primary Level,Urban regions,Never,0.26741,65,277,0.21519,0.31963
2013,Pre-primary Level,Rural regions,Sometimes,0.28562,41,100,0.19664,0.37460
2013,Pre-primary Level,Rural regions,Seldom,0.38810,59,100,0.29211,0.48410
2013,Primary Level,Urban regions,Often,0.16995,37,193,0.11683,0.22308
2013,Primary Level,Urban regions,Sometimes,0.36237,76,193,0.29438,0.43037
2013,Primary Level,Urban regions,Seldom,0.27634,49,193,0.21309,0.33959
2013,Primary Level,Urban regions,Never,0.14731,31,193,0.09718,0.19744
2013,Primary Level,Rural regions,Sometimes,0.35745,42,42,0.21075,0.50415
2013,Lower Secondary Level,Urban regions,Very often,0.03013,54,1662,0.02191,0.03835
2013,Lower Secondary Level,Urban regions,Often,0.11630,198,1662,0.10088,0.13172
2013,Lower Secondary Level,Urban regions,Sometimes,0.35312,537,1662,0.33013,0.37610
2013,Lower Secondary Level,Urban regions,Seldom,0.30614,550,1662,0.28397,0.32830
2013,Lower Secondary Level,Urban regions,Never,0.19432,323,1662,0.17529,0.21335
2013,Lower Secondary Level,Rural regions,Often,0.08621,88,888,0.06774,0.10469
2013,Lower Secondary Level,Rural regions,Sometimes,0.35044,277,888,0.31904,0.38184
2013,Lower Secondary Level,Rural regions,Seldom,0.34473,343,888,0.31345,0.37601
2013,Lower Secondary Level,Rural regions,Never,0.19134,180,888,0.16546,0.21723
2013,Upper Secondary Level,Urban regions,Very often,0.01853,133,7273,0.01543,0.02163
2013,Upper Secondary Level,Urban regions,Often,0.07612,572,7273,0.07002,0.08221
2013,Upper Secondary Level,Urban regions,Sometimes,0.35315,2521,7273,0.34217,0.36414
2013,Upper Secondary Level,Urban regions,Seldom,0.37484,2683,7273,0.36371,0.38596
