year,pgisced97,sex,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No answer / don't know,male,Sometimes,0.32656,72,228,0.26555,0.38757
2013,No answer / don't know,male,Seldom,0.32105,80,228,0.26032,0.38179
2013,No answer / don't know,male,Never,0.25393,76,228,0.19730,0.31055
2013,No answer / don't know,female,Sometimes,0.17888,57,184,0.12335,0.23441
2013,No answer / don't know,female,Seldom,0.50542,82,184,0.43298,0.57786
2013,No answer / don't know,female,Never,0.19798,45,184,0.14024,0.25571
2013,Pre-primary Level,male,Sometimes,0.20301,51,191,0.14581,0.26021
2013,Pre-primary Level,male,Seldom,0.39772,91,191,0.32813,0.46731
2013,Pre-primary Level,male,Never,0.30778,49,191,0.24214,0.37341
2013,Pre-primary Level,female,Sometimes,0.29096,70,215,0.23011,0.35182
2013,Pre-primary Level,female,Seldom,0.41290,100,215,0.34693,0.47886
2013,Pre-primary Level,female,Never,0.18013,45,215,0.12865,0.23162
2013,Primary Level,male,Sometimes,0.44471,54,54,0.31092,0.57850
2013,Primary Level,female,Often,0.17684,34,148,0.11516,0.23852
2013,Primary Level,female,Sometimes,0.29843,64,148,0.22446,0.37240
2013,Primary Level,female,Seldom,0.31992,50,148,0.24451,0.39532
2013,Lower Secondary Level,male,Often,0.08734,78,845,0.06829,0.10639
2013,Lower Secondary Level,male,Sometimes,0.34499,255,845,0.31292,0.37706
2013,Lower Secondary Level,male,Seldom,0.33731,332,845,0.30542,0.36921
2013,Lower Secondary Level,male,Never,0.20826,180,845,0.18086,0.23566
2013,Lower Secondary Level,female,Very often,0.03271,64,1715,0.02429,0.04113
2013,Lower Secondary Level,female,Often,0.11535,208,1715,0.10023,0.13048
2013,Lower Secondary Level,female,Sometimes,0.35584,559,1715,0.33318,0.37851
2013,Lower Secondary Level,female,Seldom,0.31037,561,1715,0.28847,0.33228
2013,Lower Secondary Level,female,Never,0.18571,323,1715,0.16730,0.20412
2013,Upper Secondary Level,male,Very often,0.01634,76,5453,0.01297,0.01970
2013,Upper Secondary Level,male,Often,0.07092,406,5453,0.06410,0.07773
2013,Upper Secondary Level,male,Sometimes,0.34355,1807,5453,0.33095,0.35616
2013,Upper Secondary Level,male,Seldom,0.39391,2104,5453,0.38094,0.40688
2013,Upper Secondary Level,male,Never,0.17528,1060,5453,0.16518,0.18537
2013,Upper Secondary Level,female,Very often,0.02205,157,6935,0.01860,0.02551
2013,Upper Secondary Level,female,Often,0.09549,638,6935,0.08857,0.10241
2013,Upper Secondary Level,female,Sometimes,0.35233,2476,6935,0.34108,0.36357
2013,Upper Secondary Level,female,Seldom,0.35702,2471,6935,0.34575,0.36830
