year,quintil_oecd,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,Very often,0.04621,202,5100,0.04045,0.05197
2013,1st Quintile,Often,0.12223,631,5100,0.11324,0.13122
2013,1st Quintile,Sometimes,0.35331,1768,5100,0.34019,0.36643
2013,1st Quintile,Seldom,0.32328,1665,5100,0.31044,0.33612
2013,1st Quintile,Never,0.15497,834,5100,0.14504,0.16491
2013,2nd Quintile,Very often,0.01711,91,5188,0.01358,0.02063
2013,2nd Quintile,Often,0.09307,478,5188,0.08516,0.10097
2013,2nd Quintile,Sometimes,0.35876,1812,5188,0.34571,0.37181
2013,2nd Quintile,Seldom,0.35137,1873,5188,0.33837,0.36436
2013,2nd Quintile,Never,0.17970,934,5188,0.16925,0.19015
2013,3rd Quintile,Very often,0.01880,86,4864,0.01498,0.02262
2013,3rd Quintile,Often,0.08439,389,4864,0.07657,0.09220
2013,3rd Quintile,Sometimes,0.36781,1685,4864,0.35425,0.38136
2013,3rd Quintile,Seldom,0.36771,1843,4864,0.35415,0.38126
2013,3rd Quintile,Never,0.16130,861,4864,0.15096,0.17164
2013,4th Quintile,Very often,0.01531,66,4830,0.01184,0.01877
2013,4th Quintile,Often,0.06955,319,4830,0.06238,0.07673
2013,4th Quintile,Sometimes,0.35536,1634,4830,0.34186,0.36886
2013,4th Quintile,Seldom,0.39995,1982,4830,0.38613,0.41377
2013,4th Quintile,Never,0.15984,829,4830,0.14950,0.17017
2013,5th Quintile,Very often,0.00725,31,5468,0.00500,0.00950
2013,5th Quintile,Often,0.06072,292,5468,0.05439,0.06705
2013,5th Quintile,Sometimes,0.31441,1690,5468,0.30210,0.32672
2013,5th Quintile,Seldom,0.43037,2327,5468,0.41724,0.44349
2013,5th Quintile,Never,0.18724,1128,5468,0.17690,0.19758
2017,1st Quintile,Very often,0.04061,164,4705,0.03497,0.04625
2017,1st Quintile,Often,0.10893,519,4705,0.10003,0.11783
2017,1st Quintile,Sometimes,0.32897,1602,4705,0.31554,0.34239
2017,1st Quintile,Seldom,0.33759,1517,4705,0.32407,0.35110
2017,1st Quintile,Never,0.18391,903,4705,0.17284,0.19498
2017,2nd Quintile,Very often,0.02295,110,4779,0.01870,0.02719
2017,2nd Quintile,Often,0.09105,406,4779,0.08289,0.09921
2017,2nd Quintile,Sometimes,0.32678,1532,4779,0.31348,0.34008
2017,2nd Quintile,Seldom,0.36369,1703,4779,0.35005,0.37733
2017,2nd Quintile,Never,0.19553,1028,4779,0.18428,0.20678
2017,3rd Quintile,Very often,0.01580,62,4408,0.01212,0.01948
2017,3rd Quintile,Often,0.07898,345,4408,0.07102,0.08695
2017,3rd Quintile,Sometimes,0.33171,1435,4408,0.31781,0.34561
2017,3rd Quintile,Seldom,0.37913,1686,4408,0.36480,0.39345
2017,3rd Quintile,Never,0.19438,880,4408,0.18270,0.20606
2017,4th Quintile,Very often,0.01160,40,4352,0.00841,0.01478
2017,4th Quintile,Often,0.05778,251,4352,0.05085,0.06472
2017,4th Quintile,Sometimes,0.30685,1332,4352,0.29314,0.32055
2017,4th Quintile,Seldom,0.43217,1858,4352,0.41745,0.44688
2017,4th Quintile,Never,0.19161,871,4352,0.17991,0.20330
2017,5th Quintile,Very often,0.00952,36,4551,0.00670,0.01234
2017,5th Quintile,Often,0.04945,244,4551,0.04315,0.05575
2017,5th Quintile,Sometimes,0.28766,1284,4551,0.27451,0.30081
2017,5th Quintile,Seldom,0.45750,2043,4551,0.44303,0.47198
2017,5th Quintile,Never,0.19587,944,4551,0.18434,0.20740
2021,1st Quintile,Very often,0.06679,562,4782,0.05971,0.07386
2021,1st Quintile,Often,0.17726,901,4782,0.16643,0.18808
2021,1st Quintile,Sometimes,0.33787,1666,4782,0.32446,0.35128
2021,1st Quintile,Seldom,0.29650,1055,4782,0.28355,0.30945
2021,1st Quintile,Never,0.12159,598,4782,0.11233,0.13085
2021,2nd Quintile,Very often,0.05104,226,3551,0.04380,0.05828
2021,2nd Quintile,Often,0.16533,585,3551,0.15311,0.17755
2021,2nd Quintile,Sometimes,0.37439,1287,3551,0.35847,0.39031
2021,2nd Quintile,Seldom,0.31901,1063,3551,0.30368,0.33434
2021,2nd Quintile,Never,0.09023,390,3551,0.08080,0.09965
2021,3rd Quintile,Very often,0.04045,160,3148,0.03357,0.04733
2021,3rd Quintile,Often,0.15990,501,3148,0.14710,0.17271
2021,3rd Quintile,Sometimes,0.34630,1134,3148,0.32968,0.36292
2021,3rd Quintile,Seldom,0.35557,1025,3148,0.33885,0.37230
2021,3rd Quintile,Never,0.09777,328,3148,0.08739,0.10815
2021,4th Quintile,Very often,0.04336,139,3202,0.03630,0.05041
2021,4th Quintile,Often,0.14366,485,3202,0.13151,0.15581
2021,4th Quintile,Sometimes,0.37287,1164,3202,0.35612,0.38962
2021,4th Quintile,Seldom,0.33336,1066,3202,0.31703,0.34969
2021,4th Quintile,Never,0.10675,348,3202,0.09606,0.11745
2021,5th Quintile,Very often,0.03564,164,4286,0.03009,0.04119
2021,5th Quintile,Often,0.12613,551,4286,0.11619,0.13607
2021,5th Quintile,Sometimes,0.37550,1558,4286,0.36100,0.39000
2021,5th Quintile,Seldom,0.34548,1461,4286,0.33124,0.35972
2021,5th Quintile,Never,0.11725,552,4286,0.10762,0.12688
