year,bula_h,migback,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Schleswig-Holstein,No migration background,Often,0.07641,63,778,0.05773,0.09508
2013,Schleswig-Holstein,No migration background,Sometimes,0.40257,277,778,0.36809,0.43705
2013,Schleswig-Holstein,No migration background,Seldom,0.38972,332,778,0.35543,0.42401
2013,Schleswig-Holstein,No migration background,Never,0.11750,106,778,0.09486,0.14014
2013,Schleswig-Holstein,Direct migration background,Sometimes,0.44404,39,39,0.28606,0.60202
2013,Hamburg,No migration background,Sometimes,0.28710,89,308,0.23649,0.33771
2013,Hamburg,No migration background,Seldom,0.40438,122,308,0.34948,0.45928
2013,Hamburg,No migration background,Never,0.21575,97,308,0.16974,0.26177
2013,Lower Saxony,No migration background,Very often,0.02427,45,2131,0.01773,0.03080
2013,Lower Saxony,No migration background,Often,0.08003,164,2131,0.06850,0.09155
2013,Lower Saxony,No migration background,Sometimes,0.34450,700,2131,0.32432,0.36468
2013,Lower Saxony,No migration background,Seldom,0.40312,874,2131,0.38229,0.42395
2013,Lower Saxony,No migration background,Never,0.14808,348,2131,0.13300,0.16317
2013,Lower Saxony,Direct migration background,Often,0.19018,37,230,0.13935,0.24101
2013,Lower Saxony,Direct migration background,Sometimes,0.31019,69,230,0.25028,0.37010
2013,Lower Saxony,Direct migration background,Seldom,0.28707,69,230,0.22848,0.34567
2013,Lower Saxony,Direct migration background,Never,0.19409,55,230,0.14286,0.24531
2013,Bremen,No migration background,Sometimes,0.33297,45,100,0.24013,0.42580
2013,Bremen,No migration background,Seldom,0.40942,55,100,0.31255,0.50628
2013,North Rhine-Westphalia,No migration background,Very often,0.01703,56,3990,0.01301,0.02104
2013,North Rhine-Westphalia,No migration background,Often,0.06541,249,3990,0.05774,0.07308
2013,North Rhine-Westphalia,No migration background,Sometimes,0.36494,1345,3990,0.35000,0.37988
2013,North Rhine-Westphalia,No migration background,Seldom,0.36486,1498,3990,0.34992,0.37980
2013,North Rhine-Westphalia,No migration background,Never,0.18776,842,3990,0.17564,0.19988
2013,North Rhine-Westphalia,Direct migration background,Often,0.13142,104,769,0.10753,0.15532
2013,North Rhine-Westphalia,Direct migration background,Sometimes,0.32094,253,769,0.28792,0.35396
2013,North Rhine-Westphalia,Direct migration background,Seldom,0.32370,255,769,0.29061,0.35679
2013,North Rhine-Westphalia,Direct migration background,Never,0.20692,157,769,0.17827,0.23557
2013,North Rhine-Westphalia,Indirect migration background,Often,0.10284,41,304,0.06863,0.13704
2013,North Rhine-Westphalia,Indirect migration background,Sometimes,0.27747,84,304,0.22705,0.32788
2013,North Rhine-Westphalia,Indirect migration background,Seldom,0.36383,110,304,0.30966,0.41801
2013,North Rhine-Westphalia,Indirect migration background,Never,0.24254,69,304,0.19428,0.29080
2013,Hesse,No migration background,Often,0.09345,103,1333,0.07782,0.10908
2013,Hesse,No migration background,Sometimes,0.35287,483,1333,0.32721,0.37854
2013,Hesse,No migration background,Seldom,0.40323,573,1333,0.37689,0.42958
2013,Hesse,No migration background,Never,0.13000,174,1333,0.11194,0.14806
2013,Hesse,Direct migration background,Sometimes,0.34156,112,245,0.28206,0.40107
2013,Hesse,Direct migration background,Seldom,0.27104,75,245,0.21527,0.32682
2013,Hesse,Direct migration background,Never,0.26254,58,245,0.20733,0.31775
2013,Hesse,Indirect migration background,Seldom,0.37189,48,48,0.23372,0.51007
2013,"Rhineland-Palatinate, Saarland",No migration background,Often,0.06672,84,1138,0.05222,0.08123
2013,"Rhineland-Palatinate, Saarland",No migration background,Sometimes,0.31755,339,1138,0.29049,0.34460
2013,"Rhineland-Palatinate, Saarland",No migration background,Seldom,0.38001,421,1138,0.35179,0.40822
2013,"Rhineland-Palatinate, Saarland",No migration background,Never,0.21537,294,1138,0.19147,0.23926
2013,"Rhineland-Palatinate, Saarland",Direct migration background,Sometimes,0.35052,60,160,0.27636,0.42469
2013,"Rhineland-Palatinate, Saarland",Direct migration background,Seldom,0.21660,52,160,0.15257,0.28063
2013,"Rhineland-Palatinate, Saarland",Direct migration background,Never,0.33532,48,160,0.26194,0.40871
2013,Baden-Wuerttemberg,No migration background,Very often,0.01953,33,2350,0.01393,0.02513
2013,Baden-Wuerttemberg,No migration background,Often,0.07087,152,2350,0.06049,0.08125
2013,Baden-Wuerttemberg,No migration background,Sometimes,0.32483,747,2350,0.30589,0.34377
2013,Baden-Wuerttemberg,No migration background,Seldom,0.41612,980,2350,0.39619,0.43606
2013,Baden-Wuerttemberg,No migration background,Never,0.16865,438,2350,0.15351,0.18379
2013,Baden-Wuerttemberg,Direct migration background,Often,0.12665,56,440,0.09554,0.15776
2013,Baden-Wuerttemberg,Direct migration background,Sometimes,0.32792,148,440,0.28400,0.37183
2013,Baden-Wuerttemberg,Direct migration background,Seldom,0.35123,153,440,0.30658,0.39589
2013,Baden-Wuerttemberg,Direct migration background,Never,0.17338,83,440,0.13796,0.20879
2013,Baden-Wuerttemberg,Indirect migration background,Sometimes,0.31412,57,181,0.24631,0.38193
2013,Baden-Wuerttemberg,Indirect migration background,Seldom,0.42910,82,181,0.35680,0.50141
2013,Baden-Wuerttemberg,Indirect migration background,Never,0.20753,42,181,0.14829,0.26678
