"e11102","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","17-34","kein Migrationshintergrund","961","0.304298176577523","0.288119659555107","0.32047669359994"
"nicht erwerbstätig","1984","17-34","direkter Migrationshintergrund","476","0.352985562470777","0.327826066701436","0.378145058240117"
"nicht erwerbstätig","1984","17-34","indirekter Migrationshintergrund","49","0.441544890732236","0.345177617325457","0.537912164139015"
"nicht erwerbstätig","1984","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","35-65","kein Migrationshintergrund","1464","","",""
"nicht erwerbstätig","1984","35-65","direkter Migrationshintergrund","489","0.292878627513383","0.272669645516219","0.313087609510546"
"nicht erwerbstätig","1984","35-65","indirekter Migrationshintergrund","5","0.0752324525777629","-0.037580078719149","0.188044983874675"
"nicht erwerbstätig","1984","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","66 +","kein Migrationshintergrund","1168","","",""
"nicht erwerbstätig","1984","66 +","direkter Migrationshintergrund","33","0.992145786634631","0.962900683144222","1.02139089012504"
"nicht erwerbstätig","1984","66 +","indirekter Migrationshintergrund","2","","",""
"nicht erwerbstätig","1984","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"erwerbstätig","1984","17-34","kein Migrationshintergrund","2146","","",""
"erwerbstätig","1984","17-34","direkter Migrationshintergrund","910","0.647014437529223","0.621854941759883","0.672173933298564"
"erwerbstätig","1984","17-34","indirekter Migrationshintergrund","53","0.558455109267764","0.462087835860985","0.654822382674543"
"erwerbstätig","1984","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"erwerbstätig","1984","35-65","kein Migrationshintergrund","2869","","",""
"erwerbstätig","1984","35-65","direkter Migrationshintergrund","1459","","",""
"erwerbstätig","1984","35-65","indirekter Migrationshintergrund","16","","",""
"erwerbstätig","1984","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"erwerbstätig","1984","66 +","kein Migrationshintergrund","61","0.0459087738591468","0.0342079902565218","0.0576095574617718"
"erwerbstätig","1984","66 +","direkter Migrationshintergrund","2","","",""
"erwerbstätig","1984","66 +","indirekter Migrationshintergrund","1","","",""
"erwerbstätig","1984","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","17-34","kein Migrationshintergrund","891","0.296741837484856","0.280121257733655","0.313362417236057"
"nicht erwerbstätig","1985","17-34","direkter Migrationshintergrund","403","0.329354113822587","0.302143774296808","0.356564453348366"
"nicht erwerbstätig","1985","17-34","indirekter Migrationshintergrund","60","0.405575290666483","0.317725316303129","0.493425265029837"
"nicht erwerbstätig","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","35-65","kein Migrationshintergrund","1344","","",""
"nicht erwerbstätig","1985","35-65","direkter Migrationshintergrund","451","0.320100661359083","0.298072865279853","0.342128457438313"
"nicht erwerbstätig","1985","35-65","indirekter Migrationshintergrund","7","0.321534861702031","0.105765567655355","0.537304155748707"
"nicht erwerbstätig","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1985","66 +","kein Migrationshintergrund","1023","","",""
