"e11102","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","(noch) kein Abschluss","Westdeutschland","575","0.641835430489626","0.61557954431887","0.668091316660382"
"nicht erwerbstätig","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Hauptschule","Westdeutschland","2861","0.465353935902577","0.453871502799369","0.476836369005784"
"nicht erwerbstätig","1984","Hauptschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Realschule","Westdeutschland","649","0.374304687358798","0.352457954540162","0.396151420177434"
"nicht erwerbstätig","1984","Realschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","(Fach-)Abitur","Westdeutschland","363","0.467121253104746","0.433930489681561","0.500312016527932"
"nicht erwerbstätig","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","AkademikerIn","Westdeutschland","160","0.228485289840714","0.199207669595919","0.257762910085508"
"nicht erwerbstätig","1984","AkademikerIn","Ostdeutschland","","","",""
"erwerbstätig","1984","(noch) kein Abschluss","Westdeutschland","706","0.358164569510374","0.331908683339619","0.38442045568113"
"erwerbstätig","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"erwerbstätig","1984","Hauptschule","Westdeutschland","4388","0.534646064097423","0.523163630994216","0.546128497200631"
"erwerbstätig","1984","Hauptschule","Ostdeutschland","","","",""
"erwerbstätig","1984","Realschule","Westdeutschland","1236","0.625695312641202","0.603848579822566","0.647542045459838"
"erwerbstätig","1984","Realschule","Ostdeutschland","","","",""
"erwerbstätig","1984","(Fach-)Abitur","Westdeutschland","505","0.532878746895254","0.499687983472068","0.566069510318439"
"erwerbstätig","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"erwerbstätig","1984","AkademikerIn","Westdeutschland","630","0.771514710159286","0.742237089914492","0.800792330404081"
"erwerbstätig","1984","AkademikerIn","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","(noch) kein Abschluss","Westdeutschland","539","0.695522689225165","0.668165817277987","0.722879561172343"
"nicht erwerbstätig","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Hauptschule","Westdeutschland","2523","0.465702216081196","0.453520252967003","0.477884179195388"
"nicht erwerbstätig","1985","Hauptschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Realschule","Westdeutschland","627","0.37953662617137","0.357211460125017","0.401861792217724"
"nicht erwerbstätig","1985","Realschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","(Fach-)Abitur","Westdeutschland","318","0.432682164187635","0.398067634096343","0.467296694278926"
"nicht erwerbstätig","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","AkademikerIn","Westdeutschland","150","0.226701727935072","0.196835831810593","0.25656762405955"
"nicht erwerbstätig","1985","AkademikerIn","Ostdeutschland","","","",""
"erwerbstätig","1985","(noch) kein Abschluss","Westdeutschland","548","0.304477310774835","0.277120438827657","0.331834182722013"
"erwerbstätig","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"erwerbstätig","1985","Hauptschule","Westdeutschland","3918","0.534297783918804","0.522115820804612","0.546479747032997"
"erwerbstätig","1985","Hauptschule","Ostdeutschland","","","",""
"erwerbstätig","1985","Realschule","Westdeutschland","1188","0.620463373828629","0.598138207782276","0.642788539874983"
"erwerbstätig","1985","Realschule","Ostdeutschland","","","",""
"erwerbstätig","1985","(Fach-)Abitur","Westdeutschland","469","0.567317835812365","0.532703305721074","0.601932365903657"
"erwerbstätig","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"erwerbstätig","1985","AkademikerIn","Westdeutschland","605","0.773298272064929","0.74343237594045","0.803164168189408"
"erwerbstätig","1985","AkademikerIn","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","(noch) kein Abschluss","Westdeutschland","521","0.663022338325735","0.634127772688539","0.691916903962931"
"nicht erwerbstätig","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Hauptschule","Westdeutschland","2308","0.461185526500204","0.448665740490739","0.47370531250967"
"nicht erwerbstätig","1986","Hauptschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Realschule","Westdeutschland","588","0.370610661114878","0.348123487265345","0.393097834964412"
"nicht erwerbstätig","1986","Realschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","(Fach-)Abitur","Westdeutschland","317","0.417932980719648","0.383924891686389","0.451941069752907"
"nicht erwerbstätig","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","AkademikerIn","Westdeutschland","144","0.224583649506677","0.194697929261636","0.254469369751718"
"nicht erwerbstätig","1986","AkademikerIn","Ostdeutschland","","","",""
"erwerbstätig","1986","(noch) kein Abschluss","Westdeutschland","507","0.336977661674265","0.308083096037069","0.36587222731146"
"erwerbstätig","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"erwerbstätig","1986","Hauptschule","Westdeutschland","3782","0.538814473499796","0.52629468749033","0.551334259509262"
"erwerbstätig","1986","Hauptschule","Ostdeutschland","","","",""
"erwerbstätig","1986","Realschule","Westdeutschland","1184","0.629389338885122","0.606902165035588","0.651876512734655"
"erwerbstätig","1986","Realschule","Ostdeutschland","","","",""
"erwerbstätig","1986","(Fach-)Abitur","Westdeutschland","491","0.582067019280352","0.548058930247093","0.616075108313611"
"erwerbstätig","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"erwerbstätig","1986","AkademikerIn","Westdeutschland","605","0.775416350493323","0.745530630248282","0.805302070738364"
"erwerbstätig","1986","AkademikerIn","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","(noch) kein Abschluss","Westdeutschland","485","0.605601171770003","0.575355809836276","0.63584653370373"
"nicht erwerbstätig","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Hauptschule","Westdeutschland","2258","0.452913919366563","0.440335390699495","0.46549244803363"
"nicht erwerbstätig","1987","Hauptschule","Ostdeutschland","","","",""
