"e11102","year","bula_h","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","Schleswig-Holstein","kein Migrationshintergrund","134","","",""
"nicht erwerbstätig","1984","Schleswig-Holstein","direkter Migrationshintergrund","13","","",""
"nicht erwerbstätig","1984","Schleswig-Holstein","indirekter Migrationshintergrund","3","","",""
"nicht erwerbstätig","1984","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Hamburg","kein Migrationshintergrund","98","0.49757860130187","0.431509003629792","0.563648198973948"
"nicht erwerbstätig","1984","Hamburg","direkter Migrationshintergrund","22","","",""
"nicht erwerbstätig","1984","Hamburg","indirekter Migrationshintergrund","1","","",""
"nicht erwerbstätig","1984","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Niedersachsen","kein Migrationshintergrund","458","0.483025205596273","0.452463157783171","0.513587253409374"
"nicht erwerbstätig","1984","Niedersachsen","direkter Migrationshintergrund","77","0.419136269549748","0.35075331753379","0.487519221565705"
"nicht erwerbstätig","1984","Niedersachsen","indirekter Migrationshintergrund","3","","",""
"nicht erwerbstätig","1984","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Bremen","kein Migrationshintergrund","62","0.679009875697576","0.586578602760219","0.771441148634933"
"nicht erwerbstätig","1984","Bremen","direkter Migrationshintergrund","9","0.364235239532151","0.202483917455718","0.525986561608585"
"nicht erwerbstätig","1984","Bremen","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Nordrhein-Westfalen","kein Migrationshintergrund","975","0.464237474623688","0.443707964090081","0.484766985157294"
"nicht erwerbstätig","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","328","0.389074966567227","0.35805612390952","0.420093809224934"
"nicht erwerbstätig","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","19","","",""
"nicht erwerbstätig","1984","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Hessen","kein Migrationshintergrund","304","0.42806810702786","0.393005357682853","0.463130856372867"
"nicht erwerbstätig","1984","Hessen","direkter Migrationshintergrund","149","","",""
"nicht erwerbstätig","1984","Hessen","indirekter Migrationshintergrund","7","0.462215836491296","0.180128309688579","0.744303363294012"
"nicht erwerbstätig","1984","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","322","0.485967757010845","0.448836266766446","0.523099247255244"
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","39","0.315556460553519","0.241184400071753","0.389928521035285"
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","3","","",""
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Baden-Wuerttemberg","kein Migrationshintergrund","529","0.42565781919268","0.399253197024017","0.452062441361343"
"nicht erwerbstätig","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","220","","",""
"nicht erwerbstätig","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","10","","",""
"nicht erwerbstätig","1984","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Bayern","kein Migrationshintergrund","606","0.406158386746656","0.382228433023198","0.430088340470115"
"nicht erwerbstätig","1984","Bayern","direkter Migrationshintergrund","117","","",""
"nicht erwerbstätig","1984","Bayern","indirekter Migrationshintergrund","9","0.397827184611536","0.213209198169383","0.582445171053689"
"nicht erwerbstätig","1984","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Saarland","kein Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","Saarland","direkter Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","Saarland","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Berlin","kein Migrationshintergrund","105","","",""
"nicht erwerbstätig","1984","Berlin","direkter Migrationshintergrund","24","","",""
"nicht erwerbstätig","1984","Berlin","indirekter Migrationshintergrund","1","","",""
"nicht erwerbstätig","1984","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Brandenburg","kein Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
