"e11102","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","Westdeutschland","4647","0.438619107547942","0.429800856228182","0.447437358867701"
"nicht erwerbstätig","1984","Ostdeutschland","","","",""
"erwerbstätig","1984","Westdeutschland","7517","0.561380892452058","0.552562641132299","0.570199143771818"
"erwerbstätig","1984","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Westdeutschland","4218","0.438353182625268","0.429091650657527","0.447614714593008"
"nicht erwerbstätig","1985","Ostdeutschland","","","",""
"erwerbstätig","1985","Westdeutschland","6808","0.561646817374732","0.552385285406992","0.570908349342473"
"erwerbstätig","1985","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Westdeutschland","3925","0.428920813996822","0.419491493017329","0.438350134976316"
"nicht erwerbstätig","1986","Ostdeutschland","","","",""
"erwerbstätig","1986","Westdeutschland","6658","0.571079186003178","0.561649865023685","0.580508506982671"
"erwerbstätig","1986","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Westdeutschland","3772","0.414240997122565","0.404797466001732","0.423684528243398"
"nicht erwerbstätig","1987","Ostdeutschland","","","",""
"erwerbstätig","1987","Westdeutschland","6680","0.585759002877435","0.576315471756602","0.595202533998268"
"erwerbstätig","1987","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","Westdeutschland","3545","0.409463121609797","0.399810808079646","0.419115435139949"
"nicht erwerbstätig","1988","Ostdeutschland","","","",""
"erwerbstätig","1988","Westdeutschland","6425","0.590536878390203","0.580884564860051","0.600189191920354"
"erwerbstätig","1988","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","Westdeutschland","3415","0.409018731336427","0.399215414677345","0.41882204799551"
"nicht erwerbstätig","1989","Ostdeutschland","","","",""
"erwerbstätig","1989","Westdeutschland","6247","0.590981268663573","0.58117795200449","0.600784585322655"
"erwerbstätig","1989","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","Westdeutschland","3312","0.394650369905664","0.384801441792536","0.404499298018792"
"nicht erwerbstätig","1990","Ostdeutschland","","","",""
"erwerbstätig","1990","Westdeutschland","6149","0.605349630094336","0.595500701981208","0.615198558207464"
"erwerbstätig","1990","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","Westdeutschland","3240","0.39275773430146","0.382889423804742","0.402626044798179"
"nicht erwerbstätig","1991","Ostdeutschland","","","",""
"erwerbstätig","1991","Westdeutschland","6168","0.60724226569854","0.597373955201821","0.617110576195259"
"erwerbstätig","1991","Ostdeutschland","","","",""
"nicht erwerbstätig","1992","Westdeutschland","3202","0.39225602676609","0.382354098043888","0.402157955488292"
"nicht erwerbstätig","1992","Ostdeutschland","1033","0.319998343354606","0.305498819075691","0.334497867633522"
"erwerbstätig","1992","Westdeutschland","6138","0.60774397323391","0.597842044511708","0.617645901956112"
