year,sampreg,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,Westdeutschland,maennlich,2.3524753211190705,2.312517125473948,2.3924335167641932,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,2232.0
1984,Westdeutschland,weiblich,4.444892689924965,4.406265113909959,4.48352026593997,2.0,4.0,6.0,1.0,12.0,4.0,4.0,4.0,5269.0
1985,Westdeutschland,maennlich,0.7523372175284881,0.736807707851677,0.7678667272052992,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,5262.0
1985,Westdeutschland,weiblich,2.8494849355902296,2.8223583876668323,2.876611483513627,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0,5495.0
1986,Westdeutschland,maennlich,0.7694043859131902,0.7540097514664481,0.7847990203599322,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,5089.0
1986,Westdeutschland,weiblich,2.79512277257196,2.768019465196979,2.8222260799469407,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0,5230.0
1987,Westdeutschland,maennlich,0.8374349142345285,0.821152236795476,0.8537175916735811,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,5059.0
1987,Westdeutschland,weiblich,2.78846638802001,2.762380336959762,2.814552439080258,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0,5155.0
1988,Westdeutschland,maennlich,0.8628262954065113,0.8468694390301614,0.8787831517828613,0.0,0.0,1.0,0.0,2.5,0.0,-1.0,0.0,4799.0
1988,Westdeutschland,weiblich,2.7960339812135233,2.769599158509073,2.8224688039179737,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0,4904.0
1989,Westdeutschland,maennlich,0.9139633677543878,0.8970640742904422,0.9308626612183334,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0,4658.0
1989,Westdeutschland,weiblich,2.804726937767266,2.7776668504743225,2.8317870250602097,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0,4764.0
1990,Westdeutschland,-1,,,,,,,,,,,,
1990,Westdeutschland,maennlich,0.259051287191607,0.24890047509411922,0.26920209928909483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4570.0
1990,Westdeutschland,weiblich,1.4227479932303984,1.396594367985254,1.4489016184755428,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0,4720.0
1990,Ostdeutschland,maennlich,0.9274605482920587,0.9016754216782459,0.9532456749058715,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0,2070.0
1990,Ostdeutschland,weiblich,2.794479375493303,2.7545783922113998,2.8343803587752063,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0,2284.0
1991,Westdeutschland,maennlich,,,,,,,,,,,,
1991,Westdeutschland,weiblich,,,,,,,,,,,,
1991,Ostdeutschland,maennlich,,,,,,,,,,,,
1991,Ostdeutschland,weiblich,,,,,,,,,,,,
1992,Westdeutschland,maennlich,0.7131927302259891,0.698021585122711,0.7283638753292672,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,4492.0
1992,Westdeutschland,weiblich,2.233887571917879,2.2100028231394724,2.2577723206962856,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,4682.0
1992,Ostdeutschland,maennlich,0.9212278228583779,0.8960163814054548,0.946439264311301,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0,1854.0
1992,Ostdeutschland,weiblich,2.9077769461611505,2.8680233050261443,2.9475305872961566,2.0,3.0,4.0,0.0,7.0,3.0,3.0,3.0,2043.0
1993,Westdeutschland,maennlich,0.5730387762732904,0.5590958167278246,0.5869817358187561,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,4476.0
1993,Westdeutschland,weiblich,1.936573696440714,1.9136647894018217,1.9594826034796065,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,4635.0
1993,Ostdeutschland,maennlich,0.73721363091021,0.7141670097628687,0.7602602520575512,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,1781.0
1993,Ostdeutschland,weiblich,2.5518239958764872,2.514193551141168,2.5894544406118065,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0,1973.0
1994,Westdeutschland,maennlich,,,,,,,,,,,,
1994,Westdeutschland,weiblich,,,,,,,,,,,,
1994,Ostdeutschland,maennlich,,,,,,,,,,,,
1994,Ostdeutschland,weiblich,,,,,,,,,,,,
1995,Westdeutschland,maennlich,0.6067462836630194,0.5931462334855859,0.6203463338404529,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,4585.0
1995,Westdeutschland,weiblich,1.8751128148780893,1.8532456881304236,1.8969799416257551,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,4855.0
1995,Ostdeutschland,maennlich,0.8096852731133901,0.7847707270554779,0.8345998191713023,0.0,0.0,1.0,0.0,2.5,0.0,-1.0,0.0,1712.0
1995,Ostdeutschland,weiblich,2.4478435521003044,2.4091605494233796,2.486526554777229,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,1905.0
1996,Westdeutschland,maennlich,,,,,,,,,,,,
1996,Westdeutschland,weiblich,,,,,,,,,,,,
1996,Ostdeutschland,maennlich,,,,,,,,,,,,
1996,Ostdeutschland,weiblich,,,,,,,,,,,,
1997,Westdeutschland,maennlich,0.662648151556983,0.6486125614143609,0.6766837416996051,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,4373.0
1997,Westdeutschland,weiblich,1.8531121369848715,1.8304592768854357,1.8757649970843073,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,4656.0
1997,Ostdeutschland,maennlich,0.8018623237806769,0.7770700980581188,0.826654549503235,0.0,0.0,1.0,0.0,2.5,0.0,-1.0,0.0,1694.0
1997,Ostdeutschland,weiblich,2.3272611343144076,2.2881566667799746,2.3663656018488406,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,1857.0
1998,Westdeutschland,maennlich,,,,,,,,,,,,
1998,Westdeutschland,weiblich,,,,,,,,,,,,
1998,Ostdeutschland,maennlich,,,,,,,,,,,,
1998,Ostdeutschland,weiblich,,,,,,,,,,,,
1999,Westdeutschland,maennlich,0.6402793721395481,0.6270144459347535,0.6535442983443427,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,4712.0
1999,Westdeutschland,weiblich,1.7936974002237849,1.7728731712488073,1.8145216291987625,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,5028.0
1999,Ostdeutschland,maennlich,0.8129093499610116,0.7893871695072526,0.8364315304147706,0.0,0.0,1.0,0.0,2.5,0.0,-1.0,0.0,1783.0
1999,Ostdeutschland,weiblich,2.1022560735118714,2.066830058574711,2.137682088449032,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,1922.0
2000,Westdeutschland,maennlich,,,,,,,,,,,,
2000,Westdeutschland,weiblich,,,,,,,,,,,,
2000,Ostdeutschland,maennlich,,,,,,,,,,,,
2000,Ostdeutschland,weiblich,,,,,,,,,,,,
2001,Westdeutschland,maennlich,0.6354240924156802,0.6250037137968855,0.645844471034475,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,7798.0
2001,Westdeutschland,weiblich,1.7900699095423518,1.7743508073259184,1.8057890117587851,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,8464.0
2001,Ostdeutschland,maennlich,0.8367287539047096,0.8177730780969015,0.8556844297125177,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0,2578.0
2001,Ostdeutschland,weiblich,2.0526133659546066,2.0245444562273196,2.0806822756818937,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,2767.0
2002,Westdeutschland,maennlich,,,,,,,,,,,,
2002,Westdeutschland,weiblich,,,,,,,,,,,,
2002,Ostdeutschland,maennlich,,,,,,,,,,,,
2002,Ostdeutschland,weiblich,,,,,,,,,,,,
2003,Westdeutschland,maennlich,0.6594055375693558,0.6494260500687856,0.669385025069926,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,7953.0
2003,Westdeutschland,weiblich,1.643673051372704,1.6294063708292723,1.6579397319161358,1.0,1.0,2.0,0.0,3.5,1.0,0.0,1.0,8611.0
2003,Ostdeutschland,maennlich,0.7844325430638652,0.7662451083677847,0.8026199777599458,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0,2544.0
2003,Ostdeutschland,weiblich,1.9288774668083764,1.9006757250533344,1.9570792085634183,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,2701.0
2004,Westdeutschland,maennlich,,,,,,,,,,,,
2004,Westdeutschland,weiblich,,,,,,,,,,,,
2004,Ostdeutschland,maennlich,,,,,,,,,,,,
2004,Ostdeutschland,weiblich,,,,,,,,,,,,
2005,Westdeutschland,maennlich,0.6910839914335746,0.6805435532226733,0.7016244296444758,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,7345.0
2005,Westdeutschland,weiblich,1.6214179956398527,1.6065952808078003,1.636240710471905,1.0,1.0,2.0,0.0,3.5,1.0,0.9749999999999943,1.0,8045.0
2005,Ostdeutschland,maennlich,0.8264636914748968,0.8079970341487241,0.8449303488010695,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0,2382.0
2005,Ostdeutschland,weiblich,1.8288974190514828,1.8007192621379997,1.857075575964966,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0,2574.0
2006,Westdeutschland,maennlich,,,,,,,,,,,,
2006,Westdeutschland,weiblich,,,,,,,,,,,,
2006,Ostdeutschland,maennlich,,,,,,,,,,,,
2006,Ostdeutschland,weiblich,,,,,,,,,,,,
2007,Westdeutschland,maennlich,0.6941228969289088,0.6839944036095582,0.7042513902482594,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,7357.0
2007,Westdeutschland,weiblich,1.5824163166460485,1.5679983145708325,1.5968343187212646,1.0,1.0,2.0,0.0,3.5,1.0,1.0,1.0,8136.0
