year,migback,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,male,2927,12.45477,12.06825,12.84129,3.58300,9.91700,19.21416,0.0,42.66091,,,
1984,No migration background,female,1854,8.53489,8.14210,8.92769,2.41700,5.50000,12.16700,0.0,26.79200,,,
1984,Direct migration background,male,1473,8.98879,8.58366,9.39392,2.91700,6.75000,13.25000,0.0,28.74950,,,
1984,Direct migration background,female,762,7.25902,6.82300,7.69503,2.31432,5.58300,11.19055,0.0,24.50490,,,
1984,Indirect migration background,male,33,4.26659,1.89146,6.64173,0.25000,1.50878,3.98992,0.0,9.59980,,,
1984,Indirect migration background,female,31,4.97636,3.30324,6.64948,1.48726,4.41423,6.22346,0.083,13.32777,,,
1985,No migration background,male,2666,12.50595,12.09710,12.91481,3.50000,9.91700,19.55552,0.0,43.63881,,,
1985,No migration background,female,1788,8.55980,8.14798,8.97161,2.00000,5.50000,12.58300,0.0,28.45750,,,
1985,Direct migration background,male,1255,9.19153,8.74366,9.63939,2.75000,6.91700,13.75000,0.0,30.25000,,,
1985,Direct migration background,female,659,7.28864,6.81329,7.76398,2.33300,5.58300,11.75000,0.0,25.87550,,,
1985,Indirect migration background,male,33,3.83867,1.92771,5.74962,0.98956,1.56726,3.91383,0.167,8.30025,,,
1985,Indirect migration background,female,,,,,,,,,,,,
1986,No migration background,male,2524,12.34248,11.92641,12.75855,2.83300,9.75000,19.41700,0.0,44.29300,,,
1986,No migration background,female,1678,8.70394,8.27825,9.12963,2.00000,5.83300,12.83300,0.0,29.08250,,,
1986,Direct migration background,male,1208,9.67610,9.21827,10.13394,2.83300,7.75000,14.50000,0.0,32.00050,,,
1986,Direct migration background,female,594,7.63770,7.10581,8.16960,2.08300,6.00000,12.50000,0.0,28.12550,,,
1986,Indirect migration background,male,39,4.41923,2.31723,6.52124,0.90841,2.17185,4.11482,0.083,8.92443,,,
1986,Indirect migration background,female,37,7.58455,4.98413,10.18497,1.84383,3.85693,12.36750,0.0,22.833,,,
1987,No migration background,male,2524,12.28872,11.87086,12.70659,2.75000,9.41700,19.16700,0.0,43.79250,,,
1987,No migration background,female,1695,8.63728,8.21149,9.06308,1.75000,5.91700,12.83300,0.0,29.45750,,,
1987,Direct migration background,male,1182,10.04824,9.57294,10.52353,2.83300,8.16700,15.08112,0.0,33.45330,,,
1987,Direct migration background,female,615,7.95798,7.41161,8.50434,2.16700,5.83300,13.16700,0.0,29.66700,,,
1987,Indirect migration background,male,46,4.21825,2.42368,6.01282,1.00000,2.50000,4.63555,0.0,10.08887,,,
1987,Indirect migration background,female,38,8.07783,5.24017,10.91549,1.50000,3.23928,14.31352,0.167,23.75,,,
1988,No migration background,male,2418,12.41749,11.98617,12.84881,2.66700,9.58300,19.58300,0.0,44.95700,,,
1988,No migration background,female,1663,8.53445,8.10869,8.96022,1.66700,5.83300,12.73050,0.0,29.32576,,,
1988,Direct migration background,male,1108,10.07423,9.59455,10.55391,3.09562,8.41700,15.58300,0.0,34.31407,,,
1988,Direct migration background,female,608,7.91364,7.34391,8.48337,2.16700,5.58300,12.61942,0.0,28.29805,,,
1988,Indirect migration background,male,64,3.74473,2.24330,5.24616,0.58300,1.97262,3.58300,0.083,8.08300,,,
1988,Indirect migration background,female,51,6.30806,3.96960,8.64653,0.83300,2.62791,6.13429,0.0,14.08621,,,
1989,No migration background,male,2344,12.29124,11.85237,12.73010,2.83300,9.50000,19.58300,0.0,44.70800,,,
1989,No migration background,female,1628,8.47333,8.04413,8.90253,1.66700,5.50000,12.50000,0.0,28.74950,,,
1989,Direct migration background,male,1070,10.47152,9.97783,10.96521,3.50000,8.75000,16.46720,0.0,35.91800,,,
1989,Direct migration background,female,587,8.27658,7.68101,8.87215,2.16700,5.83300,13.41700,0.0,30.29200,,,
1989,Indirect migration background,male,69,4.42525,2.86096,5.98954,1.35640,1.66700,3.75000,0.0,7.34040,,,
1989,Indirect migration background,female,62,6.26565,4.19487,8.33644,1.08300,2.31211,6.03489,0.0,13.46272,,,
