year,quintil_oecd_hh,rentown,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Owner,No,0.97975,387,387,0.96570,0.99380
2001,1st Quintile,Tenant,No,0.99476,1829,1829,0.99145,0.99807
2001,2nd Quintile,Owner,No,0.98872,900,900,0.98182,0.99563
2001,2nd Quintile,Tenant,No,0.99798,1543,1543,0.99575,1.00022
2001,3rd Quintile,Owner,No,0.98491,1149,1149,0.97785,0.99196
2001,3rd Quintile,Tenant,No,0.99166,1257,1257,0.98664,0.99669
2001,4th Quintile,Owner,No,0.98012,1304,1304,0.97254,0.98770
2001,4th Quintile,Tenant,No,0.99263,1030,1030,0.98740,0.99786
2001,5th Quintile,Owner,Yes,0.02319,32,1461,0.01547,0.03091
2001,5th Quintile,Owner,No,0.97681,1429,1461,0.96909,0.98453
2001,5th Quintile,Tenant,No,0.99448,715,715,0.98905,0.99992
2006,1st Quintile,Owner,No,0.98787,348,348,0.97635,0.99939
2006,1st Quintile,Tenant,No,0.99787,1737,1737,0.99570,1.00004
2006,2nd Quintile,Owner,No,0.98238,790,790,0.97320,0.99156
2006,2nd Quintile,Tenant,No,0.99274,1411,1411,0.98831,0.99717
2006,3rd Quintile,Owner,No,0.98364,1177,1177,0.97639,0.99089
2006,3rd Quintile,Tenant,No,0.99528,1187,1187,0.99137,0.99918
2006,4th Quintile,Owner,Yes,0.01719,31,1485,0.01058,0.02381
2006,4th Quintile,Owner,No,0.98281,1454,1485,0.97619,0.98942
2006,4th Quintile,Tenant,No,0.99372,1000,1000,0.98882,0.99862
2006,5th Quintile,Owner,Yes,0.02928,53,2167,0.02218,0.03637
2006,5th Quintile,Owner,No,0.97072,2114,2167,0.96363,0.97782
2006,5th Quintile,Tenant,No,0.99432,885,885,0.98936,0.99927
2011,1st Quintile,Owner,No,0.99503,379,379,0.98794,1.00212
2011,1st Quintile,Tenant,No,0.99860,1867,1867,0.99690,1.00029
2011,2nd Quintile,Owner,No,0.98963,854,854,0.98283,0.99643
2011,2nd Quintile,Tenant,No,0.99846,1373,1373,0.99639,1.00054
2011,3rd Quintile,Owner,No,0.98606,1215,1215,0.97946,0.99265
2011,3rd Quintile,Tenant,No,0.98781,1131,1131,0.98141,0.99421
2011,4th Quintile,Owner,No,0.98019,1443,1443,0.97300,0.98738
2011,4th Quintile,Tenant,No,0.99270,960,960,0.98731,0.99809
2011,5th Quintile,Owner,Yes,0.01844,37,1998,0.01254,0.02434
2011,5th Quintile,Owner,No,0.98156,1961,1998,0.97566,0.98746
2011,5th Quintile,Tenant,No,0.98263,764,764,0.97336,0.99190
2016,1st Quintile,Owner,No,0.99289,388,388,0.98452,1.00126
2016,1st Quintile,Tenant,No,0.99903,2693,2693,0.99785,1.00021
2016,2nd Quintile,Owner,No,0.98766,1010,1010,0.98085,0.99447
2016,2nd Quintile,Tenant,No,0.99867,2007,2007,0.99708,1.00027
2016,3rd Quintile,Owner,No,0.98341,1316,1316,0.97651,0.99031
2016,3rd Quintile,Tenant,No,0.99461,1395,1395,0.99076,0.99845
2016,4th Quintile,Owner,No,0.98702,1536,1536,0.98136,0.99268
2016,4th Quintile,Tenant,No,0.98706,1092,1092,0.98036,0.99377
2016,5th Quintile,Owner,Yes,0.02723,46,1978,0.02005,0.03440
2016,5th Quintile,Owner,No,0.97277,1932,1978,0.96560,0.97995
2016,5th Quintile,Tenant,No,0.98677,765,765,0.97867,0.99487
2021,1st Quintile,Owner,No,0.96422,260,260,0.94160,0.98684
2021,1st Quintile,Tenant,No,0.99833,1769,1769,0.99643,1.00023
2021,2nd Quintile,Owner,No,0.99162,668,668,0.98470,0.99854
2021,2nd Quintile,Tenant,No,0.99795,1497,1497,0.99565,1.00024
2021,3rd Quintile,Owner,No,0.97946,906,906,0.97022,0.98870
2021,3rd Quintile,Tenant,No,0.99581,1088,1088,0.99197,0.99965
2021,4th Quintile,Owner,No,0.97767,1189,1189,0.96927,0.98607
2021,4th Quintile,Tenant,No,0.98607,859,859,0.97823,0.99391
2021,5th Quintile,Owner,Yes,0.02022,46,1988,0.01403,0.02640
2021,5th Quintile,Owner,No,0.97978,1942,1988,0.97360,0.98597
2021,5th Quintile,Tenant,No,0.98301,709,709,0.97349,0.99253
