"year","hhtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Ehe-)Paar ohne Kind(er)","83.51","76.5","1345","54","64","99","120","185","81.94","85.08","20","260","72","76"
"1984","1-Pers.- Haushalt","61.83","57.5","1283","35","46","72","90","140","60.34","63.32","6","350","55","58"
"1984","Alleinerziehende","86.21","79.5","323","58","67","100","125","170","82.94","89.48","16","300","74","80"
"1984","Paar mit Kind(ern)","104.38","99.5","2617","67","80","120","150","220","103.05","105.71","16","442","88","90"
"1984","Sonstige","106.58","93","259","60","75","130","165","275","101.2","111.96","17","300","90","100"
"1985","(Ehe-)Paar ohne Kind(er)","83.97","77.5","1182","55","63","100","120","180","82.27","85.67","20","250","74","78"
"1985","1-Pers.- Haushalt","61.29","56.5","1094","35","45","70","90","150","59.54","63.04","9","564","54","56"
"1985","Alleinerziehende","88.15","79.5","289","54","65","100","128","234","84.32","91.98","20","250","75","80"
"1985","Paar mit Kind(ern)","104.8","99.5","2280","66","80","120","150","220","103.31","106.29","20","550","90","91"
"1985","Sonstige","103.92","89.5","229","60","74","120","178","240","98.36","109.48","25","250","89","100"
"1986","(Ehe-)Paar ohne Kind(er)","84.32","75.5","179","53","60","100","120","230","79.31","89.33","20","270","70","80"
"1986","1-Pers.- Haushalt","56.04","55.5","188","29","38","70","86","120","52.31","59.77","8","175","45","57"
"1986","Alleinerziehende","83.32","73.5","45","54","64","85","100","240","71.81","94.83","45","240","64","76"
"1986","Paar mit Kind(ern)","106.09","98","234","66","77","127","156","240","101.33","110.85","35","250","83","100"
"1986","Sonstige","91.37","82","35","65","70","103","150","150","81.55","101.19","40","150","75","100"
"1987","(Ehe-)Paar ohne Kind(er)","85.57","79","153","55","65","100","120","220","81.08","90.06","30","220","70","80"
"1987","1-Pers.- Haushalt","59.15","54.5","175","29","42","73","90","150","54.93","63.37","12","220","48","58"
"1987","Alleinerziehende","73.68","72","40","49","60","80","100","150","65.29","82.07","20","150","61","80"
"1987","Paar mit Kind(ern)","101","95.5","202","60","79","120","147","180","96.69","105.31","30","200","84","93"
"1987","Sonstige","","","","","","","","","","","","","",""
"1988","(Ehe-)Paar ohne Kind(er)","78.54","74.5","164","50","60","90","109","170","74.58","82.5","10","170","65","76"
"1988","1-Pers.- Haushalt","58.04","54.5","150","25","37","70","90","200","52.92","63.16","10","250","50","60"
"1988","Alleinerziehende","71.45","66","34","49","57","80","108","125","64.27","78.63","36","125","57","75"
"1988","Paar mit Kind(ern)","109.04","99","186","68","80","135","156","220","103.03","115.05","30","260","85","95"
"1988","Sonstige","","","","","","","","","","","","","",""
"1989","(Ehe-)Paar ohne Kind(er)","79.98","78.5","159","45","56","95","120","200","74.92","85.04","24","200","66","80"
"1989","1-Pers.- Haushalt","62.58","56.5","142","32","45","75","95","160","57.42","67.74","12","170","50","60"
"1989","Alleinerziehende","","","","","","","","","","","","","",""
"1989","Paar mit Kind(ern)","108.3","101","184","64","80","130","157","250","102.62","113.98","15","270","83","100"
