year,quintil_oecd,sex,plg0267_h,proportion,n,lower_confidence,upper_confidence
2014,5. Quintil,weiblich,Hochschule,0.04882394868139701,38694,0.04667670585020448,0.05097119151258953
2014,4. Quintil,weiblich,Berufliche Ausbildung,0.04240912330719886,38694,0.040401168634321506,0.04441707798007621
2014,5. Quintil,maennlich,Hochschule,0.041696364932287955,38694,0.03970461448673759,0.04368811537783832
2014,4. Quintil,maennlich,Berufliche Ausbildung,0.041339985744832504,38694,0.039356396587832465,0.04332357490183254
2014,2. Quintil,weiblich,Berufliche Ausbildung,0.040983606557377046,38694,0.03900821879001132,0.042958994324742775
2014,3. Quintil,weiblich,Berufliche Ausbildung,0.038845331432644334,38694,0.03692002299909137,0.0407706398661973
2014,3. Quintil,maennlich,Berufliche Ausbildung,0.038132573057733425,38694,0.03622430262124647,0.04004084349422038
2014,4. Quintil,weiblich,Hochschule,0.036707056307911615,38694,0.03483340734854011,0.03858070526728312
2014,4. Quintil,maennlich,Hochschule,0.036707056307911615,38694,0.03483340734854011,0.03858070526728312
2014,1. Quintil,weiblich,Hochschule,0.03599429793300071,38694,0.03413824262868519,0.03785035323731623
2014,2. Quintil,weiblich,Hochschule,0.03599429793300071,38694,0.03413824262868519,0.03785035323731623
2014,3. Quintil,maennlich,Hochschule,0.03029223093371347,38694,0.028584496541708828,0.03199996532571811
2014,5. Quintil,maennlich,Berufliche Ausbildung,0.029223093371347115,38694,0.027544841775543668,0.030901344967150562
2014,1. Quintil,weiblich,Berufliche Ausbildung,0.029223093371347115,38694,0.027544841775543668,0.030901344967150562
2014,1. Quintil,maennlich,Hochschule,0.02886671418389166,38694,0.027198421083218228,0.030535007284565093
2014,2. Quintil,maennlich,Berufliche Ausbildung,0.02851033499643621,38694,0.026852067797832696,0.030168602195039723
2014,2. Quintil,maennlich,Hochschule,0.026728439059158945,38694,0.025121356926194664,0.028335521192123226
2014,1. Quintil,maennlich,Berufliche Ausbildung,0.026372059871703494,38694,0.02477543533790266,0.02796868440550433
2014,3. Quintil,weiblich,Hochschule,0.02565930149679259,38694,0.024083824399074524,0.027234778594510654
2014,2. Quintil,maennlich,Allgemeinbildende Schule,0.022808267997148968,38694,0.021320722343963348,0.024295813650334588
2014,5. Quintil,weiblich,Allgemeinbildende Schule,0.022808267997148968,38694,0.021320722343963348,0.024295813650334588
2014,5. Quintil,weiblich,Berufliche Ausbildung,0.022808267997148968,38694,0.021320722343963348,0.024295813650334588
2014,2. Quintil,weiblich,Allgemeinbildende Schule,0.021739130434782608,38694,0.020286073327980436,0.02319218754158478
