year,bula_h,sex,plg0267_h,proportion,n,lower_confidence,upper_confidence
2014,Nordrhein-Westfalen,weiblich,Hochschule,0.041696364932287955,38694,0.03970461448673759,0.04368811537783832
2014,Nordrhein-Westfalen,maennlich,Hochschule,0.039558089807555236,38694,0.0376159188071183,0.04150026080799217
2014,Nordrhein-Westfalen,weiblich,Berufliche Ausbildung,0.0345687811831789,38694,0.03274850636673239,0.036389055999625414
2014,Nordrhein-Westfalen,maennlich,Berufliche Ausbildung,0.03349964362081254,38694,0.03170674653877493,0.03529254070285016
2014,Bayern,weiblich,Berufliche Ausbildung,0.03278688524590164,38694,0.03101251017861775,0.03456126031318553
2014,Bayern,weiblich,Hochschule,0.03278688524590164,38694,0.03101251017861775,0.03456126031318553
2014,Bayern,maennlich,Berufliche Ausbildung,0.02459016393442623,38694,0.02304701254191052,0.02613331532694194
2014,Nordrhein-Westfalen,maennlich,Allgemeinbildende Schule,0.024233784746970778,38694,0.02270157659280345,0.025765992901138107
2014,Nordrhein-Westfalen,weiblich,Allgemeinbildende Schule,0.022451888809693513,38694,0.02097574126146364,0.023928036357923385
2014,Bayern,maennlich,Hochschule,0.022451888809693513,38694,0.02097574126146364,0.023928036357923385
2014,Baden-Württemberg,weiblich,Berufliche Ausbildung,0.021026372059871703,38694,0.019596813578311924,0.022455930541431482
2014,Niedersachsen,maennlich,Berufliche Ausbildung,0.020313613684960798,38694,0.018907982483735288,0.021719244886186307
2014,Baden-Württemberg,maennlich,Berufliche Ausbildung,0.018888096935138987,38694,0.01753169740239028,0.020244496467887695
2014,Baden-Württemberg,maennlich,Hochschule,0.018531717747683536,38694,0.017187931380634645,0.019875504114732427
2014,Baden-Württemberg,weiblich,Hochschule,0.017462580185317177,38694,0.016157422412718385,0.01876773795791597
2014,Hessen,maennlich,Hochschule,0.017462580185317177,38694,0.016157422412718385,0.01876773795791597
2014,Bayern,weiblich,Allgemeinbildende Schule,0.017462580185317177,38694,0.016157422412718385,0.01876773795791597
2014,Niedersachsen,weiblich,Hochschule,0.01639344262295082,38694,0.015128181838001112,0.017658703407900527
2014,Nordrhein-Westfalen,weiblich,Weiterbildung / Umschulung,0.015680684248039915,38694,0.01444278651855556,0.01691858197752427
2014,Niedersachsen,weiblich,Berufliche Ausbildung,0.015680684248039915,38694,0.01444278651855556,0.01691858197752427
2014,Bayern,weiblich,Weiterbildung / Umschulung,0.015324305060584463,38694,0.014100333685128323,0.0165482764360406
2014,Bayern,maennlich,Allgemeinbildende Schule,0.01496792587312901,38694,0.013758051562102672,0.01617780018415535
2014,"Rheinland-Pfalz,Saarland",maennlich,Berufliche Ausbildung,0.013898788310762652,38694,0.0127322917193618,0.015065284902163504
2014,Niedersachsen,maennlich,Hochschule,0.0135424091233072,38694,0.012390756682948895,0.014694061563665504
2014,Berlin,weiblich,Hochschule,0.013186029935851747,38694,0.012049426588026014,0.01432263328367748
2014,Hessen,weiblich,Hochschule,0.012829650748396294,38694,0.011708309685888511,0.013950991810904078
2014,Baden-Württemberg,maennlich,Allgemeinbildende Schule,0.012829650748396294,38694,0.011708309685888511,0.013950991810904078
2014,Berlin,maennlich,Hochschule,0.012829650748396294,38694,0.011708309685888511,0.013950991810904078
2014,Niedersachsen,maennlich,Allgemeinbildende Schule,0.012116892373485389,38694,0.01102675140157538,0.013207033345395398
2014,Hessen,maennlich,Berufliche Ausbildung,0.011404133998574484,38694,0.01034616045264071,0.012462107544508258
2014,Baden-Württemberg,weiblich,Allgemeinbildende Schule,0.011404133998574484,38694,0.01034616045264071,0.012462107544508258
2014,Schleswig-Holstein,weiblich,Berufliche Ausbildung,0.011047754811119031,38694,0.010006255632802954,0.012089253989435108
2014,"Rheinland-Pfalz,Saarland",weiblich,Berufliche Ausbildung,0.011047754811119031,38694,0.010006255632802954,0.012089253989435108
2014,Niedersachsen,weiblich,Weiterbildung / Umschulung,0.010691375623663579,38694,0.00966662793069597,0.011716123316631187
2014,Hessen,weiblich,Berufliche Ausbildung,0.010334996436208126,38694,0.00932729116613964,0.011342701706276612
2014,Niedersachsen,weiblich,Allgemeinbildende Schule,0.009978617248752673,38694,0.008988260358698812,0.010968974138806535
2014,Sachsen,maennlich,Berufliche Ausbildung,0.00962223806129722,38694,0.008649551878963728,0.010594924243630713
2014,Nordrhein-Westfalen,maennlich,Weiterbildung / Umschulung,0.00962223806129722,38694,0.008649551878963728,0.010594924243630713
2014,Sachsen,weiblich,Berufliche Ausbildung,0.00962223806129722,38694,0.008649551878963728,0.010594924243630713
2014,Hessen,weiblich,Allgemeinbildende Schule,0.008909479686386316,38694,0.007973175231430995,0.009845784141341636
2014,Baden-Württemberg,weiblich,Weiterbildung / Umschulung,0.00819672131147541,38694,0.00729832675421016,0.00909511586874066
2014,Sachsen-Anhalt,weiblich,Hochschule,0.00819672131147541,38694,0.00729832675421016,0.00909511586874066
2014,Brandenburg,weiblich,Berufliche Ausbildung,0.00819672131147541,38694,0.00729832675421016,0.00909511586874066
2014,Sachsen,weiblich,Hochschule,0.00819672131147541,38694,0.00729832675421016,0.00909511586874066
2014,"Rheinland-Pfalz,Saarland",weiblich,Hochschule,0.007840342124019958,38694,0.006961537067986975,0.00871914718005294
2014,Brandenburg,maennlich,Berufliche Ausbildung,0.007840342124019958,38694,0.006961537067986975,0.00871914718005294
2014,Sachsen,maennlich,Hochschule,0.007483962936564505,38694,0.0066252088077439,0.00834271706538511
2014,Hessen,maennlich,Allgemeinbildende Schule,0.007483962936564505,38694,0.0066252088077439,0.00834271706538511
2014,Thüringen,weiblich,Hochschule,0.007483962936564505,38694,0.0066252088077439,0.00834271706538511
2014,Bayern,maennlich,Weiterbildung / Umschulung,0.007127583749109052,38694,0.006289375086367053,0.007965792411851053
2014,"Rheinland-Pfalz,Saarland",maennlich,Hochschule,0.007127583749109052,38694,0.006289375086367053,0.007965792411851053
2014,Thüringen,maennlich,Hochschule,0.0067712045616536,38694,0.005954073206180676,0.007588335917126524
2014,Schleswig-Holstein,weiblich,Allgemeinbildende Schule,0.0060584461867426945,38694,0.005285240020500102,0.006831652352985287
2014,"Rheinland-Pfalz,Saarland",weiblich,Allgemeinbildende Schule,0.0060584461867426945,38694,0.005285240020500102,0.006831652352985287
2014,Hessen,weiblich,Weiterbildung / Umschulung,0.005702066999287242,38694,0.004951812369756153,0.006452321628818331
2014,Schleswig-Holstein,maennlich,Hochschule,0.005702066999287242,38694,0.004951812369756153,0.006452321628818331
2014,Thüringen,weiblich,Berufliche Ausbildung,0.005345687811831789,38694,0.00461912671734483,0.006072248906318749
2014,Schleswig-Holstein,weiblich,Hochschule,0.005345687811831789,38694,0.00461912671734483,0.006072248906318749
2014,Sachsen,weiblich,Weiterbildung / Umschulung,0.005345687811831789,38694,0.00461912671734483,0.006072248906318749
2014,Hessen,maennlich,Weiterbildung / Umschulung,0.004989308624376337,38694,0.004287258184462411,0.005691359064290262
2014,Sachsen-Anhalt,maennlich,Berufliche Ausbildung,0.004632929436920884,38694,0.003956295564271445,0.005309563309570323
2014,Berlin,maennlich,Berufliche Ausbildung,0.004632929436920884,38694,0.003956295564271445,0.005309563309570323
2014,Sachsen-Anhalt,maennlich,Hochschule,0.004632929436920884,38694,0.003956295564271445,0.005309563309570323
2014,Hamburg,weiblich,Hochschule,0.004632929436920884,38694,0.003956295564271445,0.005309563309570323
2014,Thüringen,maennlich,Berufliche Ausbildung,0.0042765502494654314,38694,0.003626345084673725,0.004926755414257138
2014,Sachsen-Anhalt,maennlich,Allgemeinbildende Schule,0.0042765502494654314,38694,0.003626345084673725,0.004926755414257138
2014,Mecklenburg-Vorpommern,weiblich,Berufliche Ausbildung,0.003920171062009979,38694,0.003297535617870284,0.004542806506149674
2014,Hamburg,weiblich,Berufliche Ausbildung,0.003920171062009979,38694,0.003297535617870284,0.004542806506149674
