"plh0184","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Sehr selten","2007","(noch) kein Abschluss","kein Migrationshintergrund","33","0.0907953882442521","0.0609494111040217","0.120641365384483"
"Sehr selten","2007","(noch) kein Abschluss","direkter Migrationshintergrund","23","","",""
"Sehr selten","2007","(noch) kein Abschluss","indirekter Migrationshintergrund","6","","",""
"Sehr selten","2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr selten","2007","Hauptschule","kein Migrationshintergrund","799","0.136039119882374","0.12740396834889","0.144674271415858"
"Sehr selten","2007","Hauptschule","direkter Migrationshintergrund","127","0.117462247648867","0.0977419297220217","0.137182565575713"
"Sehr selten","2007","Hauptschule","indirekter Migrationshintergrund","22","","",""
"Sehr selten","2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr selten","2007","Realschule","kein Migrationshintergrund","417","0.0845843924148844","0.0768853442612572","0.0922834405685116"
"Sehr selten","2007","Realschule","direkter Migrationshintergrund","14","","",""
"Sehr selten","2007","Realschule","indirekter Migrationshintergrund","11","","",""
"Sehr selten","2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr selten","2007","(Fach-)Abitur","kein Migrationshintergrund","148","0.0760280850856986","0.063940736283607","0.0881154338877902"
"Sehr selten","2007","(Fach-)Abitur","direkter Migrationshintergrund","41","0.114194744063396","0.0817877004829677","0.146601787643823"
"Sehr selten","2007","(Fach-)Abitur","indirekter Migrationshintergrund","11","","",""
"Sehr selten","2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr selten","2007","AkademikerIn","kein Migrationshintergrund","351","0.0863105980357473","0.0775586203088712","0.0950625757626234"
"Sehr selten","2007","AkademikerIn","direkter Migrationshintergrund","34","0.111403351314434","0.0781065515531749","0.144700151075692"
"Sehr selten","2007","AkademikerIn","indirekter Migrationshintergrund","6","","",""
"Sehr selten","2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2007","(noch) kein Abschluss","kein Migrationshintergrund","76","0.22300894761541","0.17976829450306","0.26624960072776"
"Selten","2007","(noch) kein Abschluss","direkter Migrationshintergrund","31","0.192851525884883","0.128854481390927","0.256848570378839"
"Selten","2007","(noch) kein Abschluss","indirekter Migrationshintergrund","11","","",""
"Selten","2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2007","Hauptschule","kein Migrationshintergrund","1521","0.250599152682087","0.239683796639858","0.261514508724317"
"Selten","2007","Hauptschule","direkter Migrationshintergrund","267","0.243314980662119","0.217034088445128","0.269595872879109"
"Selten","2007","Hauptschule","indirekter Migrationshintergrund","41","0.163586484613411","0.116493290370999","0.210679678855823"
"Selten","2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2007","Realschule","kein Migrationshintergrund","939","0.186984413650278","0.176196563586904","0.197772263713652"
"Selten","2007","Realschule","direkter Migrationshintergrund","52","0.300636318905219","0.233085017869316","0.368187619941123"
"Selten","2007","Realschule","indirekter Migrationshintergrund","38","0.175168020310718","0.121402032048688","0.228934008572747"
"Selten","2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2007","(Fach-)Abitur","kein Migrationshintergrund","349","0.186761880445917","0.168988598675853","0.204535162215982"
"Selten","2007","(Fach-)Abitur","direkter Migrationshintergrund","73","0.173028030504801","0.134484556512058","0.211571504497544"
"Selten","2007","(Fach-)Abitur","indirekter Migrationshintergrund","26","","",""
"Selten","2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2007","AkademikerIn","kein Migrationshintergrund","880","0.213046111222081","0.200285064590555","0.225807157853608"
"Selten","2007","AkademikerIn","direkter Migrationshintergrund","76","0.192857243026228","0.15110361816159","0.234610867890865"
"Selten","2007","AkademikerIn","indirekter Migrationshintergrund","16","","",""
"Selten","2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2007","(noch) kein Abschluss","kein Migrationshintergrund","148","0.391349142309445","0.340651308388144","0.442046976230747"
"Manchmal","2007","(noch) kein Abschluss","direkter Migrationshintergrund","55","0.406701171178962","0.32702175924337","0.486380583114554"
"Manchmal","2007","(noch) kein Abschluss","indirekter Migrationshintergrund","21","","",""
"Manchmal","2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2007","Hauptschule","kein Migrationshintergrund","2337","0.385021116830538","0.372764703635234","0.397277530025842"
"Manchmal","2007","Hauptschule","direkter Migrationshintergrund","398","0.41643322839117","0.386239546292244","0.446626910490096"
"Manchmal","2007","Hauptschule","indirekter Migrationshintergrund","92","0.403740672573355","0.34127480703287","0.46620653811384"
"Manchmal","2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2007","Realschule","kein Migrationshintergrund","2200","0.433075474755699","0.419365799106918","0.446785150404481"
"Manchmal","2007","Realschule","direkter Migrationshintergrund","60","0.293700881741566","0.226603060995003","0.360798702488128"
"Manchmal","2007","Realschule","indirekter Migrationshintergrund","77","0.437176757386309","0.367013132036099","0.507340382736519"
"Manchmal","2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2007","(Fach-)Abitur","kein Migrationshintergrund","813","0.469181099998875","0.446421842644924","0.491940357352827"
"Manchmal","2007","(Fach-)Abitur","direkter Migrationshintergrund","151","0.370869296665992","0.321650826618478","0.420087766713507"
"Manchmal","2007","(Fach-)Abitur","indirekter Migrationshintergrund","55","0.453303307150025","0.369943735449813","0.536662878850237"
"Manchmal","2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2007","AkademikerIn","kein Migrationshintergrund","1725","0.423890075090077","0.408488889662269","0.439291260517885"
