"hlc0119_h","year","bula_h","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Schleswig-Holstein","2","69","0.715965310928121","0.625757497341378","0.806173124514864"
"Ja","1995","Schleswig-Holstein","3","72","0.812172824679476","0.730101412679535","0.894244236679418"
"Ja","1995","Schleswig-Holstein","4","44","0.948211603994536","0.885521883235805","1.01090132475327"
"Ja","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Hamburg","2","27","","",""
"Ja","1995","Hamburg","3","24","","",""
"Ja","1995","Hamburg","4","23","","",""
"Ja","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Niedersachsen","2","219","","",""
"Ja","1995","Niedersachsen","3","164","","",""
"Ja","1995","Niedersachsen","4","143","","",""
"Ja","1995","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Bremen","2","10","","",""
"Ja","1995","Bremen","3","7","1","1","1"
"Ja","1995","Bremen","4","14","","",""
"Ja","1995","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Nordrhein-Westfalen","2","573","0.685902487174272","0.655059821783298","0.716745152565245"
"Ja","1995","Nordrhein-Westfalen","3","423","0.723786787718455","0.687461074620844","0.760112500816067"
"Ja","1995","Nordrhein-Westfalen","4","315","0.793062276998244","0.753162177616524","0.832962376379964"
"Ja","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Hessen","2","209","","",""
"Ja","1995","Hessen","3","189","","",""
"Ja","1995","Hessen","4","117","","",""
"Ja","1995","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Rheinland-Pfalz,Saarland","2","195","","",""
"Ja","1995","Rheinland-Pfalz,Saarland","3","123","","",""
"Ja","1995","Rheinland-Pfalz,Saarland","4","99","0.866315644030795","0.80517176562569","0.927459522435899"
"Ja","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Baden-Wuerttemberg","2","466","0.752385454892231","0.719456011125168","0.785314898659293"
"Ja","1995","Baden-Wuerttemberg","3","309","0.762198516438885","0.720938654880458","0.803458377997312"
"Ja","1995","Baden-Wuerttemberg","4","232","","",""
"Ja","1995","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Bayern","2","444","0.722958700399943","0.687472746166413","0.758444654633472"
"Ja","1995","Bayern","3","378","0.79671891771046","0.760527771902219","0.832910063518702"
"Ja","1995","Bayern","4","210","","",""
"Ja","1995","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Saarland","2","","","",""
"Ja","1995","Saarland","3","","","",""
"Ja","1995","Saarland","4","","","",""
"Ja","1995","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Berlin","2","140","","",""
"Ja","1995","Berlin","3","109","","",""
"Ja","1995","Berlin","4","73","0.769604945336932","0.68402399239032","0.855185898283544"
"Ja","1995","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Brandenburg","2","173","","",""
"Ja","1995","Brandenburg","3","93","0.94093883777207","0.894734815683225","0.987142859860916"
"Ja","1995","Brandenburg","4","55","0.946559562141477","0.888677623077957","1.004441501205"
"Ja","1995","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Mecklenburg-Vorpommern","2","113","","",""
"Ja","1995","Mecklenburg-Vorpommern","3","89","0.9187011532747","0.865664351376753","0.971737955172647"
"Ja","1995","Mecklenburg-Vorpommern","4","33","1","1","1"
"Ja","1995","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Sachsen","2","381","0.880274041442557","0.849300206872681","0.911247876012432"
