"plb0050","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2001","17-34","1874","","",""
"Ja","2001","35-65","4491","0.543458371028152","0.532754623363966","0.554162118692338"
"Ja","2001","66 +","12","","",""
"Nein","2001","17-34","2163","","",""
"Nein","2001","35-65","3828","0.456541628971848","0.445837881307662","0.467245376636034"
"Nein","2001","66 +","79","0.862317761666886","0.791523180038561","0.933112343295211"
"Ja","2002","17-34","","","",""
"Ja","2002","35-65","","","",""
"Ja","2002","66 +","","","",""
"Nein","2002","17-34","","","",""
"Nein","2002","35-65","","","",""
"Nein","2002","66 +","","","",""
"Ja","2003","17-34","","","",""
"Ja","2003","35-65","","","",""
"Ja","2003","66 +","","","",""
"Nein","2003","17-34","","","",""
"Nein","2003","35-65","","","",""
"Nein","2003","66 +","","","",""
"Ja","2004","17-34","","","",""
"Ja","2004","35-65","","","",""
"Ja","2004","66 +","","","",""
"Nein","2004","17-34","","","",""
"Nein","2004","35-65","","","",""
"Nein","2004","66 +","","","",""
"Ja","2005","17-34","","","",""
"Ja","2005","35-65","","","",""
"Ja","2005","66 +","","","",""
"Nein","2005","17-34","","","",""
"Nein","2005","35-65","","","",""
"Nein","2005","66 +","","","",""
"Ja","2006","17-34","1404","","",""
"Ja","2006","35-65","4747","0.532361006946587","0.521936266945868","0.542785746947305"
"Ja","2006","66 +","24","","",""
"Nein","2006","17-34","1716","","",""
"Nein","2006","35-65","4053","0.467638993053413","0.457214253052695","0.478063733054132"
"Nein","2006","66 +","159","","",""
"Ja","2007","17-34","","","",""
"Ja","2007","35-65","","","",""
"Ja","2007","66 +","","","",""
"Nein","2007","17-34","","","",""
"Nein","2007","35-65","","","",""
"Nein","2007","66 +","","","",""
"Ja","2008","17-34","","","",""
"Ja","2008","35-65","","","",""
"Ja","2008","66 +","","","",""
"Nein","2008","17-34","","","",""
"Nein","2008","35-65","","","",""
"Nein","2008","66 +","","","",""
"Ja","2009","17-34","","","",""
"Ja","2009","35-65","","","",""
"Ja","2009","66 +","","","",""
"Nein","2009","17-34","","","",""
"Nein","2009","35-65","","","",""
"Nein","2009","66 +","","","",""
"Ja","2010","17-34","","","",""
"Ja","2010","35-65","","","",""
"Ja","2010","66 +","","","",""
"Nein","2010","17-34","","","",""
"Nein","2010","35-65","","","",""
"Nein","2010","66 +","","","",""
"Ja","2011","17-34","1366","","",""
"Ja","2011","35-65","4530","0.554906561609184","0.544161053070113","0.565652070148254"
"Ja","2011","66 +","36","0.202122757862145","0.145021334087007","0.259224181637283"
"Nein","2011","17-34","1329","","",""
"Nein","2011","35-65","3687","0.445093438390816","0.434347929851746","0.455838946929887"
"Nein","2011","66 +","154","","",""
"Ja","2012","17-34","","","",""
"Ja","2012","35-65","","","",""
"Ja","2012","66 +","","","",""
"Nein","2012","17-34","","","",""
"Nein","2012","35-65","","","",""
"Nein","2012","66 +","","","",""
"Ja","2013","17-34","","","",""
"Ja","2013","35-65","","","",""
"Ja","2013","66 +","","","",""
"Nein","2013","17-34","","","",""
"Nein","2013","35-65","","","",""
"Nein","2013","66 +","","","",""
"Ja","2014","17-34","","","",""
"Ja","2014","35-65","","","",""
"Ja","2014","66 +","","","",""
"Nein","2014","17-34","","","",""
"Nein","2014","35-65","","","",""
"Nein","2014","66 +","","","",""
"Ja","2015","17-34","","","",""
"Ja","2015","35-65","","","",""
"Ja","2015","66 +","","","",""
"Nein","2015","17-34","","","",""
"Nein","2015","35-65","","","",""
"Nein","2015","66 +","","","",""
"Ja","2016","17-34","1681","","",""
"Ja","2016","35-65","5549","0.55654162797114","0.546923676074544","0.566159579867735"
"Ja","2016","66 +","58","0.21643708023618","0.163784830672126","0.269089329800233"
"Nein","2016","17-34","1724","","",""
"Nein","2016","35-65","4700","0.44345837202886","0.433840420132265","0.453076323925456"
"Nein","2016","66 +","177","","",""
"Ja","2017","17-34","","","",""
"Ja","2017","35-65","","","",""
"Ja","2017","66 +","","","",""
"Nein","2017","17-34","","","",""
"Nein","2017","35-65","","","",""
"Nein","2017","66 +","","","",""
"Ja","2018","17-34","","","",""
"Ja","2018","35-65","","","",""
"Ja","2018","66 +","","","",""
"Nein","2018","17-34","","","",""
"Nein","2018","35-65","","","",""
"Nein","2018","66 +","","","",""
"Ja","2019","17-34","1777","","",""
"Ja","2019","35-65","5762","0.551835267132252","0.542816822483048","0.560853711781456"
"Ja","2019","66 +","87","0.24084032721631","0.203802604177206","0.277878050255414"
"Nein","2019","17-34","1690","","",""
"Nein","2019","35-65","5919","0.448164732867748","0.439146288218544","0.457183177516952"
"Nein","2019","66 +","425","0.75915967278369","0.722121949744586","0.796197395822794"
