"plb0050","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Ja","2001","(noch) kein Abschluss","kein Migrationshintergrund","26","","",""
"Ja","2001","(noch) kein Abschluss","direkter Migrationshintergrund","44","0.53553750311692","0.42485701630468","0.64621798992916"
"Ja","2001","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"Ja","2001","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","Hauptschule","kein Migrationshintergrund","1522","0.484620649007943","0.467388316079997","0.501852981935889"
"Ja","2001","Hauptschule","direkter Migrationshintergrund","461","0.494943653709666","0.46148933088581","0.528397976533523"
"Ja","2001","Hauptschule","indirekter Migrationshintergrund","88","0.443288494976523","0.373203061349816","0.51337392860323"
"Ja","2001","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","Realschule","kein Migrationshintergrund","1828","0.503649698093842","0.487634268035685","0.519665128151999"
"Ja","2001","Realschule","direkter Migrationshintergrund","76","0.492895520546861","0.410953582514778","0.574837458578945"
"Ja","2001","Realschule","indirekter Migrationshintergrund","78","0.55670362863523","0.474706687987249","0.638700569283211"
"Ja","2001","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","(Fach-)Abitur","kein Migrationshintergrund","529","0.529217840003831","0.498404054046663","0.560031625960999"
"Ja","2001","(Fach-)Abitur","direkter Migrationshintergrund","143","0.49971627291457","0.440621144798746","0.558811401030393"
"Ja","2001","(Fach-)Abitur","indirekter Migrationshintergrund","34","0.574961920741877","0.452891264925405","0.697032576558348"
"Ja","2001","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","AkademikerIn","kein Migrationshintergrund","1376","0.59230898945764","0.572164804157415","0.612453174757865"
"Ja","2001","AkademikerIn","direkter Migrationshintergrund","126","0.580351980586019","0.516434643352609","0.64426931781943"
"Ja","2001","AkademikerIn","indirekter Migrationshintergrund","28","","",""
"Ja","2001","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2001","(noch) kein Abschluss","kein Migrationshintergrund","68","0.706619615487073","0.614576238215812","0.798662992758334"
"Nein","2001","(noch) kein Abschluss","direkter Migrationshintergrund","34","0.46446249688308","0.353782010070839","0.57514298369532"
"Nein","2001","(noch) kein Abschluss","indirekter Migrationshintergrund","6","","",""
"Nein","2001","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2001","Hauptschule","kein Migrationshintergrund","1709","0.515379350992057","0.498147018064111","0.532611683920003"
"Nein","2001","Hauptschule","direkter Migrationshintergrund","397","0.505056346290334","0.471602023466477","0.53851066911419"
"Nein","2001","Hauptschule","indirekter Migrationshintergrund","105","0.556711505023477","0.48662607139677","0.626796938650184"
"Nein","2001","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2001","Realschule","kein Migrationshintergrund","1916","0.496350301906158","0.480334871848001","0.512365731964315"
"Nein","2001","Realschule","direkter Migrationshintergrund","67","0.507104479453139","0.425162541421055","0.589046417485222"
"Nein","2001","Realschule","indirekter Migrationshintergrund","63","0.44329637136477","0.361299430716789","0.525293312012751"
"Nein","2001","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2001","(Fach-)Abitur","kein Migrationshintergrund","479","0.470782159996169","0.439968374039001","0.501595945953337"
"Nein","2001","(Fach-)Abitur","direkter Migrationshintergrund","132","0.50028372708543","0.441188598969607","0.559378855201254"
"Nein","2001","(Fach-)Abitur","indirekter Migrationshintergrund","29","","",""
"Nein","2001","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2001","AkademikerIn","kein Migrationshintergrund","910","0.40769101054236","0.387546825242135","0.427835195842585"
"Nein","2001","AkademikerIn","direkter Migrationshintergrund","103","0.419648019413981","0.35573068218057","0.483565356647391"
"Nein","2001","AkademikerIn","indirekter Migrationshintergrund","16","","",""
"Nein","2001","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2002","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2002","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2002","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","Hauptschule","kein Migrationshintergrund","","","",""
"Ja","2002","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja","2002","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2002","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
