year,quintil_oecd_hh,rentown,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Owner,Yes,0.07809,45,396,0.05163,0.10455
2016,1st Quintile,Owner,No,0.92191,351,396,0.89545,0.94837
2016,1st Quintile,Tenant,Yes,0.02043,90,2699,0.01509,0.02576
2016,1st Quintile,Tenant,No,0.97957,2609,2699,0.97424,0.98491
2016,2nd Quintile,Owner,Yes,0.07203,112,1026,0.05620,0.08786
2016,2nd Quintile,Owner,No,0.92797,914,1026,0.91214,0.94380
2016,2nd Quintile,Tenant,Yes,0.02658,77,2015,0.01956,0.03361
2016,2nd Quintile,Tenant,No,0.97342,1938,2015,0.96639,0.98044
2016,3rd Quintile,Owner,Yes,0.05004,111,1341,0.03837,0.06171
2016,3rd Quintile,Owner,No,0.94996,1230,1341,0.93829,0.96163
2016,3rd Quintile,Tenant,Yes,0.03557,53,1402,0.02587,0.04527
2016,3rd Quintile,Tenant,No,0.96443,1349,1402,0.95473,0.97413
2016,4th Quintile,Owner,Yes,0.03929,88,1561,0.02965,0.04893
2016,4th Quintile,Owner,No,0.96071,1473,1561,0.95107,0.97035
2016,4th Quintile,Tenant,Yes,0.01610,31,1101,0.00866,0.02354
2016,4th Quintile,Tenant,No,0.98390,1070,1101,0.97646,0.99134
2016,5th Quintile,Owner,Yes,0.02854,86,1978,0.02120,0.03588
2016,5th Quintile,Owner,No,0.97146,1892,1978,0.96412,0.97880
2016,5th Quintile,Tenant,No,0.97933,761,761,0.96921,0.98944
2021,1st Quintile,Owner,No,0.97925,253,253,0.96165,0.99685
2021,1st Quintile,Tenant,Yes,0.01542,35,1771,0.00968,0.02116
2021,1st Quintile,Tenant,No,0.93534,1736,1771,0.92389,0.94680
2021,2nd Quintile,Owner,Yes,0.05990,55,679,0.04204,0.07777
2021,2nd Quintile,Owner,No,0.94010,624,679,0.92223,0.95796
2021,2nd Quintile,Tenant,Yes,0.02024,36,1503,0.01312,0.02736
2021,2nd Quintile,Tenant,No,0.96967,1467,1503,0.96100,0.97834
2021,3rd Quintile,Owner,Yes,0.04638,63,927,0.03284,0.05993
2021,3rd Quintile,Owner,No,0.95341,864,927,0.93984,0.96699
2021,3rd Quintile,Tenant,No,0.98325,1074,1074,0.97558,0.99093
2021,4th Quintile,Owner,Yes,0.04363,65,1211,0.03212,0.05514
2021,4th Quintile,Owner,No,0.95634,1146,1211,0.94483,0.96786
2021,4th Quintile,Tenant,No,0.98942,852,852,0.98254,0.99629
2021,5th Quintile,Owner,Yes,0.01814,61,1988,0.01227,0.02401
2021,5th Quintile,Owner,No,0.97916,1927,1988,0.97288,0.98544
2021,5th Quintile,Tenant,No,0.98191,711,711,0.97210,0.99171
