year,migback,sampreg,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,(0) No qualification (yet),0.01697,159,8649,0.01425,0.01969
1984,No migration background,West,(1a) Inadequately completed,0.00783,68,8649,0.00597,0.00969
1984,No migration background,West,(1b) General Elementary School,0.24006,1947,8649,0.23106,0.24906
1984,No migration background,West,(1c) Basic Vocational Qualification,0.40518,3502,8649,0.39483,0.41552
1984,No migration background,West,(2) Intermediate General/Vocational Qualification,0.19282,1719,8649,0.18451,0.20114
1984,No migration background,West,(2c_gen) General Maturity Certificate,0.02977,279,8649,0.02619,0.03335
1984,No migration background,West,(2c_voc) Vocational Maturity Certificate,0.03461,309,8649,0.03075,0.03846
1984,No migration background,West,(3a) Lower Tertiary Education,0.02680,243,8649,0.02339,0.03020
1984,No migration background,West,(3b) Higher Tertiary Education,0.04596,423,8649,0.04155,0.05037
1984,Direct migration background,West,(1a) Inadequately completed,0.18217,1019,3256,0.16891,0.19543
1984,Direct migration background,West,(1b) General Elementary School,0.27473,1011,3256,0.25939,0.29006
1984,Direct migration background,West,(1c) Basic Vocational Qualification,0.27481,716,3256,0.25947,0.29014
1984,Direct migration background,West,(2) Intermediate General/Vocational Qualification,0.10074,139,3256,0.09040,0.11108
1984,Direct migration background,West,(2c_gen) General Maturity Certificate,0.03968,129,3256,0.03297,0.04638
1984,Direct migration background,West,(2c_voc) Vocational Maturity Certificate,0.05458,143,3256,0.04678,0.06239
1984,Direct migration background,West,(3b) Higher Tertiary Education,0.04822,99,3256,0.04086,0.05558
1984,Indirect migration background,West,(1b) General Elementary School,0.21578,37,73,0.12076,0.31080
1984,Indirect migration background,West,(1c) Basic Vocational Qualification,0.33276,36,73,0.22392,0.44160
1985,No migration background,West,(0) No qualification (yet),0.01850,155,7922,0.01553,0.02147
1985,No migration background,West,(1a) Inadequately completed,0.00914,71,7922,0.00705,0.01124
1985,No migration background,West,(1b) General Elementary School,0.23033,1712,7922,0.22106,0.23960
1985,No migration background,West,(1c) Basic Vocational Qualification,0.39803,3145,7922,0.38725,0.40881
1985,No migration background,West,(2) Intermediate General/Vocational Qualification,0.20317,1647,7922,0.19431,0.21203
1985,No migration background,West,(2c_gen) General Maturity Certificate,0.02851,258,7922,0.02485,0.03218
1985,No migration background,West,(2c_voc) Vocational Maturity Certificate,0.03661,293,7922,0.03247,0.04074
1985,No migration background,West,(3a) Lower Tertiary Education,0.02700,225,7922,0.02343,0.03057
1985,No migration background,West,(3b) Higher Tertiary Education,0.04870,416,7922,0.04396,0.05344
1985,Direct migration background,West,(1a) Inadequately completed,0.16498,822,2782,0.15119,0.17878
1985,Direct migration background,West,(1b) General Elementary School,0.27452,864,2782,0.25794,0.29111
1985,Direct migration background,West,(1c) Basic Vocational Qualification,0.28368,640,2782,0.26693,0.30044
1985,Direct migration background,West,(2) Intermediate General/Vocational Qualification,0.11068,138,2782,0.09902,0.12234
1985,Direct migration background,West,(2c_gen) General Maturity Certificate,0.03885,113,2782,0.03167,0.04603
1985,Direct migration background,West,(2c_voc) Vocational Maturity Certificate,0.04828,117,2782,0.04031,0.05625
1985,Direct migration background,West,(3b) Higher Tertiary Education,0.04883,88,2782,0.04082,0.05684
1985,Indirect migration background,West,(1b) General Elementary School,0.22469,40,80,0.13265,0.31673
1985,Indirect migration background,West,(1c) Basic Vocational Qualification,0.32429,40,80,0.22107,0.42752
1986,No migration background,West,(0) No qualification (yet),0.01531,147,7546,0.01254,0.01808
1986,No migration background,West,(1a) Inadequately completed,0.00969,72,7546,0.00748,0.01190
1986,No migration background,West,(1b) General Elementary School,0.22055,1569,7546,0.21120,0.22991
1986,No migration background,West,(1c) Basic Vocational Qualification,0.39608,2956,7546,0.38505,0.40712
1986,No migration background,West,(2) Intermediate General/Vocational Qualification,0.20856,1598,7546,0.19940,0.21773
1986,No migration background,West,(2c_gen) General Maturity Certificate,0.03363,280,7546,0.02956,0.03770
1986,No migration background,West,(2c_voc) Vocational Maturity Certificate,0.03837,289,7546,0.03404,0.04271
1986,No migration background,West,(3a) Lower Tertiary Education,0.02861,224,7546,0.02485,0.03238
1986,No migration background,West,(3b) Higher Tertiary Education,0.04919,411,7546,0.04431,0.05407
1986,Direct migration background,West,(0) No qualification (yet),0.00975,31,2731,0.00606,0.01343
