year,bula_h,pgisced97,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,(1b) General Elementary School,0.84333,71,71,0.75817,0.92848
1984,Schleswig-Holstein,Upper Secondary Level,(1c) Basic Vocational Qualification,0.66240,143,205,0.59750,0.72729
1984,Schleswig-Holstein,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.28510,62,205,0.22315,0.34705
1984,Hamburg,Lower Secondary Level,(1b) General Elementary School,0.83194,57,57,0.73400,0.92987
1984,Hamburg,Upper Secondary Level,(1c) Basic Vocational Qualification,0.63864,100,138,0.55820,0.71909
1984,Hamburg,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.26930,38,138,0.19502,0.34359
1984,Lower Saxony,Primary Level,(1a) Inadequately completed,0.77824,61,61,0.67312,0.88336
1984,Lower Saxony,Lower Secondary Level,(1b) General Elementary School,0.81699,302,366,0.77732,0.85665
1984,Lower Saxony,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18301,64,366,0.14335,0.22268
1984,Lower Saxony,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69874,406,584,0.66150,0.73599
1984,Lower Saxony,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.24931,137,584,0.21420,0.28443
1984,Lower Saxony,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.04649,41,584,0.02940,0.06358
1984,Lower Saxony,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.46310,36,36,0.29790,0.62830
1984,Lower Saxony,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.75652,61,61,0.64792,0.86512
1984,Bremen,Lower Secondary Level,(1b) General Elementary School,0.79405,33,33,0.65394,0.93417
1984,Bremen,Upper Secondary Level,(1c) Basic Vocational Qualification,0.80658,58,58,0.70403,0.90912
1984,North Rhine-Westphalia,Pre-primary Level,(0) No qualification (yet),0.96227,61,61,0.91405,1.01048
1984,North Rhine-Westphalia,Primary Level,(1a) Inadequately completed,0.97886,303,303,0.96263,0.99508
1984,North Rhine-Westphalia,Lower Secondary Level,(1b) General Elementary School,0.82613,736,864,0.80084,0.85142
1984,North Rhine-Westphalia,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17087,128,864,0.14576,0.19598
1984,North Rhine-Westphalia,Upper Secondary Level,(1a) Inadequately completed,0.00667,38,1524,0.00258,0.01075
1984,North Rhine-Westphalia,Upper Secondary Level,(1c) Basic Vocational Qualification,0.72022,1062,1524,0.69767,0.74276
1984,North Rhine-Westphalia,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.20289,292,1524,0.18270,0.22309
1984,North Rhine-Westphalia,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06976,132,1524,0.05696,0.08255
1984,North Rhine-Westphalia,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.46116,73,155,0.38243,0.53989
1984,North Rhine-Westphalia,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.27830,42,155,0.20752,0.34908
1984,North Rhine-Westphalia,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.25369,40,155,0.18497,0.32241
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.36121,75,225,0.29830,0.42411
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.63879,150,225,0.57589,0.70170
1984,Hesse,Primary Level,(1a) Inadequately completed,0.77362,101,101,0.69160,0.85564
1984,Hesse,Lower Secondary Level,(1b) General Elementary School,0.84198,311,354,0.80393,0.88003
1984,Hesse,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.15802,43,354,0.11997,0.19607
1984,Hesse,Upper Secondary Level,(1c) Basic Vocational Qualification,0.62222,362,554,0.58181,0.66263
1984,Hesse,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.27525,133,554,0.23802,0.31247
1984,Hesse,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.08719,59,554,0.06368,0.11071
1984,Hesse,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.65062,63,63,0.53194,0.76930
1984,"Rhineland-Palatinate, Saarland",Primary Level,(1a) Inadequately completed,0.93262,60,60,0.86865,0.99658
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,(1b) General Elementary School,0.89500,267,267,0.85816,0.93184
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,(1c) Basic Vocational Qualification,0.77367,301,369,0.73092,0.81643
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.18575,68,369,0.14602,0.22549
1984,Baden-Wuerttemberg,Pre-primary Level,(0) No qualification (yet),0.96834,35,35,0.90949,1.02720
1984,Baden-Wuerttemberg,Primary Level,(1a) Inadequately completed,0.92306,277,277,0.89162,0.95450
1984,Baden-Wuerttemberg,Lower Secondary Level,(1b) General Elementary School,0.86821,614,691,0.84297,0.89345
1984,Baden-Wuerttemberg,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.13174,77,691,0.10651,0.15698
1984,Baden-Wuerttemberg,Upper Secondary Level,(1c) Basic Vocational Qualification,0.71880,683,908,0.68954,0.74806
1984,Baden-Wuerttemberg,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.21690,167,908,0.19008,0.24372
1984,Baden-Wuerttemberg,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05605,58,908,0.04108,0.07101
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.45481,53,91,0.35194,0.55769
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.31847,38,91,0.22222,0.41473
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.40614,44,125,0.31970,0.49258
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.59386,81,125,0.50742,0.68030
1984,Bavaria,Primary Level,(1a) Inadequately completed,0.80743,98,98,0.72895,0.88590
1984,Bavaria,Lower Secondary Level,(1b) General Elementary School,0.82593,490,584,0.79515,0.85670
1984,Bavaria,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17407,94,584,0.14330,0.20485
1984,Bavaria,Upper Secondary Level,(1c) Basic Vocational Qualification,0.71089,729,1020,0.68305,0.73872
1984,Bavaria,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.23745,233,1020,0.21132,0.26358
1984,Bavaria,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.04844,58,1020,0.03526,0.06162
