"year","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","maennlich","7.43","7.5","5851","7.38","7.48"
"1984","weiblich","7.47","7.5","6125","7.42","7.52"
"1985","maennlich","7.33","7.5","5362","7.28","7.38"
"1985","weiblich","7.38","7.5","5523","7.33","7.43"
"1986","maennlich","7.51","7.5","5171","7.46","7.56"
"1986","weiblich","7.52","7.5","5287","7.47","7.57"
"1987","maennlich","7.3","7.5","5114","7.25","7.35"
"1987","weiblich","7.27","7.5","5211","7.22","7.32"
"1988","maennlich","","","","",""
"1988","weiblich","","","","",""
"1989","maennlich","","","","",""
"1989","weiblich","","","","",""
"1990","maennlich","","","","",""
"1990","weiblich","","","","",""
"1991","maennlich","","","","",""
"1991","weiblich","","","","",""
"1992","maennlich","","","","",""
"1992","weiblich","","","","",""
"1993","maennlich","","","","",""
"1993","weiblich","","","","",""
"1994","maennlich","","","","",""
"1994","weiblich","","","","",""
"1995","maennlich","","","","",""
"1995","weiblich","","","","",""
"1996","maennlich","","","","",""
"1996","weiblich","","","","",""
"1997","maennlich","","","","",""
"1997","weiblich","","","","",""
"1998","maennlich","","","","",""
"1998","weiblich","","","","",""
"1999","maennlich","","","","",""
"1999","weiblich","","","","",""
"2000","maennlich","","","","",""
"2000","weiblich","","","","",""
"2001","maennlich","","","","",""
"2001","weiblich","","","","",""
"2002","maennlich","","","","",""
"2002","weiblich","","","","",""
"2003","maennlich","","","","",""
"2003","weiblich","","","","",""
"2004","maennlich","","","","",""
"2004","weiblich","","","","",""
"2005","maennlich","","","","",""
"2005","weiblich","","","","",""
"2006","maennlich","","","","",""
"2006","weiblich","","","","",""
"2007","maennlich","","","","",""
"2007","weiblich","","","","",""
"2008","maennlich","7","6.5","9122","6.96","7.04"
"2008","weiblich","7.02","6.5","10005","6.99","7.05"
"2009","maennlich","","","","",""
"2009","weiblich","","","","",""
"2010","maennlich","","","","",""
"2010","weiblich","","","","",""
"2011","maennlich","","","","",""
"2011","weiblich","","","","",""
"2012","maennlich","","","","",""
"2012","weiblich","","","","",""
"2013","maennlich","7.33","7.5","11071","7.3","7.36"
"2013","weiblich","7.36","7.5","12436","7.33","7.39"
"2014","maennlich","","","","",""
"2014","weiblich","","","","",""
"2015","maennlich","","","","",""
"2015","weiblich","","","","",""
"2016","maennlich","","","","",""
"2016","weiblich","","","","",""
"2017","maennlich","","","","",""
"2017","weiblich","","","","",""
"2018","maennlich","7.54","7.5","11682","7.51","7.57"
"2018","weiblich","7.62","7.5","13644","7.59","7.65"
