"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","7.54","7.5","852","7.4","7.68"
"1984","(noch) kein Abschluss","7.3","7.5","1263","7.17","7.43"
"1984","AkademikerInnen","7.96","7.5","773","7.84","8.08"
"1984","Hauptschulabschluss","7.28","7.5","7147","7.23","7.33"
"1984","Realschulabschluss","7.82","7.5","1853","7.74","7.9"
"1985","(Fach-)Abitur","7.56","7.5","778","7.43","7.69"
"1985","(noch) kein Abschluss","7.34","7.5","1061","7.22","7.46"
"1985","AkademikerInnen","7.75","7.5","747","7.63","7.87"
"1985","Hauptschulabschluss","7.2","7.5","6372","7.15","7.25"
"1985","Realschulabschluss","7.64","7.5","1795","7.56","7.72"
"1986","(Fach-)Abitur","7.6","7.5","793","7.47","7.73"
"1986","(noch) kein Abschluss","7.36","7.5","1017","7.24","7.48"
"1986","AkademikerInnen","7.91","7.5","743","7.8","8.02"
"1986","Hauptschulabschluss","7.42","7.5","6017","7.37","7.47"
"1986","Realschulabschluss","7.66","7.5","1755","7.58","7.74"
"1987","(Fach-)Abitur","7.4","7.5","765","7.27","7.53"
"1987","(noch) kein Abschluss","7.07","7.5","988","6.94","7.2"
"1987","AkademikerInnen","7.55","7.5","736","7.43","7.67"
"1987","Hauptschulabschluss","7.2","7.5","5946","7.15","7.25"
"1987","Realschulabschluss","7.42","7.5","1740","7.34","7.5"
"1988","(Fach-)Abitur","","","","",""
"1988","(noch) kein Abschluss","","","","",""
"1988","AkademikerInnen","","","","",""
"1988","Hauptschulabschluss","","","","",""
"1988","Realschulabschluss","","","","",""
"1989","(Fach-)Abitur","","","","",""
"1989","(noch) kein Abschluss","","","","",""
"1989","AkademikerInnen","","","","",""
"1989","Hauptschulabschluss","","","","",""
"1989","Realschulabschluss","","","","",""
"1990","(Fach-)Abitur","","","","",""
"1990","(noch) kein Abschluss","","","","",""
"1990","AkademikerInnen","","","","",""
"1990","Hauptschulabschluss","","","","",""
"1990","Realschulabschluss","","","","",""
"1991","(Fach-)Abitur","","","","",""
"1991","(noch) kein Abschluss","","","","",""
"1991","AkademikerInnen","","","","",""
"1991","Hauptschulabschluss","","","","",""
"1991","Realschulabschluss","","","","",""
"1992","(Fach-)Abitur","","","","",""
"1992","(noch) kein Abschluss","","","","",""
"1992","AkademikerInnen","","","","",""
"1992","Hauptschulabschluss","","","","",""
"1992","Realschulabschluss","","","","",""
"1993","(Fach-)Abitur","","","","",""
"1993","(noch) kein Abschluss","","","","",""
"1993","AkademikerInnen","","","","",""
"1993","Hauptschulabschluss","","","","",""
"1993","Realschulabschluss","","","","",""
"1994","(Fach-)Abitur","","","","",""
"1994","(noch) kein Abschluss","","","","",""
"1994","AkademikerInnen","","","","",""
"1994","Hauptschulabschluss","","","","",""
"1994","Realschulabschluss","","","","",""
"1995","(Fach-)Abitur","","","","",""
"1995","(noch) kein Abschluss","","","","",""
"1995","AkademikerInnen","","","","",""
"1995","Hauptschulabschluss","","","","",""
"1995","Realschulabschluss","","","","",""
"1996","(Fach-)Abitur","","","","",""
"1996","(noch) kein Abschluss","","","","",""
"1996","AkademikerInnen","","","","",""
"1996","Hauptschulabschluss","","","","",""
"1996","Realschulabschluss","","","","",""
"1997","(Fach-)Abitur","","","","",""
"1997","(noch) kein Abschluss","","","","",""
"1997","AkademikerInnen","","","","",""
"1997","Hauptschulabschluss","","","","",""
"1997","Realschulabschluss","","","","",""
"1998","(Fach-)Abitur","","","","",""
"1998","(noch) kein Abschluss","","","","",""
"1998","AkademikerInnen","","","","",""
"1998","Hauptschulabschluss","","","","",""
"1998","Realschulabschluss","","","","",""
"1999","(Fach-)Abitur","","","","",""
