"year","migback","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","direkter Migrationshintergrund","maennlich","7.44","7.5","1744","7.33","7.55"
"1984","direkter Migrationshintergrund","weiblich","7.37","7.5","1571","7.26","7.48"
"1984","indirekter Migrationshintergrund","maennlich","8.11","7.5","61","7.72","8.5"
"1984","indirekter Migrationshintergrund","weiblich","7.88","7.5","65","7.45","8.31"
"1984","kein Migrationshintergrund ","maennlich","7.42","7.5","4046","7.36","7.48"
"1984","kein Migrationshintergrund ","weiblich","7.48","7.5","4489","7.42","7.54"
"1985","direkter Migrationshintergrund","maennlich","7.38","7.5","1519","7.28","7.48"
"1985","direkter Migrationshintergrund","weiblich","7.31","7.5","1341","7.2","7.42"
"1985","indirekter Migrationshintergrund","maennlich","7.51","7.5","63","7.09","7.93"
"1985","indirekter Migrationshintergrund","weiblich","7.93","7.5","76","7.55","8.31"
"1985","kein Migrationshintergrund ","maennlich","7.32","7.5","3780","7.26","7.38"
"1985","kein Migrationshintergrund ","weiblich","7.38","7.5","4106","7.32","7.44"
"1986","direkter Migrationshintergrund","maennlich","7.53","7.5","1491","7.43","7.63"
"1986","direkter Migrationshintergrund","weiblich","7.51","7.5","1291","7.41","7.61"
"1986","indirekter Migrationshintergrund","maennlich","8.22","7.5","72","7.79","8.65"
"1986","indirekter Migrationshintergrund","weiblich","8.07","7.5","82","7.71","8.43"
"1986","kein Migrationshintergrund ","maennlich","7.5","7.5","3608","7.44","7.56"
"1986","kein Migrationshintergrund ","weiblich","7.52","7.5","3914","7.46","7.58"
"1987","direkter Migrationshintergrund","maennlich","7.37","7.5","1477","7.27","7.47"
"1987","direkter Migrationshintergrund","weiblich","7.34","7.5","1289","7.24","7.44"
"1987","indirekter Migrationshintergrund","maennlich","7.5","7.5","79","7.05","7.95"
"1987","indirekter Migrationshintergrund","weiblich","8.23","8.5","93","7.96","8.5"
"1987","kein Migrationshintergrund ","maennlich","7.29","7.5","3558","7.23","7.35"
"1987","kein Migrationshintergrund ","weiblich","7.26","7.5","3829","7.2","7.32"
"1988","direkter Migrationshintergrund","maennlich","","","","",""
"1988","direkter Migrationshintergrund","weiblich","","","","",""
"1988","indirekter Migrationshintergrund","maennlich","","","","",""
"1988","indirekter Migrationshintergrund","weiblich","","","","",""
"1988","kein Migrationshintergrund ","maennlich","","","","",""
"1988","kein Migrationshintergrund ","weiblich","","","","",""
"1989","direkter Migrationshintergrund","maennlich","","","","",""
"1989","direkter Migrationshintergrund","weiblich","","","","",""
"1989","indirekter Migrationshintergrund","maennlich","","","","",""
"1989","indirekter Migrationshintergrund","weiblich","","","","",""
"1989","kein Migrationshintergrund ","maennlich","","","","",""
"1989","kein Migrationshintergrund ","weiblich","","","","",""
"1990","direkter Migrationshintergrund","maennlich","","","","",""
"1990","direkter Migrationshintergrund","weiblich","","","","",""
"1990","indirekter Migrationshintergrund","maennlich","","","","",""
"1990","indirekter Migrationshintergrund","weiblich","","","","",""
"1990","kein Migrationshintergrund ","maennlich","","","","",""
"1990","kein Migrationshintergrund ","weiblich","","","","",""
"1991","direkter Migrationshintergrund","maennlich","","","","",""
"1991","direkter Migrationshintergrund","weiblich","","","","",""
"1991","indirekter Migrationshintergrund","maennlich","","","","",""
"1991","indirekter Migrationshintergrund","weiblich","","","","",""
"1991","kein Migrationshintergrund ","maennlich","","","","",""
"1991","kein Migrationshintergrund ","weiblich","","","","",""
"1992","direkter Migrationshintergrund","maennlich","","","","",""
"1992","direkter Migrationshintergrund","weiblich","","","","",""
"1992","indirekter Migrationshintergrund","maennlich","","","","",""
"1992","indirekter Migrationshintergrund","weiblich","","","","",""
"1992","kein Migrationshintergrund ","maennlich","","","","",""
"1992","kein Migrationshintergrund ","weiblich","","","","",""
"1993","direkter Migrationshintergrund","maennlich","","","","",""
"1993","direkter Migrationshintergrund","weiblich","","","","",""
"1993","indirekter Migrationshintergrund","maennlich","","","","",""
"1993","indirekter Migrationshintergrund","weiblich","","","","",""
"1993","kein Migrationshintergrund ","maennlich","","","","",""
"1993","kein Migrationshintergrund ","weiblich","","","","",""
"1994","direkter Migrationshintergrund","maennlich","","","","",""
"1994","direkter Migrationshintergrund","weiblich","","","","",""
"1994","indirekter Migrationshintergrund","maennlich","","","","",""
"1994","indirekter Migrationshintergrund","weiblich","","","","",""
"1994","kein Migrationshintergrund ","maennlich","","","","",""
"1994","kein Migrationshintergrund ","weiblich","","","","",""
"1995","direkter Migrationshintergrund","maennlich","","","","",""
"1995","direkter Migrationshintergrund","weiblich","","","","",""
"1995","indirekter Migrationshintergrund","maennlich","","","","",""
"1995","indirekter Migrationshintergrund","weiblich","","","","",""
"1995","kein Migrationshintergrund ","maennlich","","","","",""
"1995","kein Migrationshintergrund ","weiblich","","","","",""
"1996","direkter Migrationshintergrund","maennlich","","","","",""
"1996","direkter Migrationshintergrund","weiblich","","","","",""
"1996","indirekter Migrationshintergrund","maennlich","","","","",""
"1996","indirekter Migrationshintergrund","weiblich","","","","",""
"1996","kein Migrationshintergrund ","maennlich","","","","",""
"1996","kein Migrationshintergrund ","weiblich","","","","",""
"1997","direkter Migrationshintergrund","maennlich","","","","",""
"1997","direkter Migrationshintergrund","weiblich","","","","",""
"1997","indirekter Migrationshintergrund","maennlich","","","","",""
"1997","indirekter Migrationshintergrund","weiblich","","","","",""
"1997","kein Migrationshintergrund ","maennlich","","","","",""
"1997","kein Migrationshintergrund ","weiblich","","","","",""
"1998","direkter Migrationshintergrund","maennlich","","","","",""
